experiment,participant_id,trial_id,trial_order,phase_id,prime,target,response,response_correct,accuracy,rt,age,gender,hand
semantic_priming,54,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.53193,26,F,right
semantic_priming,42,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.619105,23,M,right
semantic_priming,2,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.698,27,F,right
semantic_priming,38,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.59852,20,F,right
semantic_priming,43,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.586865,22,M,right
semantic_priming,31,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.68134,27,F,right
semantic_priming,26,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,1.24615,21,F,right
semantic_priming,34,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.40123,22,F,right
semantic_priming,8,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.799995,21,F,left
semantic_priming,45,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.73763,21,F,right
semantic_priming,20,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.401275,22,F,right
semantic_priming,46,exp1_t0,0,judgment,ragno,abete,0.0,1,0.0,0.467595,22,F,right
semantic_priming,12,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.52116,23,M,right
semantic_priming,5,exp1_t0,0,judgment,ragno,abete,0.0,1,0.0,0.541605,24,F,right
semantic_priming,7,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.49807,21,F,right
semantic_priming,29,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.635435,24,F,right
semantic_priming,61,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.634355,25,M,right
semantic_priming,44,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.61203,24,M,right
semantic_priming,10,exp1_t0,0,judgment,ragno,abete,0.0,1,0.0,0.547655,23,F,right
semantic_priming,17,exp1_t0,0,judgment,ragno,abete,1.0,1,1.0,0.513765,23,F,right
semantic_priming,32,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.58371,24,F,right
semantic_priming,31,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.61683,27,F,right
semantic_priming,67,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.65189,24,M,right
semantic_priming,74,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.501655,24,M,right
semantic_priming,36,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.601965,21,M,right
semantic_priming,25,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.460715,21,F,right
semantic_priming,12,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.552745,23,M,right
semantic_priming,49,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.54741,21,F,right
semantic_priming,70,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.556405,24,F,right
semantic_priming,1,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.616,21,M,right
semantic_priming,8,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.81751,21,F,left
semantic_priming,4,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.52423,30,M,right
semantic_priming,28,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.473,24,F,right
semantic_priming,5,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.1834,24,F,right
semantic_priming,64,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.590525,24,M,right
semantic_priming,10,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.499745,23,F,right
semantic_priming,45,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.56274,21,F,right
semantic_priming,14,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.604,21,M,right
semantic_priming,37,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.465355,20,F,right
semantic_priming,30,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.550125,27,F,right
semantic_priming,9,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.650595,26,F,right
semantic_priming,41,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.60348,23,M,right
semantic_priming,59,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.521925,22,F,right
semantic_priming,23,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.951075,22,M,right
semantic_priming,68,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.55471,23,F,right
semantic_priming,18,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.44389,23,F,right
semantic_priming,17,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.564735,23,F,right
semantic_priming,42,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.627185,23,M,right
semantic_priming,44,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.58082,24,M,right
semantic_priming,52,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.7,22,F,right
semantic_priming,47,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.46511,22,F,right
semantic_priming,38,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.7711,20,F,right
semantic_priming,46,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.5327,22,F,right
semantic_priming,39,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.5775,28,F,right
semantic_priming,53,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.495805,25,F,right
semantic_priming,71,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.45914,21,M,right
semantic_priming,60,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.505025,20,F,right
semantic_priming,69,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.589355,24,F,right
semantic_priming,11,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.780945,23,M,right
semantic_priming,16,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.56618,27,F,right
semantic_priming,73,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.64965,21,F,left
semantic_priming,7,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.470695,21,F,right
semantic_priming,54,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.42193,26,F,right
semantic_priming,34,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.533345,22,F,right
semantic_priming,63,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.566325,22,F,right
semantic_priming,27,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.518265,22,F,right
semantic_priming,26,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.7854,21,F,right
semantic_priming,13,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.476195,20,M,right
semantic_priming,62,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.56207,24,M,left
semantic_priming,43,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.638365,22,M,right
semantic_priming,22,exp1_t1,1,judgment,donna,abito,0.0,1,0.0,0.757645,23,F,right
semantic_priming,72,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.621,20,F,right
semantic_priming,24,exp1_t1,1,judgment,donna,abito,0.0,1,0.0,0.24204,22,F,right
semantic_priming,20,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.485155,22,F,right
semantic_priming,6,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.55052,30,F,right
semantic_priming,57,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.75328,29,F,right
semantic_priming,66,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.508605,23,F,left
semantic_priming,33,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.544,22,M,right
semantic_priming,40,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.758,23,F,right
semantic_priming,29,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,1.13328,24,F,right
semantic_priming,35,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.694,23,M,right
semantic_priming,51,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.624395,25,M,right
semantic_priming,15,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.59027,23,F,right
semantic_priming,75,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.615985,24,F,right
semantic_priming,21,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.506135,24,F,right
semantic_priming,19,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.550665,20,F,right
semantic_priming,50,exp1_t1,1,judgment,donna,abito,0.0,1,0.0,0.813,22,F,right
semantic_priming,2,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.547,27,F,right
semantic_priming,61,exp1_t1,1,judgment,donna,abito,0.0,1,0.0,0.620705,25,M,right
semantic_priming,3,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.49811,21,F,right
semantic_priming,58,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.51341,33,F,right
semantic_priming,65,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.567005,35,F,right
semantic_priming,48,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.79978,21,F,right
semantic_priming,56,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.55841,22,M,left
semantic_priming,55,exp1_t1,1,judgment,donna,abito,1.0,1,1.0,0.758805,20,F,right
semantic_priming,32,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.735575,24,F,right
semantic_priming,34,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.818905,22,F,right
semantic_priming,31,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.58638,27,F,right
semantic_priming,40,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.801,23,F,right
semantic_priming,37,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,0.738645,20,F,right
