ID;condition;text;text2;age;gender;hand;RTs;resp
1;A;bicicletta;passione;24;M;DX;1890;passione
2;B;musica;violino;23;F;DX;2088,4;violino
2;B;incidente;colpa;23;F;DX;1607,8;incidente
2;B;rasoio;stritolare;23;F;DX;1479,8;rasoio
2;B;mercato;vantaggio;23;F;DX;1347,2;mercato
2;B;libreria;spazio;23;F;DX;1112,3;libreria
2;B;magnifico;zanzara;23;F;DX;1229,1;zanzara
2;B;ostile;nuvoloso;23;F;DX;2105,1;nuvoloso
2;B;pianta;saggio;23;F;DX;1314,9;pianta
2;B;facile;morbido;23;F;DX;1707,7;morbido
2;B;poesia;penna;23;F;DX;1051,9;penna
2;B;pentola;mente;23;F;DX;854;pentola
2;B;abito;solenne;23;F;DX;945,9;abito
2;B;prete;devoto;23;F;DX;1730,1;prete
2;B;farfalla;fantasia;23;F;DX;1172,3;farfalla
2;B;diavolo;prigione;23;F;DX;1316,9;prigione
2;B;avventura;vacanza;23;F;DX;2761,8;vacanza
2;B;guarire;ospedale;23;F;DX;1878,6;ospedale
2;B;tavolo;pressione;23;F;DX;830,9;tavolo
2;B;dono;perspicacia;23;F;DX;2298,4;dono
2;B;grave;caviglia;23;F;DX;1245,8;caviglia
2;B;camera;cortesia;23;F;DX;1657,2;camera
2;B;gomito;astio;23;F;DX;1912,9;gomito
2;B;causa;stomaco;23;F;DX;1885,9;stomaco
2;B;aereo;allerta;23;F;DX;1783,9;aereo
2;B;latte;fetore;23;F;DX;1600,2;latte
2;B;dentista;fiducioso;23;F;DX;1434;dentista
2;B;fastidio;naso;23;F;DX;1446,9;naso
2;B;lenire;ferite;23;F;DX;1531,8;ferite
2;B;miracolo;applauso;23;F;DX;2060,8;applauso
2;B;idiota;scimmia;23;F;DX;1821,3;scimmia
2;B;annoiato;mestolo;23;F;DX;2743,2;mestolo
2;B;disprezzo;sorriso;23;F;DX;2063,2;sorriso
2;B;sedile;agile;23;F;DX;1398,3;sedile
2;B;caramella;melodia;23;F;DX;949,4;caramella
2;B;intimo;mistico;23;F;DX;2341,8;intimo
2;B;vittoria;ombrello;23;F;DX;1179,4;ombrello
2;B;attico;modesto;23;F;DX;2076,1;attico
2;B;frigido;forcina;23;F;DX;2991,5;forcina
2;B;grezzo;barile;23;F;DX;1698;barile
2;B;evidente;serbatoio;23;F;DX;1963,2;serbatoio
2;B;scarafaggio;orribile;23;F;DX;1431,7;scarafaggio
2;B;orecchio;disturbare;23;F;DX;1065,3;orecchio
2;B;lavare;attivare;23;F;DX;1473,6;lavare
2;B;elefante;innocente;23;F;DX;1115,8;elefante
2;B;cavallo;arte;23;F;DX;1100,2;cavallo
2;B;ulivo;ambizione;23;F;DX;1691,5;ulivo
2;B;coltello;demonio;23;F;DX;1200,4;coltello
2;B;freddo;cappotto;23;F;DX;1466,8;cappotto
2;B;opzione;giacca;23;F;DX;1809,6;giacca
2;B;gattino;dettaglio;23;F;DX;1268,8;gattino
2;B;statua;audace;23;F;DX;1231,5;statua
2;B;febbre;pino;23;F;DX;1546,5;pino
2;B;poltrona;fiducia;23;F;DX;1166,4;poltrona
2;B;umano;morale;23;F;DX;1003,4;umano
2;B;infuriato;forchetta;23;F;DX;1820,9;forchetta
2;B;caos;quaderno;23;F;DX;1201,1;quaderno
2;B;mobilita;gomma;23;F;DX;1250,9;gomma
2;B;infedele;sposa;23;F;DX;1453,7;sposa
2;B;insolente;vasca;23;F;DX;982,5;vasca
2;B;atletica;scarpa;23;F;DX;926,7;scarpa
2;B;leggenda;scala;23;F;DX;1464,8;scala
2;B;cane;cortese;23;F;DX;1115,1;cane
2;B;meraviglia;cornice;23;F;DX;2288,5;cornice
2;B;ispirato;geranio;23;F;DX;2303,1;geranio
2;B;muscoloso;debole;23;F;DX;1514,3;muscoloso
2;B;lussuria;prateria;23;F;DX;2493,5;prateria
2;B;dollaro;utile;23;F;DX;1013;dollaro
2;B;crepuscolo;orologio;23;F;DX;1602,7;orologio
2;B;laureato;dio;23;F;DX;1648,3;laureato
2;B;burro;tenero;23;F;DX;894,6;burro
2;B;scrivania;pensieroso;23;F;DX;1579,2;scrivania
2;B;natale;albero;23;F;DX;1216,5;albero
2;B;rancido;insalata;23;F;DX;2209,3;insalata
2;B;ricatto;schiaffo;23;F;DX;1446,2;schiaffo
2;B;genere;cioccolato;23;F;DX;1335,5;cioccolato
2;B;elegante;felpa;23;F;DX;1362,7;felpa
2;B;rosso;bicchiere;23;F;DX;1257,6;bicchiere
2;B;fetido;calza;23;F;DX;1033,8;calza
2;B;specchio;spirito;23;F;DX;1521;specchio
2;B;appetitoso;pizza;23;F;DX;1828,8;pizza
2;B;onore;vino;23;F;DX;1090,9;vino
2;B;maniaco;ossessione;23;F;DX;2466,4;maniaco
2;B;gatto;spaventato;23;F;DX;1377,5;gatto
2;B;tromba;potenza;23;F;DX;1038,2;tromba
2;B;dormire;paradiso;23;F;DX;1409,5;dormire
2;B;bocca;riverente;23;F;DX;796,8;bocca
2;B;estasi;sughero;23;F;DX;2165,1;sughero
2;B;montagna;codardo;23;F;DX;932,9;montagna
2;B;giocattolo;insipido;23;F;DX;977,5;giocattolo
2;B;puzza;stufa;23;F;DX;1296,5;stufa
2;B;paletta;collisione;23;F;DX;1659,5;paletta
2;B;grato;abbraccio;23;F;DX;1529,5;abbraccio
2;B;cappello;rovente;23;F;DX;765,2;cappello
2;B;brutale;miele;23;F;DX;1925;miele
2;B;piatto;insipido;23;F;DX;825;piatto
2;B;deforme;tronco;23;F;DX;1431,9;tronco
2;B;paralisi;sedia;23;F;DX;1991,6;sedia
2;B;sfera;fase;23;F;DX;1526,6;sfera
2;B;asilo;motivo;23;F;DX;1306;asilo
2;B;corrotto;gonna;23;F;DX;1228,1;gonna
2;B;immorale;attrezzo;23;F;DX;1469,4;attrezzo
2;B;precipizio;orrore;23;F;DX;1664,2;precipizio
2;B;intelletto;idrante;23;F;DX;2278,3;idrante
2;B;vetro;giustizia;23;F;DX;1329,7;vetro
2;B;stanco;divano;23;F;DX;2107,1;divano
2;B;pugnale;fortuito;23;F;DX;940,2;pugnale
2;B;vaso;gloria;23;F;DX;753,8;vaso
2;B;finestra;triste;23;F;DX;945,7;finestra
2;B;maglia;vincere;23;F;DX;1097,9;maglia
2;B;occhio;inganno;23;F;DX;1225,3;occhio
2;B;giardino;salute;23;F;DX;1451,9;giardino
2;B;riparato;tenda;23;F;DX;1966,8;tenda
2;B;veloce;vespa;23;F;DX;1375,8;vespa
2;B;bicicletta;passione;23;F;DX;1285,7;bicicletta
2;B;eccellenza;diamante;23;F;DX;1595,9;diamante
2;B;buio;balcone;23;F;DX;1454,6;balcone
2;B;ottimismo;profumo;23;F;DX;1888,6;profumo
3;A;finestra;triste;25;F;DX;856,3;triste
3;A;insolente;vasca;25;F;DX;652,9;insolente
3;A;prete;devoto;25;F;DX;984;devoto
3;A;estasi;sughero;25;F;DX;701,6;estasi
3;A;annoiato;mestolo;25;F;DX;734,3;annoiato
3;A;musica;violino;25;F;DX;702,6;musica
3;A;giardino;salute;25;F;DX;1002,7;salute
3;A;deforme;tronco;25;F;DX;817;deforme
3;A;umano;morale;25;F;DX;618,3;morale
3;A;ulivo;ambizione;25;F;DX;716,5;ambizione
3;A;dentista;fiducioso;25;F;DX;1052,4;fiducioso
3;A;poltrona;fiducia;25;F;DX;501,3;fiducia
3;A;tavolo;pressione;25;F;DX;735,2;pressione
3;A;attico;modesto;25;F;DX;798,5;modesto
3;A;poesia;penna;25;F;DX;588,9;poesia
3;A;pianta;saggio;25;F;DX;769;saggio
3;A;piatto;insipido;25;F;DX;935,2;insipido
3;A;infedele;sposa;25;F;DX;667,1;infedele
3;A;laureato;dio;25;F;DX;572,8;dio
3;A;vaso;gloria;25;F;DX;601,3;gloria
3;A;infuriato;forchetta;25;F;DX;670,9;infuriato
3;A;eccellenza;diamante;25;F;DX;683;eccellenza
3;A;scrivania;pensieroso;25;F;DX;736,5;pensieroso
3;A;onore;vino;25;F;DX;650,7;onore
3;A;sedile;agile;25;F;DX;700,2;agile
3;A;coltello;demonio;25;F;DX;657,1;demonio
3;A;tromba;potenza;25;F;DX;766,8;potenza
3;A;meraviglia;cornice;25;F;DX;740,5;meraviglia
3;A;miracolo;applauso;25;F;DX;873,6;miracolo
3;A;appetitoso;pizza;25;F;DX;616,9;appetitoso
3;A;dormire;paradiso;25;F;DX;540;paradiso
3;A;causa;stomaco;25;F;DX;802,2;causa
3;A;vetro;giustizia;25;F;DX;718,1;giustizia
3;A;caos;quaderno;25;F;DX;722,3;caos
3;A;grezzo;barile;25;F;DX;786,8;grezzo
3;A;lavare;attivare;25;F;DX;1057,2;attivare
3;A;scarafaggio;orribile;25;F;DX;535,8;orribile
3;A;aereo;allerta;25;F;DX;635;allerta
3;A;lussuria;prateria;25;F;DX;601,7;lussuria
3;A;bicicletta;passione;25;F;DX;522,1;passione
3;A;giocattolo;insipido;25;F;DX;698;insipido
3;A;gattino;dettaglio;25;F;DX;553;dettaglio
3;A;caramella;melodia;25;F;DX;618,1;melodia
3;A;stanco;divano;25;F;DX;659,1;stanco
3;A;genere;cioccolato;25;F;DX;567,7;genere
3;A;specchio;spirito;25;F;DX;1053,1;spirito
3;A;diavolo;prigione;25;F;DX;735,4;diavolo
3;A;vittoria;ombrello;25;F;DX;1053,6;vittoria
3;A;paletta;collisione;25;F;DX;523,1;collisione
3;A;montagna;codardo;25;F;DX;634,5;codardo
3;A;corrotto;gonna;25;F;DX;722,3;corrotto
3;A;avventura;vacanza;25;F;DX;658,5;avventura
3;A;elefante;innocente;25;F;DX;552;innocente
3;A;febbre;pino;25;F;DX;852,4;febbre
3;A;latte;fetore;25;F;DX;867;fetore
3;A;rancido;insalata;25;F;DX;719,4;rancido
3;A;dollaro;utile;25;F;DX;486,6;utile
3;A;rosso;bicchiere;25;F;DX;619,2;rosso
3;A;farfalla;fantasia;25;F;DX;834,3;fantasia
3;A;carcere;pena;25;F;DX;767,6;pena
3;A;fastidio;naso;25;F;DX;603,2;fastidio
3;A;statua;audace;25;F;DX;751,1;audace
3;A;elegante;felpa;25;F;DX;622,6;elegante
3;A;disprezzo;sorriso;25;F;DX;734,3;disprezzo
3;A;dono;perspicacia;25;F;DX;677,2;perspicacia
3;A;immorale;attrezzo;25;F;DX;650,4;immorale
3;A;leggenda;scala;25;F;DX;1219,2;leggenda
3;A;buio;balcone;25;F;DX;551,5;buio
3;A;evidente;serbatoio;25;F;DX;1068,4;evidente
3;A;mobilita;gomma;25;F;DX;806,2;mobilita
3;A;intimo;mistico;25;F;DX;938,2;mistico
3;A;mercato;vantaggio;25;F;DX;752,3;vantaggio
3;A;opzione;giacca;25;F;DX;666;opzione
3;A;bocca;riverente;25;F;DX;1251,8;riverente
3;A;guarire;ospedale;25;F;DX;1042,8;guarire
3;A;freddo;cappotto;25;F;DX;1170,3;freddo
3;A;intelletto;idrante;25;F;DX;840,2;intelletto
3;A;ispirato;geranio;25;F;DX;833,3;ispirato
3;A;maglia;vincere;25;F;DX;660,7;vincere
3;A;grave;caviglia;25;F;DX;656,9;grave
3;A;lenire;ferite;25;F;DX;1283,3;lenire
3;A;brutale;miele;25;F;DX;842,5;brutale
3;A;riparato;tenda;25;F;DX;703,8;riparato
3;A;asilo;motivo;25;F;DX;754,3;motivo
3;A;orecchio;disturbare;25;F;DX;616,1;disturbare
3;A;maniaco;ossessione;25;F;DX;849,3;ossessione
3;A;incidente;colpa;25;F;DX;719,8;colpa
3;A;fetido;calza;25;F;DX;533,1;fetido
3;A;precipizio;orrore;25;F;DX;468;orrore
3;A;frigido;forcina;25;F;DX;885,8;frigido
3;A;paralisi;sedia;25;F;DX;691,3;paralisi
3;A;idiota;scimmia;25;F;DX;586,5;idiota
3;A;muscoloso;debole;25;F;DX;589,2;debole
3;A;veloce;vespa;25;F;DX;504,1;veloce
3;A;crepuscolo;orologio;25;F;DX;690,3;crepuscolo
3;A;cane;cortese;25;F;DX;687,7;cortese
3;A;prestigio;lusso;25;F;DX;919,7;prestigio
3;A;camera;cortesia;25;F;DX;933,6;cortesia
3;A;atletica;scarpa;25;F;DX;870,2;atletica
3;A;natale;albero;25;F;DX;837,3;natale
3;A;pentola;mente;25;F;DX;499,9;mente
3;A;gatto;spaventato;25;F;DX;567;spaventato
3;A;occhio;inganno;25;F;DX;755,3;inganno
3;A;cavallo;arte;25;F;DX;621,8;arte
3;A;cappello;rovente;25;F;DX;574,5;rovente
3;A;puzza;stufa;25;F;DX;601,8;puzza
3;A;abito;solenne;25;F;DX;717,7;solenne
4;B;atletica;scarpa;23;f;dx;958,9;scarpa
4;B;libreria;spazio;23;f;dx;769,4;libreria
4;B;freddo;cappotto;23;f;dx;1053,7;cappotto
4;B;meraviglia;cornice;23;f;dx;1976,6;cornice
4;B;umano;morale;23;f;dx;1095,2;umano
4;B;brutale;miele;23;f;dx;1920,5;miele
4;B;leggenda;scala;23;f;dx;2037,6;scala
4;B;vaso;gloria;23;f;dx;713,6;vaso
4;B;incidente;colpa;23;f;dx;1272,5;incidente
4;B;ostile;nuvoloso;23;f;dx;2363,3;nuvoloso
4;B;statua;audace;23;f;dx;1279,4;statua
4;B;insolente;vasca;23;f;dx;2254;vasca
4;B;grato;abbraccio;23;f;dx;983,8;abbraccio
4;B;giardino;salute;23;f;dx;901,7;giardino
4;B;orecchio;disturbare;23;f;dx;1901,5;orecchio
4;B;miracolo;applauso;23;f;dx;1438,8;applauso
4;B;estasi;sughero;23;f;dx;956,5;sughero
4;B;giocattolo;insipido;23;f;dx;634,7;giocattolo
4;B;paralisi;sedia;23;f;dx;974,5;sedia
4;B;onore;vino;23;f;dx;763;vino
4;B;maglia;vincere;23;f;dx;744;maglia
4;B;paletta;collisione;23;f;dx;1323,3;paletta
4;B;natale;albero;23;f;dx;940,8;albero
4;B;mobilita;gomma;23;f;dx;971,8;gomma
4;B;riparato;tenda;23;f;dx;829,4;tenda
4;B;causa;stomaco;23;f;dx;919,9;stomaco
4;B;tavolo;pressione;23;f;dx;765,2;tavolo
4;B;rosso;bicchiere;23;f;dx;1229,3;bicchiere
4;B;cappello;rovente;23;f;dx;786,2;cappello
4;B;dono;perspicacia;23;f;dx;1662,3;dono
4;B;tromba;potenza;23;f;dx;1499,2;tromba
