correct	correct_response	count_exp_sequence	leksikalnost	rec	response	response_time	trial_number	naziv_fajla	exp_title
1	3	94	pseudorec	DORANOG	3	759	110	subject-82.csv	PRIDEVI_B
1	1	95	rec	SPORTSKOG	1	1065	83	subject-82.csv	PRIDEVI_B
1	1	96	rec	NEBESKOM	1	835	45	subject-82.csv	PRIDEVI_B
1	1	97	rec	NOĆNOM	1	746	54	subject-82.csv	PRIDEVI_B
1	1	98	rec	DAVNOM	1	835	12	subject-82.csv	PRIDEVI_B
1	1	99	rec	PRAVILNOG	1	611	65	subject-82.csv	PRIDEVI_B
1	3	100	pseudorec	TULAVOM	3	631	152	subject-82.csv	PRIDEVI_B
1	3	101	pseudorec	GANKOJ	3	780	204	subject-82.csv	PRIDEVI_B
1	3	102	pseudorec	KILENOM	3	682	159	subject-82.csv	PRIDEVI_B
1	3	103	pseudorec	OTKENOJ	3	814	196	subject-82.csv	PRIDEVI_B
1	1	104	rec	SMRTNOJ	1	776	82	subject-82.csv	PRIDEVI_B
1	3	105	pseudorec	URTIVOJ	3	613	199	subject-82.csv	PRIDEVI_B
1	3	106	pseudorec	MORIVOM	3	929	148	subject-82.csv	PRIDEVI_B
0	1	107	rec	EKONOMSKOG	None	1500	17	subject-82.csv	PRIDEVI_B
1	3	108	pseudorec	BUTOJ	3	742	209	subject-82.csv	PRIDEVI_B
1	1	109	rec	MUTNOM	1	903	42	subject-82.csv	PRIDEVI_B
1	3	110	pseudorec	TIROKOJ	3	702	201	subject-82.csv	PRIDEVI_B
1	1	111	rec	ŽALOSNOG	1	810	101	subject-82.csv	PRIDEVI_B
1	3	112	pseudorec	NORAVOM	3	710	158	subject-82.csv	PRIDEVI_B
1	3	113	pseudorec	GUJAFOJ	3	674	211	subject-82.csv	PRIDEVI_B
1	3	114	pseudorec	KISAVOM	3	1109	153	subject-82.csv	PRIDEVI_B
1	3	115	pseudorec	MILATOG	3	1051	131	subject-82.csv	PRIDEVI_B
1	1	116	rec	BUDNOG	1	595	5	subject-82.csv	PRIDEVI_B
1	3	117	pseudorec	OSKENOJ	3	812	198	subject-82.csv	PRIDEVI_B
1	3	118	pseudorec	MORNOM	3	947	151	subject-82.csv	PRIDEVI_B
1	1	119	rec	DNEVNOG	1	727	14	subject-82.csv	PRIDEVI_B
1	3	120	pseudorec	SUČENOM	3	772	169	subject-82.csv	PRIDEVI_B
1	1	121	rec	VISOKOG	1	751	98	subject-82.csv	PRIDEVI_B
1	3	122	pseudorec	DURAVOM	3	728	156	subject-82.csv	PRIDEVI_B
1	3	123	pseudorec	FORKOJ	3	694	183	subject-82.csv	PRIDEVI_B
0	3	124	pseudorec	MISANOG	1	962	108	subject-82.csv	PRIDEVI_B
1	3	125	pseudorec	RIROKOG	3	922	126	subject-82.csv	PRIDEVI_B
0	1	126	rec	GORSKOM	3	970	21	subject-82.csv	PRIDEVI_B
1	1	127	rec	POVOLJNOM	1	1153	63	subject-82.csv	PRIDEVI_B
1	3	128	pseudorec	NORNOM	3	991	162	subject-82.csv	PRIDEVI_B
1	1	129	rec	ČUDESNOJ	1	714	10	subject-82.csv	PRIDEVI_B
1	3	130	pseudorec	TOLANOG	3	797	111	subject-82.csv	PRIDEVI_B
1	1	131	rec	VAŽNOJ	1	664	97	subject-82.csv	PRIDEVI_B
1	3	132	pseudorec	ŽUNAVOM	3	713	147	subject-82.csv	PRIDEVI_B
1	1	133	rec	SELJAČKOM	1	672	75	subject-82.csv	PRIDEVI_B
1	1	134	rec	STAKLENOM	1	722	84	subject-82.csv	PRIDEVI_B
1	1	135	rec	BOLESNOJ	1	706	4	subject-82.csv	PRIDEVI_B
1	3	136	pseudorec	PANANOM	3	817	146	subject-82.csv	PRIDEVI_B
1	1	137	rec	MUZIČKOJ	1	643	43	subject-82.csv	PRIDEVI_B
1	1	138	rec	RANJENOG	1	571	71	subject-82.csv	PRIDEVI_B
0	1	139	rec	NEZNANOJ	3	878	52	subject-82.csv	PRIDEVI_B
1	3	140	pseudorec	SILKIMOG	3	993	133	subject-82.csv	PRIDEVI_B
1	1	141	rec	GUSTOG	1	1059	23	subject-82.csv	PRIDEVI_B
1	3	142	pseudorec	LOKAVOG	3	898	115	subject-82.csv	PRIDEVI_B
1	3	143	pseudorec	FLABOJ	3	660	208	subject-82.csv	PRIDEVI_B
1	1	144	rec	LAŽNOG	1	627	32	subject-82.csv	PRIDEVI_B
1	3	145	pseudorec	NELAHOJ	3	818	186	subject-82.csv	PRIDEVI_B
1	3	146	pseudorec	FLAKOJ	3	831	192	subject-82.csv	PRIDEVI_B
1	3	147	pseudorec	FRKENOJ	3	736	206	subject-82.csv	PRIDEVI_B
1	3	148	pseudorec	GILANOG	3	797	121	subject-82.csv	PRIDEVI_B
1	1	149	rec	DRUŠTVENOM	1	623	15	subject-82.csv	PRIDEVI_B
1	1	150	rec	ŠUMSKOJ	1	677	88	subject-82.csv	PRIDEVI_B
1	1	151	rec	JUŽNOJ	1	838	25	subject-82.csv	PRIDEVI_B
1	3	152	pseudorec	TORNOG	3	703	141	subject-82.csv	PRIDEVI_B
1	3	153	pseudorec	VURNOG	3	760	117	subject-82.csv	PRIDEVI_B
1	3	154	pseudorec	ČUPAKOM	3	842	167	subject-82.csv	PRIDEVI_B
1	3	155	pseudorec	KUDNOG	3	720	130	subject-82.csv	PRIDEVI_B
1	3	156	pseudorec	KLAKNOJ	3	675	188	subject-82.csv	PRIDEVI_B
1	1	157	rec	POLITIČKOJ	1	794	61	subject-82.csv	PRIDEVI_B
1	3	158	pseudorec	LASIVOM	3	989	157	subject-82.csv	PRIDEVI_B
1	1	159	rec	NEPOZNATOM	1	620	48	subject-82.csv	PRIDEVI_B
1	1	160	rec	LAKOJ	1	655	31	subject-82.csv	PRIDEVI_B
1	1	161	rec	PRIVREDNOJ	1	1144	67	subject-82.csv	PRIDEVI_B
1	1	162	rec	SLOBODNOM	1	668	81	subject-82.csv	PRIDEVI_B
1	1	163	rec	NAUČNOG	1	720	44	subject-82.csv	PRIDEVI_B
1	3	164	pseudorec	SRLAVOJ	3	839	184	subject-82.csv	PRIDEVI_B
1	1	165	rec	ŽIVOTNOG	1	1063	104	subject-82.csv	PRIDEVI_B
1	1	166	rec	ČITAVOG	1	633	8	subject-82.csv	PRIDEVI_B
1	3	167	pseudorec	FLARATOJ	3	660	203	subject-82.csv	PRIDEVI_B
1	1	168	rec	ZLOM	1	619	102	subject-82.csv	PRIDEVI_B
0	3	169	pseudorec	LATNOG	1	538	134	subject-82.csv	PRIDEVI_B
1	3	170	pseudorec	CUKAVOJ	3	724	181	subject-82.csv	PRIDEVI_B
1	3	171	pseudorec	MRGAVOM	3	1309	163	subject-82.csv	PRIDEVI_B
1	1	172	rec	ČELIČNOJ	1	940	7	subject-82.csv	PRIDEVI_B
1	1	173	rec	PROKLETOM	1	770	69	subject-82.csv	PRIDEVI_B
1	1	174	rec	RADOSNOJ	1	609	70	subject-82.csv	PRIDEVI_B
1	1	175	rec	STALNOJ	1	769	85	subject-82.csv	PRIDEVI_B
1	3	176	pseudorec	NECNOJ	3	800	177	subject-82.csv	PRIDEVI_B
1	1	177	rec	ATOMSKOJ	1	630	1	subject-82.csv	PRIDEVI_B
1	3	178	pseudorec	DILAVOG	3	784	135	subject-82.csv	PRIDEVI_B
1	1	179	rec	SVETSKOM	1	721	90	subject-82.csv	PRIDEVI_B
1	3	180	pseudorec	BUŽNOM	3	789	174	subject-82.csv	PRIDEVI_B
1	1	181	rec	PRLJAVOG	1	651	68	subject-82.csv	PRIDEVI_B
1	3	182	pseudorec	VEDNOJ	3	960	185	subject-82.csv	PRIDEVI_B
1	3	183	pseudorec	TENOKOG	3	823	140	subject-82.csv	PRIDEVI_B
1	1	184	rec	NEŽNOM	1	707	51	subject-82.csv	PRIDEVI_B
1	3	185	pseudorec	BLUGAVOJ	3	929	193	subject-82.csv	PRIDEVI_B
1	3	186	pseudorec	CUSNOJ	3	759	178	subject-82.csv	PRIDEVI_B
1	3	187	pseudorec	SUVANOM	3	744	142	subject-82.csv	PRIDEVI_B
1	3	188	pseudorec	GLOMNOM	3	571	154	subject-82.csv	PRIDEVI_B
1	1	189	rec	OZBILJNOG	1	757	59	subject-82.csv	PRIDEVI_B
1	1	190	rec	NEVIDLJIVOJ	1	812	49	subject-82.csv	PRIDEVI_B
1	1	191	rec	ŠIROKOG	1	870	77	subject-82.csv	PRIDEVI_B
1	1	192	rec	MRAČNOG	1	586	41	subject-82.csv	PRIDEVI_B
1	3	193	pseudorec	RIZANOM	3	707	143	subject-82.csv	PRIDEVI_B
1	1	194	rec	VLAŽNOM	1	929	99	subject-82.csv	PRIDEVI_B
1	1	195	rec	PRIRODNOM	1	682	66	subject-82.csv	PRIDEVI_B
1	3	196	pseudorec	NOLENOG	3	671	112	subject-82.csv	PRIDEVI_B
1	1	197	rec	PLEMENITOM	1	1037	60	subject-82.csv	PRIDEVI_B
1	1	198	rec	SEVERNOJ	1	639	76	subject-82.csv	PRIDEVI_B
1	1	199	rec	GRADSKOJ	1	945	22	subject-82.csv	PRIDEVI_B
1	1	200	rec	OBIČNOJ	1	510	55	subject-82.csv	PRIDEVI_B
1	1	201	rec	NEMIRNOG	1	603	47	subject-82.csv	PRIDEVI_B
1	3	202	pseudorec	PUMNOG	3	709	132	subject-82.csv	PRIDEVI_B
1	3	203	pseudorec	HURNOM	3	775	175	subject-82.csv	PRIDEVI_B
1	3	204	pseudorec	SAŽNOJ	3	1088	180	subject-82.csv	PRIDEVI_B
1	3	205	pseudorec	ČILKOM	3	944	155	subject-82.csv	PRIDEVI_B
1	3	206	pseudorec	LJITKOM	3	821	173	subject-82.csv	PRIDEVI_B
1	3	207	pseudorec	BLETANOJ	3	1169	212	subject-82.csv	PRIDEVI_B
1	3	208	pseudorec	ZEGENOJ	3	801	207	subject-82.csv	PRIDEVI_B
1	3	209	pseudorec	HAČNOJ	3	740	182	subject-82.csv	PRIDEVI_B
0	1	210	rec	ČUDNOM	3	616	9	subject-82.csv	PRIDEVI_B
1	1	211	rec	ODLIČNOG	1	708	56	subject-82.csv	PRIDEVI_B
