participant_id,trial_id,stimulus,response1,response2,response3,response4,response5,response6,response7,response8,response9,response10,response11,response12,response13,response14,response15,response16,response17,response18,response19,response20
20,10,FIG,fruit,passion fruit,raisin,sour,peach,plum,pear,banana,grape,lemon,lime,raspberry,tasty,blackberry,blackcurrant,redcurrant,,,,
20,12,FRAGMENT,dna,shard,splinter,meteorite,molecule,shell,piece,fragmentation,dna,peptide,scrap,skull,bone,mosaic,debris,pottery,fission,collision,crash,bullet
20,14,GROUNDHOG,squirrel,burrow,gopher,woodstock,badger,weasel,rabbit,coyote,hedgehog,loop,holiday,day,murray,wildlife,habitat,prediction,predator,hunting,rodent,small
20,22,MOSQUITO,bite,aids,sting,noise,noise,buzz,annoying,insect,africa,whine,infection,illness,blood,vampire,transmit,spray,hum,disease,humid,malaria
20,24,NAPKIN,wipe,towel,wipe,waiter,cloth,handkerchief,dinner,diner,meal,fold,sauce,coffee,tea,soup,dessert,starter,greasy,embroider,clean,dainty
20,30,RHUBARB,custard,powdered,canned,root,herbal,cook,sour,edible,beet,roast,bake,salad,melon,flavor,ginger,hardy,vegetable,medicine,cherry,barb
20,35,SPREAD,butter,rumor,wide,disease,virus,plague,infection,hiv,infectious,disperse,thinly,evenly,rapidly,quickly,cloth,blanket,bed,wildfire,flame,panic
20,39,TOWER,tall,building,big,brick,castle,satellite,long,rapunzel,stack,strength,t,,,,,,,,,
20,40,XYLOPHONE,instrument,cymbal,bassoon,gong,keyboard,trombone,violin,guitar,oboe,jingle,banjo,tambourine,mandolin,drum,rattle,orchestra,organ,piano,bass,triangle
21,1,ALPHABET,language,english,children,learning,school,easy,hard,nursery,teachers,book,toddlers,european,passwords,vocabulary,speech,reading,communicating,wordskill,story,essay
21,3,CANNONBALL,soldiers,battlements,firing,guns,castle,battlements,canon,enemy,soldiers,war,battle,black,round,heavy,bang,smoke,fire,injury,wounds,killing
21,4,COUPON,ticket,paper,white,money,savings,discount,value,cheap,percentage,present,gift,birthday,economy,less,square,fragile,cheap,food,drinks,christmas
21,5,CUDDLE,loving,soft,caress,teddy,bear,husband,wife,children,son,daughter,animals,throw,warmth,affection,kindness,appreciate,tingly,nice,closeness,happy
21,8,ENAMEL,nail,varnish,shiny,paint,chipped,smooth,sparkling,protection,longlasting,pearlise,paintings,repairs,colors,gold,silver,clear,coats,smelly,mask,protection
21,13,GEM,stone,expensive,diamond,ruby,emerald,sapphire,ring,broach,necklace,gemstone,money,hundreds,carat,color,intensity,cut,gorgeous,proposal,wedding,marriage
21,23,MOUNTAIN,high,hill,remote,high,cold,foggy,oxygen,breathe,green,white,snowy,climb,high,impressive,climbing,altitude,sickness,view,beautiful,majestic
21,26,PASTA,lovely,italian,peppers,spaghetti,farafelle,penne,fettucine,tagliatelle,bolognese,lasagna,yummy,favorite,fork,parmesan,cheese,garlic,parmesan,olives,filling,favorite
21,27,PEACOCK,colors,blue,green,white,strutting,peahen,noisy,screechy,fantail,pretty,proud,bird,bigbird,male,mating,partner,loving,beautiful,openout,tails
21,28,PUKE,sick,horrible,green,messy,illness,pain,vomit,ache,disagreeable,horrible,regurgitation,bad,ill,headache,flue,food,bug,disease,dizzy,yellow
22,6,DIAGRAM,annotation,drawing,picture,advisory,information,display,illustrate,book,science,explain,explanation,picture,information,learning,drawn,book,poster,explanation,words,show
22,7,DOORMAT,pushover,clean,foot,shows,shoes,door,outside,rain,wet,dirty,clean,floor,carpet,storm,snow,boots,dry,dirt,dirty,clean
22,15,GUST,wind,blow,gale,hurricane,solar,wind farm,windy,offshore,power,blowing,unsteady,bad,weather,trees,damage,outdoors,indoors,hide,rain,hair
22,18,KITCHEN,cooker,sink,microwave,lounge,toilet,study,office,bedroom,ensuite,utility,island,cooking,chef,pretty,room,house,sociable,breakfast,dinner,lunch
22,19,LEASE,rent,borrow,own,use,car,flat,house,pay,,,,,,,,,,,,
22,25,OAK,tree,pine,park,woods,forest,logs,fire,burning,beautiful,nature,wild,large,old,ancient,leaves,autumn,seasonal,majestic,stunning,hills
22,31,SLAUGHTER,animal,killing,house,abattoir,killing,cows,livestock,unfair,sad,murder,pain,carnivore,farm,farmers,meat,beef,steak,death,sad,killer
22,33,SPOKESPERSON,speaker,represent,representative,speech,talking,advocate,,,,,,,,,,,,,,
22,34,SPRAIN,hurt,pain,painful,leg,ankle,wrist,hospital,doctors,cast,sling,football,injury,injured,broken,break,sore,acetaminophen,pain relief,sport,rest
22,38,TORTOISE,turtle,shell,land,animal,mammal,island,exotic,wild,cute,beautiful,nature,inspiring,rare,c,,,,,,
23,6,DIAGRAM,picture,explaination,drawing,maths,science,chart,powerpoint,directions,instructions,ikea,understanding,teaching,clear,explaination,whiteboard,,,,,
23,7,DOORMAT,mud,shoes,door,house,home,boots,weak,enter,exit,brown,wipe,wet,stand,passive,introvert,dust,,,,
23,15,GUST,wind,blow,gale,weather,forecast,speed,cold,winter,kite,blow,washing,leaf,gale,hurricane,tornado,,,,,
23,18,KITCHEN,cook,food,bin,cat,snack,tap,sink,cooker,oven,bowl,fork,knife,spoon,kettle,tea,cup,plate,crisp,lunch,breakfast
23,19,LEASE,rent,borrow,car,loan,money,longterm,grant,share,horse,house,office,expense,tie,accept,hire,pay,property,hire,field,land
23,25,OAK,tree,table,chair,sideboard,flooring,woods,acorn,apple,squirrel,birds,forest,tree,treehouse,leaf,twig,branch,bark,smell,solid,veneer
23,31,SLAUGHTER,death,animals,blood,kill,die,meat,terrorist,sheep,cows,pig,house,knife,chicken,turkey,food,crime,murder,shooting,gun,arrest
23,33,SPOKESPERSON,leader,boss,group,work,jury,protest,cause,speech,union,front,case,lesson,elect,dictator,represent,advocate,lawyer,speaker,,
23,34,SPRAIN,ankle,pain,hospital,fall,sport,walking,sore,tendon,illness,wrist,finger,toe,bandage,crutch,boot,walking stick,fracture,muscle,nurse,doctor
23,38,TORTOISE,shell,turtle,ecoli,lettuce,slow,hibinate,blue peter,box,tank,bath,dry,pet,giant,home,lost,hard,galapogis,grave,poop,green
