participant_id,trial_id,stimulus,response1,response2,response3,response4,response5,response6,response7,response8,response9,response10,response11,response12,response13,response14,response15,response16,response17,response18,response19,response20
25,7,spank,sex,vagina,child,disapline,pain,cover,bed,snuggle,pillow,hurt,maybe,mark,red,fiction,text,red,book,black,leg,foot
25,8,stomach,each,peach,sofa,cushion,yoke,dizzy,egg,splash,mess,soliders,pan,water,salt,oven,plan,oval,window,blind,relax,book
25,9,textile,fabric,soft,fluff,dust,oval,warm,jiffy,run,shoes,laces,wire,cover,coat,jacket,gloves,scarf,chair,comfort,log,cover
26,0,farmyard,farm,animal,tractor,fence,dirty,field,grass,dogs,pigs,cows,sheep,silo,grain,bayles,hay,combine harvester,rats,wellies,chickens,donkeys
26,1,fig,tree,biscuit,fruit,tree,pudding,dessert,figgy pudding,christmas,roll,sweet,fruit,grow,green,tr,,,,,,
26,2,fragment,piece,glass,small,sharp,shard,broken,piece,plastic,dream,shattered,item,debris,hard,sharp,reflect,triangle,element,item,shard,window
26,3,groundhog,day,film,bill murray,story,hog,pig,repetition,movie,again,day,again,repeat,funny,amusing,film,concept,,,,
26,4,mosquito,bite,buzz,pest,insect,itch,allergy,hot,annoying,bug,fly,wings,sting,malaria,spain,night,citronella,bite cream,hurt,fly,sting
26,5,napkin,paper,fabric,clean,crumbs,dinner,food,party,mouth,table,buffet,dinner,restaurant,cafe,eating,dining,knife,fork,spoon,plate,bowl
26,6,rhubarb,crumble,custard,sugar,swett,sweet,bitter,dessert,grow,cook,harvest,bake,boil,sugar,gin,sharp,baking,grandma,sunday lunch,dessert,pudding
26,7,spread,butter,magarine,sandwich,buffet,share,jam,marmalade,marmite,chocolate,pate,sandwiched,lunch,picnic,food,happy,share,dinner,lunch,packed school lunch,cheese
26,8,tower,high,tall,castle,scary,bt,royal,posh,block,flats,large,bricks,stone,tower of london,execution,princes in the tower,eiffel,paris,pc tower,blackpool,twin towers
26,9,xylophone,instrument,music,play,school,orchestra,band,noisy,tune,play,learn,wooden,strike,noisy,loud,hit,school band,melancholic,assembly,school hall,music
27,0,alphabet,letters,street,phonetic,learn,twenty-six,vowels,consanants,spell,child,school,painting,wall,keyboard,type,write,prince,sounds,shapes,left,right
27,1,cannonball,weapon,missile,armed,castle,old-fashioned,knight,metal,heavy,army,moat,fuse,dynamite,kill,ball,bang,explosion,smoke,noise,fire,distance
27,2,coupon,voucher,ticket,discount,free,food,paper,cut,magazine,newspaper,collect,checkout,till,purse,money,produce,loyalty,saving,shopping,keep,spend
27,3,cuddle,hugs,affection,baby,pet,toy,teddybear,doll,comfort,greeting,arms,uncomfortable,love,friendship,cat,dog,child,kiss,warmth,soft,awkward
27,4,enamel,teeth,material,tissue,white,dentist,coating,paint,glossy,damage,yellow,rot,strength,bite,colours,decoration,,,,,
27,5,gem,jewellery,ruby,sapphire,ring,earring,pendant,pearl,expensive,gift,jewellers,gold,silver,stone,bracelet,engagement,wedding,stud,colour,red,blue
27,6,mountain,hill,climb,explore,scenery,snow,landscape,countryside,ice,hike,lion,goat,clouds,summit,rescue,backpack,boots,cold,rope,map,flag
27,7,pasta,food,dried,italian,lasagne,jar,shapes,boil,sauce,cheese,dinner,warm,full,tomato,fusili,spaghetti,pan,cook,vegetables,storage,packets
27,8,peacock,bird,colours,feathers,neck,estates,mansions,green,walking,blue,wings,strong,aggressive,peck,beak,groups,lawns,space,wild,feed,
27,9,puke,vomit,sick,illness,drinking,hangover,travel,american,eating,food,child,man,alcohol,over indulgance,sweets,junk,ailment,bag,toilet,sink,plane
28,0,battle,abbey,1066,hastings,fear,normans,saxons,market,tapestry,work,conflict,war,school ground,robertsbridge,arrows,memorbilia,home,train statin,poppy,castles,anglo
28,1,fold,paper,inward,collapse,card game,turn,count,decline,lose,improve,alter,,,,,,,,,,
28,2,heroin,female,celebrate,saviour,story,tale,drug,harm,fear,,,,,,,,,,,,
28,3,kidney,cancer,taste,ofal,yuck,beans,organs,urine,infection,dialysis,illness,pain,alcohol,back pain,,,,,,,
28,4,magnify,improve,sight,elaborate,cooperate,investigate,glasses,age,deteriation,improvement,decline,laser treatment,instrument,,,,,,,,
28,5,monastery,religion,spain,catholics,priests,nuns,quietness,candles,money,abuse,power,laws,abstinance,arts,stain glass,treasures,gold,burials,solemn,stillness,visitors
28,6,radio,music,bbc,virgin,documentaries,humour,company,companionship,singalong,top 10,sunday nights,dave lee travis,chris evans,graham norton,,,,,,,
28,7,spank,bottom,anger,70s,forbidden,child,whollop,hurt,harm,fear,abuse,play,sex,redness,nerves,anxiety,teachers,cane,embarrasment,slipper,ruler
28,8,stomach,pain,weight,food,operations,digestion,fluid,pain,loss,empty,full,water,yummy,cancer,biology,flat,wobbly,fat,mummy,pregnancy,yoga
28,9,textile,fabric,sewing,parents,tailors,seamstress,family business,loom,studies,sanderson,laura ashley,habidashery,thread,weight,quality,cotton,velvet,upholstery,polyester,,
29,0,farmyard,farm,yard,farmer,grass,green,animals,plants,crops,harvest,corn,pig,cows,chicken,dog,herding,cultivate,eat,,,
29,1,fig,fruit,raisin,grape,medeterrainean,olives,hummus,tree,eat,food,plate,snack,vegetable,eating,meal,,,,,,
29,2,fragment,piece,part,broken,ceramic,imagination,tear,break,shatter,collapse,cr,,,,,,,,,,
29,3,groundhog,ground,animal,soil,mud,mess,burrow,teeth,tongue,feet,quirrel,platypus,hedgehog,small,smell,pest,grass,tree,farmer,land,
29,4,mosquito,bite,annoying,scars,malaria,sri lanka,heat,humid,pest,water,night,sting,mark,noise,dirty,red,bump,itchy,irritating,flies,
29,5,napkin,nose,party,tissue,white,restaurant,eat,food,clean,tidy,cutlery,cold,spill,eat,write,pen,corner,edge,square,white,pattern
29,6,rhubarb,rose,food,pie,colour,red,pink,eat,plate,vegetable,fruit,pumpkin,seasonal,treat,picky,taste,smell,touch,feel,bump,clean
29,7,spread,butter,food,nutella,wide,knife,toast,toaster,eat,food,,,,,,,,,,,
29,8,tower,eiffel,clock,paris,france,pretty,tall,stable,engineering,concrete,trees,skyscraper,crash,,,,,,,,
29,9,xylophone,instrument,sound,hearing,orchestra,music,difficult,notes,sheet,people,group,harmonic,pleasant,violin,guitar,cello,piano,trombone,flute,harp,triangle
30,0,diagram,drawing,chart,lines,explanation,science,math,circle,venn,medicine,body,illustration,pencil,statistics,show,explain,3d,pie chart,sketch,dna,system
30,1,doormat,wipe,shy,dirt,slogan,mud,welcome,rectangle,entrance,enter,door,quiet,invisible,prickly,hay,brown,first,thick,writing,parcel,hide
30,2,gust,wind,blow,bird,wings,breeze,weather,tornado,hurricane,flying,eye,cold,strong,flutter,uncomfortable,disruptive,debris,pokemon,scarf,float,chilly
30,3,kitchen,cook,prepare,boil,steam,oven,fry,roast,cut,blend,eat,mix,fridge,washing amchine,pantry,microwave,hungry,thirtsy,taps,washing,ice
30,4,lease,rent,home,flat,apartment,money,borrow,buy,sell,temporary,live,office,building,space,tenant,home,shop,expensive,control,contract,sign
30,5,oak,tree,cedar,finish,polish,wood,table,chairs,professor,pokemon,big,expensive,shop,countertop,forest,park,conkers,knock,posh,smart,decorative
30,6,slaughter,kill,murder,meat,pig,cow,house,factory,cruel,slasher,murderer,knife,slit,throat,blood,gush,red,unethical,violent,mask,butcher
30,7,spokesperson,speak,discourse,present,convey,talk,leader,event,microphone,stand,lectern,tele[rompter,speech,representative,politics,langauge,performance,glasses,audience,anticipation,slideshow
30,8,sprain,pain,bones,muscles,science,medicine,painkillers,ibroprufen,bandage,breath,hospital,crutches,hurt,accident,bend,snap,pull,,,,
30,9,tortoise,slow,hare,turtle,big,confused,green,shell,cute,galapagos,science,consrrvation,ecology,animal,weird,fables,tales,crawl,protect,winner,race
31,0,farmyard,animal,farmer,cow,horse,pig,ducks,chicken,turkey,hill,gate,shed,tractor,lane,bucket,straw,mouse,house,chimney,puddle,corn
31,1,fig,olive,branch,fruit,dates,greece,warm,sunny,healthy,food,toga,gods,figment,figaro,figgidaboutit,,,,,,
31,2,fragment,piece,jigsaw,shatter,bit,shard,pieces,break,smash,divide,lost,broken,shattered,snippet,,,,,,,
31,3,groundhog,day,animal,warthog,tusks,forrage,thirteenth,autumn,leaves,foraging,truffles,repeat,loop,stuck,hairy,tusks,teeth,oink,forest,woods,trees
31,4,mosquito,bite,insect,malaria,cherylcole,bite,nozzle,blood,disease,net,warm,swat,pest,pestilence,plague,evil,bushtuckertrial,sore,itchy,sucking,africa
31,5,napkin,wipe,serviette,clean,dab,mouth,lap,messy,cloth,food,face,mucky,clarty,dab,tissue,soak,towel,mop,i,,
31,6,rhubarb,custard,plant,vegetable,garden,red,purple,sugar,taste,grown,harvest,plot,earth,mud,horticulture,farmer,gardener,leaves,,,
31,7,spread,butter,legs,'em,arms,bbed,bed,toast,bilbo,food,partyt,party,margarine,yellow,crumpet,thin,out,eagled,wings,disease,gemrs
31,8,tower,castle,tall,princess,spikes,turret,roof,troll,drawbridge,dragon,wizard,high,prison,big,keep,fort,sauron,baradur,twin,plane,crash
31,9,xylophone,music,percussion,beaters,glockenspiel,timpani,notes,stand,conductor,school,classroom,christmas,cymbal,audience,playing,chime,ding,bang,clunk,high,tuned
32,0,farmyard,animals,mud,poo picking,haybails,farmers,tractors,barns,pigs,cows,,,,,,,,,,,
32,1,fig,dried,cooked,tinned,plant,edible,flower,fruit,cluster of flowers,cooked,dessert,snack,brown,purple,round,ripe,tender,syrup,fresh,fig ntrees,small tree
32,2,fragment,broken,small part of something,glass,clothing,plant,pottery,china,food,small pieces,broken items,greenery,pots,pans,fa,,,,,,
32,3,groundhog,animal,groundhog day,rodent,usa,,,,,,,,,,,,,,,,
32,4,mosquito,bites,hot country,suncream,bite cream,itchy,lumps,irritating,cover up,creams,infection,mozzy nets,replent spray,swimming pool,at night,on holiday,sore,uncomfortable,annoying,tablets,creams
32,5,napkin,table,eating,cleaning,wipe mouth,clear up mess,white,folded,under cutlery,resturant,christmas dinner,cake,blow your nose,sick,babies,cooking,eating,dinner,lunch,clean,doggy bag
32,6,rhubarb,custard,sweets,vegetable,fruit,smoothie,food,crumble,roasted,boiled,cream,flavour,garden,plant,cooked,smells,vitiamin k,bone health,raw,anti inflamatory,tasty
32,7,spread,buuter,cheese,sauce,pizza,buffet spread,jam,honey,toast,sandwich,space,arts and crafts,space,,,,,,,,
32,8,tower,tall,heights,view,high,sky,stairs,lifts,big,busy,lots of people,see for miles,can be seen for miles,building,ugly,too big,skyscraper,lots of windows,lots of doors,fire ext,escalators
32,9,xylophone,music,mouth,fingers,noise,tune,concert,music lessons,band,qiour,songs,beat,singing,pantomine,,,,,,,
33,0,diagram,draw,instrucxtion,explanation,view,detailed,informative,map,read,see,observe,charts,lines,colours,sketch,maths,school,work,factual,black,
33,1,doormat,hard,shoes,feet,outside,inside,bristly,brown,home,boots,trainers,enter,leave,arrive,rough,dirty,vaccum,stand,wipe,dark,changable
33,2,gust,wind,blowy,weather,cold,strong,forcast,blown,damage,cold,wind,fast,shelter,winetr,autumn,seaside,movement,rain,stormy,push,atmosphere
33,3,kitchen,cupboards,work,cooking,food,family,table,people,busy,clean,messy,full,fast,cutlery,windows,sink,boards,cutting,oven,units,dishwasher
33,4,lease,car,borrow,fimance,return,unowned,term,condition,expectations,,,,,,,,,,,,
33,5,oak,tree,leaves,big\,large,huge,old,green,acorns,ground,branches,story,picture,grand,importance,history,time,comfort,wood,frames,doors
33,6,slaughter,kill,animal,nasty,vicious,cruel,murder,blood,hang,cut,knives,remove,gore,scared,food,butchers,houses,mess,abatouir,end,hard
33,7,spokesperson,speaker,parliament,mps,chair,voice,opinion,people,community,advocate,confidence,topics,strong,rally,groups,standing]\,microphone,loud,television,protests,talking
33,8,sprain,injury,ankle,wrist,football,sports,gymnastics,exercise,pain,hospital,support,bandages,rest,recovery,time,heal,patence,stretch,jump,fast,weak
33,9,tortoise,animal,shell,hard,slow,race,people,children,books,lettuce,garden,wrinkly,pictures,creature,round,grass,park,zoo,,,
34,0,alphabet,song,vowels,constanants,letters,words,stories,books,learning,nursery,teaching,blocks,soup,spaghetti,rhymes,reading,library,teacher,parents,storybook,music
34,1,cannonball,gun powder,war,fighting,crime,swimming pool,splash,comedians,wet,loud,black,smoke,damage,destruction,castle,old,cannon,fired,firing,spark,bang
34,2,coupon,voucher,discount,saving,deal,shopping,saving,money,dollars,american,supermarket,booklet,sales,stock,christmas,bargain,scan,smart,good,cheap,big
34,3,cuddle,hug,warm,hot,suffocating,touch,grief,love,close,arms,unwanted,smothering,friends,family,husband,wife,child,daughter,son,happy,excited
34,4,enamel,paint,teeth,hard,solid,strong,long wearing,nail polish,colours,clear,tough,worn,decayed,damaged,bath,chipped,white,shiny,solid,thining,yellow
34,5,gem,diamond,ruby,emerald,tamzanite,jewellery,ring,bracelet,pendant,expensive,cut,clarity,sapphire,money,sparkle,shine,wealth,fashion,special,gift,engagement
34,6,mountain,climb,tall,hill,exercise,outdoors,boots,climbing,walking,clouds,grass,tress,views,steep,photos,beautiful,scenic,nature,fresh air,breezy,snow
34,7,pasta,italy,shapes,spaghetti,sauce,bread,carbs,carbonara,shells,spirals,food,lunch,dinner,tasty,filling,boiling,soft,wholewheat,bake,fresh,tomato
34,8,peacock,bird,tailfeathers,bright,colourfull,proud,blue,green,eyes,pattern,puffed up,strutting,big,scary,bite,scratch,pretty,elegant,male,tall,fast
34,9,puke,sick,vomit,illness,phobia,smell,disgusting,panic,exit,gag,gagging,sweating,flu,hangover,nasty,emetephobia,bug,sickness,contagious,germs,poison
35,0,alphabet,letters,venacular,spelling,phonics,names,capital,lower case,constanant,verb,noun,adjective,setence,words,language,literacy,reading,writing,books,chart,learning
35,1,cannonball,cannon,war,ship,swimming,pool,dive,jump,divingboard,gun powder,british,french,armada,ocean,devestation,destruction,power,fource,flame,boat,drowning
35,2,coupon,voucher,cutting,collecting,redemption,redeem,reuse,discout,offer,price,reduction,reduce,deal,discount,gift,free,saving,money,bill,receipt,cost
35,3,cuddle,hug,embrace,love,hope,comfort,warm,soft,happy,sad,friend,mother,father,relatives,touch,embrace,dream,together,one,reasure,help
35,4,enamel,teeth,white,metal,glaze,protect,polish,film,front,cover,clean,errode,stain,scale,crockery,plate,bowl,bath,restore,replace,whiten
35,5,gem,stone,precious,ice,midgit,dimond,ruby,emerald,semi preicious,precious,yellow,red,clarity,rare,value,price,cost,gold,ring,setting,depth
35,6,mountain,tall,climb,high,schale,rocky,steep,gradient,snowy,peak,goat,alpine,oxygen,lake,boots,axe,blanc,skiing,snow,alps,skis
35,7,pasta,italy,itallian,penne,spaghetti,lasagne,sauce,carbonara,bolagnese,pan,water,fork,strain,drain,roll,flour,machine,restaurant,tomatoe,savory,cheese
35,8,peacock,bird,fancy,beautiful,blue,green,loud,skwak,feathers,plume,plummage,eyes,crown,regal,resplendant,mesmerising,elegant,aloof,free,roaming,wild
35,9,puke,sick,vomit,spew,ill,boke,mess,clean,bleach,poorly,gross,smelly,carrots,horrible,unhealthy,bulimia,toilet,sick bowl,bed,water,rehydrate
