participant_id,experiment,source_file,n_trials,n_complete_association_trials,text_n_chars,age,gender,nationality,first_language,occupation,stem_background
cfm_v5_1547713820f17dfdcccb851b5aa67348f35e1fc5ac_s,stella2026_formamentis_data,cfm_v5_1547713820f17dfdcccb851b5aa67348f35e1fc5ac_s.csv,10,10,3465,77,male,italian,,Retired teacher,
cfm_v5_154771580951f897d31f6bd12e4618ac75bd35edbc_s,stella2026_formamentis_data,cfm_v5_154771580951f897d31f6bd12e4618ac75bd35edbc_s.csv,10,10,3437,28,female,italian,,Researcher,
cfm_v5_1547717229c7d343d9996d49310f158ac190c7bf59_s,stella2026_formamentis_data,cfm_v5_1547717229c7d343d9996d49310f158ac190c7bf59_s.csv,10,10,3437,35,male,italian,,Researcher,
cfm_v5_1547717687ed38c8c2db7391f8f36129a9dca6dcb9_s,stella2026_formamentis_data,cfm_v5_1547717687ed38c8c2db7391f8f36129a9dca6dcb9_s.csv,10,10,3460,50,female,italian,,Housewife,
cfm_v5_1547717696c90067715e08cd8e1bc3ddb15547db22_s,stella2026_formamentis_data,cfm_v5_1547717696c90067715e08cd8e1bc3ddb15547db22_s.csv,10,10,3425,28,male,italian,,PhD,
cfm_v5_1547718192922b5958bfef8aa4cb4c6b39fe383954_s,stella2026_formamentis_data,cfm_v5_1547718192922b5958bfef8aa4cb4c6b39fe383954_s.csv,10,10,3445,29,male,german,,researcher (PhD-student),
cfm_v5_15477195678ed9f57d9ec4e3242162d7bff58b6d1c_s,stella2026_formamentis_data,cfm_v5_15477195678ed9f57d9ec4e3242162d7bff58b6d1c_s.csv,10,10,3467,23,male,italian,,Student,
cfm_v5_1547722343d7228bb99117d0196e895d7efe320dad_s,stella2026_formamentis_data,cfm_v5_1547722343d7228bb99117d0196e895d7efe320dad_s.csv,10,10,3454,31,female,spanish,,Postdoc,
cfm_v5_15477239485351859df947ed6b4b81f447043a825a_s,stella2026_formamentis_data,cfm_v5_15477239485351859df947ed6b4b81f447043a825a_s.csv,10,10,3475,20,male,italian,,Student,
cfm_v5_1547732907b65fd6db7b36cd4d8301318fa8183e37_s,stella2026_formamentis_data,cfm_v5_1547732907b65fd6db7b36cd4d8301318fa8183e37_s.csv,10,10,3471,29,male,italian,,Software developer,
cfm_v5_1547746117fa106e0bf35e34ee4c0b2c6dfecda836_s,stella2026_formamentis_data,cfm_v5_1547746117fa106e0bf35e34ee4c0b2c6dfecda836_s.csv,10,10,3451,31,male,italian,,Lecturer,
cfm_v5_15477470436b11c6e3fea3e2cf6ba3a4be0678b182_s,stella2026_formamentis_data,cfm_v5_15477470436b11c6e3fea3e2cf6ba3a4be0678b182_s.csv,10,10,3493,26,male,british,,Academic,
cfm_v5_1547753773d2f579c2b1a3c11744b828bca6e6795d_s,stella2026_formamentis_data,cfm_v5_1547753773d2f579c2b1a3c11744b828bca6e6795d_s.csv,10,9,3486,69,male,usa,,physician,
cfm_v5_1547758903fff574ff85e8c6472d2abd7cb8aa87c9_s,stella2026_formamentis_data,cfm_v5_1547758903fff574ff85e8c6472d2abd7cb8aa87c9_s.csv,10,10,3473,28,female,dutch,,PhD student,
cfm_v5_15477624854bd9eb6ed351cec6d7e289717d375053_s,stella2026_formamentis_data,cfm_v5_15477624854bd9eb6ed351cec6d7e289717d375053_s.csv,10,10,3514,41,female,american,,Teacher,
cfm_v5_154778567130099649966f37c7791ff1693e0fc9d1_s,stella2026_formamentis_data,cfm_v5_154778567130099649966f37c7791ff1693e0fc9d1_s.csv,10,10,3438,21,male,united states,,Student,
cfm_v5_15478060988dacfb766ff6e0053fc3ef86e690aa39_s,stella2026_formamentis_data,cfm_v5_15478060988dacfb766ff6e0053fc3ef86e690aa39_s.csv,10,10,3428,67,female,italian,,Housewife,
cfm_v5_1547806606e035cc7a35dd2353bff71ec4c8e8ab78_s,stella2026_formamentis_data,cfm_v5_1547806606e035cc7a35dd2353bff71ec4c8e8ab78_s.csv,10,10,3440,75,male,italian,,Retired professional,
cfm_v5_154780694177c6249ea2a687465febcfdc45dc0085_s,stella2026_formamentis_data,cfm_v5_154780694177c6249ea2a687465febcfdc45dc0085_s.csv,10,8,3452,31,male,italian,,Academia,
cfm_v5_1547895200ad8af7e154c694f79d4a2b3246f135bf_s,stella2026_formamentis_data,cfm_v5_1547895200ad8af7e154c694f79d4a2b3246f135bf_s.csv,10,10,3444,31,male,italian,,Data Scientist,
cfm_v5_1547996070abec9304f048147f67b8dbd654f4bbb3_s,stella2026_formamentis_data,cfm_v5_1547996070abec9304f048147f67b8dbd654f4bbb3_s.csv,10,10,3445,54,female,us,,Teacher,
cfm_v5_154800268127a02adadf2760cb230e439808dbe055_s,stella2026_formamentis_data,cfm_v5_154800268127a02adadf2760cb230e439808dbe055_s.csv,10,10,3408,26,male,american,,Graduate Teaching Assistant,
cfm_v5_15480073409d5514ebe0957d10a6a3bce14cc6f822_s,stella2026_formamentis_data,cfm_v5_15480073409d5514ebe0957d10a6a3bce14cc6f822_s.csv,10,10,3467,50,male,german,,Professor,
cfm_v5_1548012099ba94a0270fad9e656c26280c2575cc11_s,stella2026_formamentis_data,cfm_v5_1548012099ba94a0270fad9e656c26280c2575cc11_s.csv,10,10,3443,59,male,german,,Researcher,
cfm_v5_1548060440cf08d0f3f6b56a7c3f34de3e19045ef8_s,stella2026_formamentis_data,cfm_v5_1548060440cf08d0f3f6b56a7c3f34de3e19045ef8_s.csv,10,10,3452,28,female,belgian,,researcher,
cfm_v5_15481000876acc162f89381327b34a0cbd03dd66e1_s,stella2026_formamentis_data,cfm_v5_15481000876acc162f89381327b34a0cbd03dd66e1_s.csv,10,10,3447,50,male,dutch,,lecturer,
cfm_v5_154810705967347ae6f515d8108b96356043e80f0d_s,stella2026_formamentis_data,cfm_v5_154810705967347ae6f515d8108b96356043e80f0d_s.csv,10,10,3431,48,female,spanish,,Lecturer,
cfm_v5_154815209566677108d323479f5132fa2091715bcc_s,stella2026_formamentis_data,cfm_v5_154815209566677108d323479f5132fa2091715bcc_s.csv,10,10,3444,41,female,australian,,Teacher,
cfm_v5_1548157424f5c4ce6a8a5f4fb9411f14fd4bfb80c7_s,stella2026_formamentis_data,cfm_v5_1548157424f5c4ce6a8a5f4fb9411f14fd4bfb80c7_s.csv,10,10,3416,39,male,italian,,business manager,
cfm_v5_1548162258daf06e03d00720df904d6b9b1aa72f72_s,stella2026_formamentis_data,cfm_v5_1548162258daf06e03d00720df904d6b9b1aa72f72_s.csv,10,10,3458,28,male,usa,,PhD student,
cfm_v5_154816301513c8273e505fff9e4bdc70a9ed9645e3_s,stella2026_formamentis_data,cfm_v5_154816301513c8273e505fff9e4bdc70a9ed9645e3_s.csv,10,9,3511,40,male,dutch,,university professor,
cfm_v5_1548331785597ba620fa8b353f8bfb7ff684ce03f8_s,stella2026_formamentis_data,cfm_v5_1548331785597ba620fa8b353f8bfb7ff684ce03f8_s.csv,10,10,3445,53,female,dutch,,consultant,
cfm_v5_1548361438e89ec10a59d4b2bbbbcf9ab0be70f574_s,stella2026_formamentis_data,cfm_v5_1548361438e89ec10a59d4b2bbbbcf9ab0be70f574_s.csv,10,9,3448,28,male,italian,,Student,
cfm_v5_154837130007567ce0c4d500606f41833136c9a865_s,stella2026_formamentis_data,cfm_v5_154837130007567ce0c4d500606f41833136c9a865_s.csv,10,10,3455,27,male,chinese,,Student,
cfm_v5_1548421043399401446a65088f6f1d5f1cfcfe857d_s,stella2026_formamentis_data,cfm_v5_1548421043399401446a65088f6f1d5f1cfcfe857d_s.csv,10,10,3431,44,male,croatian,,scientist (physicist),
cfm_v5_1548451146a7beca6605600827b966d093e146cc37_s,stella2026_formamentis_data,cfm_v5_1548451146a7beca6605600827b966d093e146cc37_s.csv,10,10,3439,47,male,brazilian,,Public worker,
cfm_v5_15486768919246c4ee770d1aed91a87be440f35194_s,stella2026_formamentis_data,cfm_v5_15486768919246c4ee770d1aed91a87be440f35194_s.csv,10,10,3484,22,male,citizen of serbia,,undergrad. student,
cfm_v5_1548676942922c7fb59fe37d3dc95ca81af63ac0ed_s,stella2026_formamentis_data,cfm_v5_1548676942922c7fb59fe37d3dc95ca81af63ac0ed_s.csv,10,10,3433,23,male,serbian,,student,
cfm_v5_1548676963bf26952e96fd2015ee9ca6ed9a13d0d6_s,stella2026_formamentis_data,cfm_v5_1548676963bf26952e96fd2015ee9ca6ed9a13d0d6_s.csv,10,10,3470,28,male,norwegian,,Student,
cfm_v5_15486775158a4afe642e5c37f64c7bb0394b1a2b8f_s,stella2026_formamentis_data,cfm_v5_15486775158a4afe642e5c37f64c7bb0394b1a2b8f_s.csv,10,10,3442,31,female,italian,,Researcher,
cfm_v5_154867787311712c26e6a38669b47fadb6a20133fc_s,stella2026_formamentis_data,cfm_v5_154867787311712c26e6a38669b47fadb6a20133fc_s.csv,10,8,3460,32,male,dutch,,researcher,
cfm_v5_1548678288afd7e0077b6fde4db38cfc321cfce73a_s,stella2026_formamentis_data,cfm_v5_1548678288afd7e0077b6fde4db38cfc321cfce73a_s.csv,10,10,3670,22,male,serbian,,Historian,
cfm_v5_1548679898fd45e14c309cfd09dfdc577bb6a8eab6_s,stella2026_formamentis_data,cfm_v5_1548679898fd45e14c309cfd09dfdc577bb6a8eab6_s.csv,10,10,3467,29,female,english,,post-doctoral research associate,
cfm_v5_15486810023ff508134a14a603a79ac4ddcba73a9c_s,stella2026_formamentis_data,cfm_v5_15486810023ff508134a14a603a79ac4ddcba73a9c_s.csv,10,10,3445,20,female,serbian,,Student,
cfm_v5_1548682396720598e5f067861ed05dabaea33fa8c3_s,stella2026_formamentis_data,cfm_v5_1548682396720598e5f067861ed05dabaea33fa8c3_s.csv,10,9,3454,22,female,serbian,,psychology student,
cfm_v5_1548683737141cd20ca45c521d3c4562334dcb0714_s,stella2026_formamentis_data,cfm_v5_1548683737141cd20ca45c521d3c4562334dcb0714_s.csv,10,8,3483,31,female,german,,Regulatory Affairs Manager,
cfm_v5_1548688285e15f9af592163635d9d261548753474e_s,stella2026_formamentis_data,cfm_v5_1548688285e15f9af592163635d9d261548753474e_s.csv,10,10,3467,19,female,serbian,,college student,
cfm_v5_1548690599a47cb12530066044acc96d58cbc55f5d_s,stella2026_formamentis_data,cfm_v5_1548690599a47cb12530066044acc96d58cbc55f5d_s.csv,10,10,3450,39,female,serbian,,scientest,
cfm_v5_1548692568967bc6f895cfd61f498f9e5ffb8febc2_s,stella2026_formamentis_data,cfm_v5_1548692568967bc6f895cfd61f498f9e5ffb8febc2_s.csv,10,10,3518,25,male,serbian,,Student of Philosophy,
cfm_v5_15487015618bf937cb466c4f4912bebcfa32d6e81c_s,stella2026_formamentis_data,cfm_v5_15487015618bf937cb466c4f4912bebcfa32d6e81c_s.csv,10,10,3478,33,female,,,research associate,
cfm_v5_154870383230527dbc653defe521d71ab978b593a7_s,stella2026_formamentis_data,cfm_v5_154870383230527dbc653defe521d71ab978b593a7_s.csv,10,10,3468,38,male,serbia,,physicist,
cfm_v5_154872710841f94223d047ef13b4e0f9911288c6b3_s,stella2026_formamentis_data,cfm_v5_154872710841f94223d047ef13b4e0f9911288c6b3_s.csv,10,10,3520,28,masculine,french,french,Scientist (physicist),
cfm_v5_1548747721f758d1740d644aa532070bf2bc3cdf9a_s,stella2026_formamentis_data,cfm_v5_1548747721f758d1740d644aa532070bf2bc3cdf9a_s.csv,10,8,3510,27,male,serbian,serbian,PhD student in physics,
cfm_v5_154876637167c7b6c258f76260aeae010295394ecd_s,stella2026_formamentis_data,cfm_v5_154876637167c7b6c258f76260aeae010295394ecd_s.csv,10,9,3493,27,female,,,Engineer,
cfm_v5_1548771359047ff650ec77dfaf208db497af883d18_s,stella2026_formamentis_data,cfm_v5_1548771359047ff650ec77dfaf208db497af883d18_s.csv,10,10,3453,33,female,serbian,serbian,special educator,
cfm_v5_1548786336fa837ce0f044cabf10719ea134a63c35_s,stella2026_formamentis_data,cfm_v5_1548786336fa837ce0f044cabf10719ea134a63c35_s.csv,10,9,3463,42,female,usa,english,director of research lab,
cfm_v5_15487874456a9c6827da5e32ac36dd8902fa01e32c_s,stella2026_formamentis_data,cfm_v5_15487874456a9c6827da5e32ac36dd8902fa01e32c_s.csv,10,10,3491,20,feminine,serbian,serbian,student,
cfm_v5_15488811193d81543186730dad2d65bef4f51d8b55_s,stella2026_formamentis_data,cfm_v5_15488811193d81543186730dad2d65bef4f51d8b55_s.csv,10,10,3444,37,female,i live in serbia,serbo-croatian,precarious part-time teacher and researcher,
cfm_v5_154893858217bc8e409a57f547caa9d6067aa58e8d_s,stella2026_formamentis_data,cfm_v5_154893858217bc8e409a57f547caa9d6067aa58e8d_s.csv,10,9,3730,27,female,moroccan,arabic,PhD Candidate,
cfm_v5_1548957343c58665461b61f06b28bf97b3495b9f82_s,stella2026_formamentis_data,cfm_v5_1548957343c58665461b61f06b28bf97b3495b9f82_s.csv,10,10,3450,34,female,pakistani,sindhi,teacher,
cfm_v5_15489592687d7f22a713796966bf19b7e33fc431a8_s,stella2026_formamentis_data,cfm_v5_15489592687d7f22a713796966bf19b7e33fc431a8_s.csv,10,10,3444,33,female,us,english,data scientist,
cfm_v5_1548972326335f1dbe99335955b6d3ea6b79d6e4e0_s,stella2026_formamentis_data,cfm_v5_1548972326335f1dbe99335955b6d3ea6b79d6e4e0_s.csv,10,10,3446,30,female,usa,english,Higher-Education,
cfm_v5_1549001945d09035b8bb5811bec531a5dc600718ff_s,stella2026_formamentis_data,cfm_v5_1549001945d09035b8bb5811bec531a5dc600718ff_s.csv,10,10,3444,48,female,american,englsh,professor,
cfm_v5_1549022703dc3ec5d1ce0c6c7fdeeb30bfda867c35_s,stella2026_formamentis_data,cfm_v5_1549022703dc3ec5d1ce0c6c7fdeeb30bfda867c35_s.csv,10,10,3425,22,female,serbian,serbian,Student,
cfm_v5_154903508505290c490f2e24a7ccd047cb12bb88c9_s,stella2026_formamentis_data,cfm_v5_154903508505290c490f2e24a7ccd047cb12bb88c9_s.csv,10,10,3445,31,female,italian,italian,researcher,
cfm_v5_1549101612137f2ae33bd9d74247cef86a34dba48b_s,stella2026_formamentis_data,cfm_v5_1549101612137f2ae33bd9d74247cef86a34dba48b_s.csv,10,10,3522,20,female,serbian,serbian,Chemistry student,
cfm_v5_154928264383dddafb612238807ed3900d016537cc_s,stella2026_formamentis_data,cfm_v5_154928264383dddafb612238807ed3900d016537cc_s.csv,10,10,3446,26,female,pakistani,urdu,Freelancer Computer Scientist,
cfm_v5_1549471599585d586602eef47650b53403883481ac_s,stella2026_formamentis_data,cfm_v5_1549471599585d586602eef47650b53403883481ac_s.csv,10,10,3458,26,female,sweden & usa,swedish & english,Graduate Researcher,
cfm_v5_1549629202f569962e46f6e170e9c8ba3bac5e41ce_s,stella2026_formamentis_data,cfm_v5_1549629202f569962e46f6e170e9c8ba3bac5e41ce_s.csv,10,10,3483,38,female,italian,italian,researcher,
cfm_v5_15496301728fd93d6e6d633a289a7fc1704f7e4023_s,stella2026_formamentis_data,cfm_v5_15496301728fd93d6e6d633a289a7fc1704f7e4023_s.csv,10,10,3465,27,female,italian,italian,PhD student,
cfm_v5_154963078558342b2f28dfb39fe494487411a17161_s,stella2026_formamentis_data,cfm_v5_154963078558342b2f28dfb39fe494487411a17161_s.csv,10,10,3494,36,male,italian,italian,Data-science,
cfm_v5_154963082014332b2a6d8bee708109da3112965323_s,stella2026_formamentis_data,cfm_v5_154963082014332b2a6d8bee708109da3112965323_s.csv,10,10,3446,33,male,italian,italian,data scientist,
cfm_v5_1549631805df994df60151498b2a864c9d3984c8eb_s,stella2026_formamentis_data,cfm_v5_1549631805df994df60151498b2a864c9d3984c8eb_s.csv,10,10,3470,22,male,french,french,student,
cfm_v5_1549633791d61db81d5fd686e3e2f9f59ad033dc63_s,stella2026_formamentis_data,cfm_v5_1549633791d61db81d5fd686e3e2f9f59ad033dc63_s.csv,10,10,3487,29,male,italian,italian,Data Science Employee,
cfm_v5_1549907572c782a9a152fe6021108627f6c51ce43a_s,stella2026_formamentis_data,cfm_v5_1549907572c782a9a152fe6021108627f6c51ce43a_s.csv,10,10,3432,36,male,usa,english,professor,
cfm_v5_15499093297f232b7cbfe51caf744a680af21290d2_s,stella2026_formamentis_data,cfm_v5_15499093297f232b7cbfe51caf744a680af21290d2_s.csv,10,10,3462,35,male,uk,english,dr,
cfm_v5_154991217561ebeec7b641fee863803319c3236489_s,stella2026_formamentis_data,cfm_v5_154991217561ebeec7b641fee863803319c3236489_s.csv,10,10,3434,25,male,british,enlish,PhD Student,
cfm_v5_1549992377aee8377f9dc776a8dcd3048320aa6872_s,stella2026_formamentis_data,cfm_v5_1549992377aee8377f9dc776a8dcd3048320aa6872_s.csv,10,9,3472,27,male,polish,polish,scientist,
cfm_v5_15501033208a8365ba3db784d497b97a26f8a523fd_s,stella2026_formamentis_data,cfm_v5_15501033208a8365ba3db784d497b97a26f8a523fd_s.csv,10,10,3755,26,male,canadian,english,Student,
cfm_v5_15507870010f07427c8a10ddcc38c43790ebfeef22_s,stella2026_formamentis_data,cfm_v5_15507870010f07427c8a10ddcc38c43790ebfeef22_s.csv,10,10,3432,37,male,italian,italian,Compliance Officer in the financial sector,
cfm_v6_1559211160b77bff5b10adfface9cba380da07f5cd_s,stella2026_formamentis_data,cfm_v6_1559211160b77bff5b10adfface9cba380da07f5cd_s.csv,10,10,3474,49,male,netherlands,dutch,scientist,3
cfm_v6_15592112062649e9fb122bc55d352d5d71bc9ef8fe_s,stella2026_formamentis_data,cfm_v6_15592112062649e9fb122bc55d352d5d71bc9ef8fe_s.csv,10,10,3451,39,female,british,english,science writer / educational research,3
cfm_v6_15592113719fab43ba665436fe676d311269e97c90_s,stella2026_formamentis_data,cfm_v6_15592113719fab43ba665436fe676d311269e97c90_s.csv,10,10,3464,30,female,uk,english,SCIENCE COMMUNICATOR,3
cfm_v6_1559211383b583aaac283d71d5c2c81e3dcc1f3a8e_s,stella2026_formamentis_data,cfm_v6_1559211383b583aaac283d71d5c2c81e3dcc1f3a8e_s.csv,10,10,3448,23,female/questioning,british,british english,MSc Science Communication student,3
cfm_v6_155921141341c8c255c3740f2d5a83e6efba47edeb_s,stella2026_formamentis_data,cfm_v6_155921141341c8c255c3740f2d5a83e6efba47edeb_s.csv,10,10,3483,60,male,british,english,engineer,3
cfm_v6_155921145452e25ba8b2507725ef2ff282c7a2ea1f_s,stella2026_formamentis_data,cfm_v6_155921145452e25ba8b2507725ef2ff282c7a2ea1f_s.csv,10,10,3499,27,male,united kingdom,english,Science Communciation Researcher,1
