status,time_taken,age,num_approvals,num_rejections,prolific_score,Country of Birth,Current Country of Residence,Employment Status,English speaking Monolingual,First Language,First language,Handedness,Highest education level completed,Nationality,Sex,Student Status,Were you raised monolingual?
TIMED-OUT,46520.542888,21,78,2,99,Ireland,United Kingdom,Part-Time,I know one other language in addition to English,English,English,Right-handed,Graduate degree (MA/MSc/MPhil/other),Ireland,Male,Yes,I was raised with my native language only
APPROVED,3219.733,31,19,0,100,United States,United States,Other,I only know English,,English,Right-handed,Technical/community college,United States,Female,No,I was raised with my native language only
AWAITING REVIEW,1033.939,25,49,0,100,New Zealand,New Zealand,Part-Time,I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),New Zealand,Female,Yes,I was raised with my native language only
RETURNED,46295.271125,39,4,0,100,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
AWAITING REVIEW,1480.856,30,42,0,100,United States,United States,Unemployed (and job seeking),I only know English,DATA EXPIRED,English,Left-handed,High school diploma/A-levels,United States,Female,No,I was raised with my native language only
AWAITING REVIEW,1304.45,30,159,0,100,United States,United States,Part-Time,I only know English,DATA EXPIRED,English,Right-handed,Graduate degree (MA/MSc/MPhil/other),United States,Female,No,I was raised with my native language only
AWAITING REVIEW,1036.913,34,11,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,,Right-handed,Technical/community college,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,2268.289,24,83,1,100,Canada,Canada,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,English,Right-handed,High school diploma/A-levels,Canada,Female,Yes,I was raised with my native language only
AWAITING REVIEW,1655.325,19,10,0,100,Ireland,Ireland,Part-Time,I know one other language in addition to English,English,English,Right-handed,Secondary education (e.g. GED/GCSE),Ireland,Female,Yes,I was raised with my native language only
AWAITING REVIEW,1456.078,45,57,0,100,United Kingdom,United Kingdom,Full-Time,I know one other language in addition to English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1474.383,21,4,0,100,New Zealand,New Zealand,Other,I only know English,,English,Right-handed,Undergraduate degree (BA/BSc/other),New Zealand,Male,Yes,I was raised with my native language only
RETURNED,46503.430355,26,131,1,100,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
