status,time_taken,age,num_approvals,num_rejections,prolific_score,Country of Birth,Current Country of Residence,Employment Status,English speaking Monolingual,First Language,First language,Handedness,Highest education level completed,Nationality,Sex,Student Status,Were you raised monolingual?
APPROVED,1723.713,33,306,8,94,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Male,Yes,I was raised with my native language only
APPROVED,1470.724,46,11,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,DATA EXPIRED,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
APPROVED,2748.954,33,86,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,,Right-handed,High school diploma/A-levels,United Kingdom,Male,No,I was raised with my native language only
RETURNED,70916.025544,37,336,0,100,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
APPROVED,1432.254,45,186,0,100,United States,United States,Full-Time,I only know English,English,English,Left-handed,Secondary education (e.g. GED/GCSE),United States,Male,No,I was raised with my native language only
APPROVED,1399.839,27,164,3,99,United Kingdom,United Kingdom,Full-Time,I only know English,English,,Right-handed,Technical/community college,United Kingdom,Female,No,I was raised with my native language only
APPROVED,1474.212,44,63,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,,Left-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Male,No,I was raised with my native language only
APPROVED,1386.28,44,106,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
APPROVED,1982.541,30,26,0,100,United Kingdom,United Kingdom,Full-Time,I know one other language in addition to English,DATA EXPIRED,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Male,No,I was raised with my native language only
APPROVED,1197.786,42,97,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
APPROVED,1018.402,34,308,2,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
APPROVED,4128.925,49,392,5,99,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Male,No,I was raised with my native language only
APPROVED,1709.449,31,42,0,100,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Female,No,I was raised with my native language only
APPROVED,1295.409,39,82,1,100,United States,United Kingdom,Full-Time,I only know English,English,English,Left-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Male,No,I was raised with my native language only
TIMED-OUT,70128.191353,29,64,1,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,,Right-handed,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
RETURNED,70101.107317,38,106,0,100,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
APPROVED,2765.255,33,50,1,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,,Right-handed,Technical/community college,United Kingdom,Female,No,I was raised with my native language only
APPROVED,1051.107,25,20,0,100,Canada,Canada,Unemployed (and job seeking),I know one other language in addition to English,,English,Right-handed,Graduate degree (MA/MSc/MPhil/other),Canada,Female,Yes,I was raised with my native language only
TIMED-OUT,69780.267,32,78,0,100,United States,United States,Unemployed (and job seeking),I only know English,DATA EXPIRED,English,Right-handed,High school diploma/A-levels,United States,Female,No,I was raised with my native language only
APPROVED,1284.559,21,46,0,100,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
APPROVED,1461.251,32,665,3,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
APPROVED,2785.521,27,53,0,100,DATA EXPIRED,United Kingdom,DATA EXPIRED,I only know English,English,English,Ambidextrous,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
