stimulus,condition,rt,accuracy
amtrand,nonword,624.102564102564,1
amvocht,nonword,610.615384615385,1
anam,nonword,584.538461538462,1
anda,nonword,591.947368421053,1
andang,nonword,596.736842105263,1
andicht,nonword,585.736842105263,1
andooi,nonword,590.794871794872,1
andos,nonword,562.897435897436,1
anen,nonword,626.578947368421,0.974358974358974
anghoord,nonword,633.205128205128,1
anghoordt,nonword,638.794871794872,1
angrans,nonword,613.72972972973,1
angstzwaam,nonword,825.433333333333,0.923076923076923
angszee,nonword,632.702702702703,1
angt,nonword,784.5,0.358974358974359
annast,nonword,584.461538461538,1
annue,nonword,670.648648648649,1
anpo,nonword,560.794871794872,1
anre,nonword,577.333333333333,1
anren,nonword,595.74358974359,1
ansels,nonword,594.974358974359,1
antrog,nonword,551.594594594595,0.974358974358974
antsteel,nonword,604.72972972973,0.974358974358974
anveen,nonword,588.947368421053,0.974358974358974
anver,nonword,612.28947368421,1
anwaar,nonword,634.736842105263,1
anwin,nonword,595.324324324324,0.974358974358974
anzecht,nonword,615.657894736842,1
anzert,nonword,623.21052631579,1
anzucht,nonword,697.54054054054,0.974358974358974
ap,nonword,639.72972972973,0.948717948717949
apaan,nonword,582.315789473684,1
apel,nonword,713.925925925926,0.743589743589744
apers,nonword,663.939393939394,0.923076923076923
apgels,nonword,603.432432432432,0.974358974358974
apneet,nonword,590.78947368421,1
apos,nonword,591.702702702703,0.974358974358974
appen,nonword,655.628571428571,0.948717948717949
appes,nonword,628.282051282051,1
appis,nonword,574.230769230769,1
aps,nonword,583,0.948717948717949
apteer,nonword,632,1
aptiem,nonword,616.179487179487,1
ard,nonword,570.333333333333,1
ardaak,nonword,570.947368421053,0.974358974358974
arder,nonword,653.891891891892,1
ardeur,nonword,596.75,1
ardog,nonword,599.5,1
arf,nonword,629.5,1
arkee,nonword,589.769230769231,1
arkweef,nonword,598.076923076923,1
armers,nonword,855.538461538462,0.743589743589744
arnast,nonword,622.333333333333,1
arnient,nonword,598.578947368421,1
arrijd,nonword,594.131578947368,0.974358974358974
arschrift,nonword,630.473684210526,0.974358974358974
arschrikt,nonword,673.71052631579,1
arsel,nonword,651.552631578947,1
arsels,nonword,625.918918918919,0.948717948717949
arsen,nonword,670.257142857143,0.948717948717949
arslag,nonword,634.45945945946,1
artij,nonword,627.333333333333,1
artocht,nonword,675.394736842105,0.974358974358974
arvaar,nonword,626.5,0.974358974358974
arweg,nonword,588.54054054054,0.974358974358974
arwies,nonword,579.361111111111,0.974358974358974
arza,nonword,559.921052631579,1
arzie,nonword,584.333333333333,1
asca's,nonword,614.105263157895,1
asen,nonword,730.206896551724,0.923076923076923
asfonk,nonword,635.736842105263,0.974358974358974
asgaan,nonword,619.605263157895,1
asgroef,nonword,609.6,1
asha,nonword,640.432432432432,0.948717948717949
ashaar,nonword,641.538461538462,1
asho,nonword,548.461538461538,1
askad,nonword,560.923076923077,1
asker,nonword,708.973684210526,0.974358974358974
askers,nonword,679.472222222222,0.923076923076923
asleer,nonword,648.378378378378,0.974358974358974
asmars,nonword,615.026315789474,1
asnact,nonword,615.621621621622,1
asser,nonword,624.135135135135,0.948717948717949
assiek,nonword,660.189189189189,1
asstel,nonword,677.921052631579,1
astee,nonword,581.230769230769,1
asts,nonword,626.102564102564,1
asuun,nonword,587.230769230769,1
ate,nonword,607.315789473684,1
atel,nonword,597.621621621622,0.974358974358974
atens,nonword,629.897435897436,1
atert,nonword,631.410256410256,1
atgal,nonword,554.078947368421,0.974358974358974
aths,nonword,550.421052631579,0.974358974358974
atkang,nonword,581.297297297297,1
atrim,nonword,623.948717948718,1
atroer,nonword,565.815789473684,0.974358974358974
atroop,nonword,615.081081081081,0.974358974358974
ats,nonword,620.78947368421,0.974358974358974
atslond,nonword,601.973684210526,0.974358974358974
atter,nonword,636.421052631579,0.974358974358974
atzas,nonword,589.552631578947,1
aulaars,nonword,604.594594594595,1
auleer,nonword,644.972222222222,0.974358974358974
aupurg,nonword,561.342105263158,1
aurast,nonword,639.473684210526,1
avels,nonword,594.526315789474,1
aven,nonword,628.675675675676,0.948717948717949
averst,nonword,668.361111111111,0.974358974358974
avinst,nonword,576.358974358974,1
ax,nonword,586,0.923076923076923
azems,nonword,630.131578947368,0.974358974358974
azzes,nonword,567.692307692308,1
ba's,nonword,649.28947368421,1
baadgaard,nonword,722.789473684211,0.974358974358974
baadstronk,nonword,727.828571428571,0.974358974358974
baadwerk,nonword,710.694444444444,1
baaf,nonword,689.666666666667,0.871794871794872
baag,nonword,643.641025641026,1
baagt,nonword,633.842105263158,1
baaiend,nonword,798,0.769230769230769
baakschap,nonword,687.052631578947,0.974358974358974
baam,nonword,693.722222222222,0.948717948717949
baamde,nonword,721.7,0.82051282051282
baamgriep,nonword,649.783783783784,0.974358974358974
baap,nonword,586.184210526316,0.974358974358974
baarsen,nonword,775.038461538462,0.692307692307692
baarsten,nonword,825.972972972973,0.948717948717949
baartlui,nonword,693.805555555556,1
baastman,nonword,708.473684210526,1
baatmerg,nonword,671.282051282051,1
bab,nonword,651.864864864865,0.974358974358974
bacht,nonword,778.60606060606,0.923076923076923
bachten,nonword,712.96875,0.923076923076923
bachter,nonword,658,0.948717948717949
bachtjes,nonword,674.615384615385,1
bachtte,nonword,731.114285714286,0.897435897435897
bachtten,nonword,720.909090909091,0.923076923076923
bactris,nonword,652.128205128205,1
badgad,nonword,718.39393939394,0.897435897435897
badhots,nonword,654.324324324324,0.974358974358974
badsen,nonword,666.842105263158,1
badses,nonword,611.555555555556,1
badstaard,nonword,855.535714285714,0.82051282051282
badu,nonword,596.538461538462,1
badwiep,nonword,665.153846153846,1
baf,nonword,724.125,0.82051282051282
bafdoe,nonword,607.589743589744,1
bafel,nonword,627.815789473684,0.974358974358974
bafin,nonword,615.25641025641,1
bafjes,nonword,705.444444444444,0.948717948717949
bafrand,nonword,605.486486486486,0.974358974358974
baft,nonword,705.6,0.923076923076923
bagden,nonword,632.702702702703,1
bagen,nonword,701.473684210526,0.974358974358974
bagjus,nonword,617.435897435897,1
bai,nonword,601.589743589744,1
baims,nonword,588.552631578947,0.974358974358974
bair,nonword,662.2,0.923076923076923
bakhoed,nonword,713.823529411765,0.871794871794872
bakke,nonword,704.485714285714,0.923076923076923
bakmuits,nonword,731.142857142857,1
bakmuw,nonword,598.552631578947,1
bakstel,nonword,701.666666666667,0.717948717948718
bakstels,nonword,781.7,0.871794871794872
bakwerk,nonword,736.307692307692,0.384615384615385
baldet,nonword,679.051282051282,1
baldien,nonword,638.605263157895,1
baldin,nonword,671.794871794872,1
balept,nonword,607.157894736842,1
balfuwt,nonword,612.25641025641,1
balgert,nonword,605.405405405405,0.974358974358974
balget,nonword,626.25641025641,1
balig,nonword,774.774193548387,0.82051282051282
balik,nonword,566.5,0.974358974358974
balin,nonword,639.171428571429,0.923076923076923
balla,nonword,645.71052631579,1
balle,nonword,750.266666666667,0.846153846153846
ballpicks,nonword,638.578947368421,1
balme,nonword,602.210526315789,0.974358974358974
balven,nonword,589.948717948718,1
bam,nonword,698.37037037037,0.743589743589744
bamaat,nonword,611.842105263158,1
bamdees,nonword,605.421052631579,1
bamen,nonword,685.105263157895,0.974358974358974
bamier,nonword,651.820512820513,1
bammen,nonword,696.472222222222,0.948717948717949
bamp,nonword,564.461538461538,1
bamser,nonword,607.794871794872,1
bamweg,nonword,618.297297297297,0.948717948717949
banbons,nonword,704.684210526316,0.974358974358974
bancon,nonword,771.68,0.717948717948718
bandins,nonword,636.868421052632,1
baneer,nonword,627.513513513514,1
banjaar,nonword,648.571428571429,0.897435897435897
bankeert,nonword,764.032258064516,0.871794871794872
bankhaaf,nonword,676.810810810811,0.974358974358974
bankrein,nonword,731.578947368421,0.974358974358974
bannens,nonword,642.944444444444,0.948717948717949
bannons,nonword,668.166666666667,0.948717948717949
banon,nonword,734.714285714286,0.794871794871795
bans,nonword,717.222222222222,0.974358974358974
banze,nonword,593.78947368421,1
bap,nonword,639.861111111111,0.923076923076923
bapen,nonword,609.842105263158,0.974358974358974
bapje,nonword,650.74358974359,1
bapjes,nonword,634.368421052632,0.974358974358974
bappen,nonword,632.184210526316,0.974358974358974
bapte,nonword,615.025641025641,1
bardjas,nonword,720.085714285714,0.923076923076923
bargaart,nonword,638.684210526316,1
bargdall,nonword,600.763157894737,0.974358974358974
barhoord,nonword,657.025641025641,1
barin,nonword,755.068965517241,0.794871794871795
barkje,nonword,673.833333333333,0.948717948717949
