"Id_Session"	"Device"	"Age"	"Gender"	"Raising"	"Education"	"Proficiency"	"First_Contact"	"Mother"	"Father"	"Exposure"	"Languages"
115	"MB"	26	"Home"	"Catalunya"	7	7	0	"Català"	"Català"	80	4
116	"MB"	42	"Home"	"Catalunya"	8	7	0	"Català"	"Català"	50	3
117	"MB"	34	"Dona"	"Catalunya"	8	7	0	"Català"	"Català"	100	3
118	"MB"	23	"Dona"	"Comunitat valenciana"	7	6	0	"Castellà"	"Català"	100	3
119	"MB"	26	"Home"	"Catalunya"	7	7	0	"Català"	"Català"	80	4
120	"MB"	42	"Home"	"Catalunya"	8	7	0	"Català"	"Català"	50	3
121	"MB"	32	"Home"	"Catalunya"	7	7	0	"Castellà"	"Català"	70	3
124	"MB"	22	"Dona"	"Comunitat valenciana"	7	6	0	"Castellà"	"Català"	100	3
125	"MB"	24	"Dona"	"Catalunya"	8	7	0	"Castellà"	"Català"	50	5
127	"MB"	31	"Home"	"Catalunya"	5	7	0	"Català"	"Català"	40	2
128	"MB"	32	"Dona"	"Catalunya"	8	7	0	"Català"	"Català"	70	4
129	"MB"	31	"Home"	"Catalunya"	5	7	0	"Català"	"Català"	40	2
130	"MB"	23	"Dona"	"Catalunya"	8	7	0	"Català"	"Català"	60	3
132	"MB"	26	"Dona"	"Catalunya"	7	5	0	"Castellà"	"Català"	70	4
133	"PC"	25	"Home"	"Catalunya"	5	7	0	"Català"	"Català"	90	4
134	"PC"	25	"Dona"	"Catalunya"	7	7	0	"Català"	"Català"	100	3
135	"MB"	55	"Dona"	"Catalunya"	7	5	0	"Català"	"Català"	100	3
136	"MB"	61	"Dona"	"Comunitat valenciana"	6	4	0	"Català"	"Català"	70	3
137	"MB"	55	"Dona"	"Catalunya"	2	5	0	"Català"	"Castellà"	90	1
139	"MB"	32	"Home"	"Comunitat valenciana"	7	7	0	"Català"	"Català"	80	6
141	"MB"	62	"Home"	"Catalunya"	7	4	0	"Català"	"Català"	70	2
142	"MB"	27	"Home"	"Catalunya"	8	7	0	"Castellà"	"Català"	70	4
143	"MB"	26	"Home"	"Catalunya"	7	7	0	"Català"	"Català"	80	4
145	"MB"	56	"Dona"	"Catalunya"	6	4	0	"Català"	"Català"	100	3
146	"MB"	22	"Dona"	"Comunitat valenciana"	7	7	0	"Català"	"Català"	100	3
147	"MB"	24	"Dona"	"Catalunya"	7	7	0	"Català"	"Català"	70	2
148	"MB"	28	"Home"	"Catalunya"	7	7	0	"Català"	"Català"	50	3
149	"MB"	20	"Home"	"Catalunya"	7	7	0	"Català"	"Català"	100	3
150	"MB"	26	"Home"	"Catalunya"	8	7	0	"Català"	"Català"	90	5
151	"MB"	56	"Dona"	"Catalunya"	6	4	0	"Català"	"Català"	100	3
152	"MB"	33	"Home"	"Catalunya"	8	7	0	"Català"	"Català"	100	3
153	"MB"	23	"Dona"	"Comunitat valenciana"	7	7	0	"Català"	"Català"	100	3
154	"MB"	20	"Home"	"Catalunya"	7	7	0	"Català"	"Català"	100	3
155	"MB"	32	"Dona"	"Catalunya"	7	5	0	"Català"	"Català"	90	3
157	"MB"	62	"Home"	"Catalunya"	7	4	0	"Català"	"Català"	70	3
158	"MB"	32	"Dona"	"Catalunya"	7	5	0	"Català"	"Català"	90	3
159	"MB"	24	"Dona"	"Comunitat valenciana"	7	5	0	"Català"	"Català"	80	4
160	"MB"	22	"Dona"	"Comunitat valenciana"	7	7	0	"Castellà"	"Català"	30	4
161	"MB"	62	"Home"	"Catalunya"	7	4	0	"Català"	"Català"	60	3
162	"MB"	23	"Dona"	"Comunitat valenciana"	7	7	0	"Català"	"Català"	90	3
165	"MB"	61	"Dona"	"Catalunya"	7	4	0	"Català"	"Castellà"	70	2
166	"PC"	51	"Home"	"Catalunya"	7	7	0	"Català"	"Català"	70	5
167	"MB"	22	"Dona"	"Comunitat valenciana"	7	7	0	"Català"	"Català"	100	3
168	"MB"	24	"Home"	"Comunitat valenciana"	7	7	0	"Castellà"	"Català"	60	3
171	"MB"	22	"Dona"	"Comunitat valenciana"	7	7	0	"Castellà"	"Català"	30	4
172	"MB"	50	"Dona"	"Andorra"	8	7	0	"Català"	"Català"	100	4
174	"MB"	22	"Dona"	"Comunitat valenciana"	7	7	0	"Català"	"Castellà"	70	4
175	"MB"	26	"Dona"	"Comunitat valenciana"	8	7	0	"Castellà"	"Català"	80	3
176	"MB"	33	"Dona"	"Catalunya"	8	7	0	"Català"	"Català"	90	4
177	"MB"	37	"Home"	"Comunitat valenciana"	8	6	0	"Català"	"Català"	60	3
178	"MB"	63	"Dona"	"Catalunya"	7	7	0	"Català"	"Català"	100	3
180	"MB"	50	"Dona"	"Catalunya"	6	7	0	"Català"	"Castellà"	90	3
182	"MB"	36	"Home"	"Comunitat valenciana"	3	5	0	"Català"	"Castellà"	20	4
184	"MB"	33	"Dona"	"Balears"	5	7	0	"Català"	"Català"	50	3
186	"MB"	37	"Dona"	"Catalunya"	6	7	0	"Català"	"Català"	90	4
187	"MB"	22	"Dona"	"Catalunya"	7	7	0	"Català"	"Català"	80	3
188	"MB"	37	"Dona"	"Catalunya"	6	7	0	"Català"	"Català"	90	4
189	"MB"	28	"Dona"	"Catalunya"	7	7	0	"Català"	"Català"	90	2
191	"MB"	51	"Dona"	"Catalunya"	7	6	0	"Català"	"Català"	100	3
193	"MB"	27	"Dona"	"Catalunya"	8	7	0	"Català"	"Castellà"	10	5
194	"MB"	51	"Dona"	"Catalunya"	7	6	0	"Català"	"Català"	100	3
198	"MB"	23	"Dona"	"Catalunya"	8	7	0	"Català"	"Català"	90	5
199	"MB"	27	"Dona"	"Catalunya"	7	7	0	"Català"	"Català"	90	3
200	"MB"	54	"Dona"	"Catalunya"	8	6	0	"Català"	"Català"	90	5
203	"MB"	46	"Dona"	"Catalunya"	8	7	0	"Català"	"Català"	100	2
204	"MB"	23	"Dona"	"Comunitat valenciana"	7	7	0	"Català"	"Català"	90	4
205	"PC"	21	"Dona"	"Catalunya"	7	7	0	"Català"	"Castellà"	100	2
206	"MB"	23	"Home"	"Comunitat valenciana"	8	7	0	"Castellà"	"Català"	70	4
208	"MB"	22	"Dona"	"Comunitat valenciana"	7	7	0	"Català"	"Castellà"	90	3
209	"MB"	26	"Home"	"Catalunya"	8	7	0	"Català"	"Català"	100	3
210	"MB"	26	"Home"	"Catalunya"	8	7	0	"Català"	"Català"	100	3
211	"MB"	20	"Dona"	"Catalunya"	7	7	0	"Català"	"Castellà"	80	3
212	"MB"	20	"Home"	"Catalunya"	7	7	0	"Català"	"Català"	100	3
213	"PC"	25	"Dona"	"Catalunya"	7	7	0	"Català"	"Castellà"	100	3
214	"MB"	52	"Dona"	"Catalunya"	8	5	0	"Català"	"Català"	90	3
216	"MB"	53	"Dona"	"Catalunya"	3	7	0	"Català"	"Català"	100	2
217	"MB"	28	"Home"	"Catalunya"	8	5	0	"Català"	"Català"	100	3
218	"PC"	25	"Dona"	"Catalunya"	7	7	0	"Català"	"Castellà"	100	3
219	"MB"	51	"Dona"	"Catalunya"	7	7	0	"Català"	"Català"	70	3
221	"MB"	26	"Home"	"Catalunya"	8	7	0	"Català"	"Català"	100	3
222	"MB"	26	"Home"	"Catalunya"	8	7	0	"Català"	"Català"	100	3
223	"MB"	53	"Dona"	"Catalunya"	6	7	0	"Català"	"Català"	100	2
224	"PC"	70	"Home"	"Catalunya"	7	7	0	"Català"	"Català"	90	3
225	"MB"	26	"Home"	"Catalunya"	8	7	0	"Català"	"Català"	100	3
226	"PC"	26	"Dona"	"Catalunya"	7	7	0	"Català"	"Castellà"	80	3
227	"MB"	26	"Home"	"Catalunya"	8	7	0	"Català"	"Català"	100	3
229	"PC"	26	"Dona"	"Catalunya"	7	7	0	"Català"	"Castellà"	80	3
231	"MB"	65	"Dona"	"Catalunya"	7	5	0	"Català"	"Castellà"	80	4
235	"MB"	67	"Home"	"Catalunya"	8	7	0	"Català"	"Català"	70	3
237	"MB"	18	"Dona"	"Catalunya"	6	7	0	"Castellà"	"Català"	80	5
240	"MB"	21	"Dona"	"Catalunya"	8	7	0	"Català"	"Català"	100	4
244	"MB"	54	"Dona"	"Catalunya"	6	5	0	"Català"	"Català"	100	3
245	"MB"	26	"Home"	"Catalunya"	8	7	0	"Català"	"Català"	100	3
247	"MB"	51	"Dona"	"Catalunya"	7	6	0	"Català"	"Català"	90	3
248	"MB"	34	"Home"	"Catalunya"	8	7	0	"Castellà"	"Català"	90	4
250	"MB"	27	"Home"	"Catalunya"	7	7	0	"Castellà"	"Català"	60	3
251	"MB"	26	"Dona"	"Catalunya"	8	6	0	"Castellà"	"Català"	80	3
252	"MB"	23	"Dona"	"Catalunya"	7	7	2	"Català"	"Castellà"	60	3
254	"MB"	52	"Dona"	"Catalunya"	7	7	0	"Català"	"Català"	100	2
255	"MB"	43	"Home"	"Catalunya"	7	7	0	"Català"	"Català"	60	4
259	"MB"	21	"Home"	"Catalunya"	7	5	0	"Català"	"Català"	100	3
