Cit2;Cit1;ID;age;gender;hand;resp;RTs;accuracy
Bologna;Foggia;manfredi25;22;M;DX;l;1022,9;1
Bologna;Foggia;CAL1999;23;FALSE;DX;l;1307,3;1
Bologna;Foggia;andra12;23;FALSE;DX;l;1227,88;1
Bologna;Foggia;alissa59;20;FALSE;DX;l;2904;1
Bologna;Foggia;iacopo50;21;M;DX;l;1188,1;1
Bologna;Foggia;federica17;22;FALSE;DX;l;990,9;1
Bologna;Foggia;francesco68;27;M;SX;l;1361,1;1
Bologna;Foggia;ilaria51;24;FALSE;DX;l;1230,1;1
Bologna;Foggia;elide10;24;FALSE;DX;l;1018;1
Bologna;Foggia;eleonora13;20;FALSE;DX;l;992,7;1
Bologna;Foggia;sara71;21;FALSE;DX;l;1046,7;1
Bologna;Foggia;giulia23;22;FALSE;DX;l;1248;1
Bologna;Foggia;valentina48;21;FALSE;DX;l;1557,9;1
Bologna;Foggia;valentina45;21;FALSE;DX;l;1124,1;1
Bologna;Foggia;lucrezia32;22;FALSE;DX ;l;1338;1
Bologna;Foggia;alex35;28;M;DX;l;1323,1;1
Bologna;Foggia;martina54;28;FALSE;SX;l;840,5;1
Bologna;Foggia; irene1;24;FALSE;DX;l;1009;1
Bologna;Foggia;CS;27;FALSE;DX;l;1162,2;1
Bologna;Foggia;elena56;22;FALSE;DX;l;683,1;1
Bologna;Foggia;nicola19;23;M;DX;l;1142,2;1
Bologna;Foggia;emanuela36;20;FALSE;DX;l;1541;1
Bologna;Foggia;Eleonora;28;FALSE;DX;l;1518,9;1
Bologna;Foggia;SB2001;21;FALSE;DX;l;1012;1
Bologna;Grosseto;edoardo52;23;M;DX;a;1393;0
Bologna;Grosseto;gf2002;20;f;dx;a;951;0
Bologna;Grosseto;CS;27;FALSE;DX;l;1330,6;1
Bologna;Grosseto;riccardo72;22;M;DX;l;1151,1;1
Bologna;Grosseto;vittoria67;23;FALSE;DX;l;1177,8;1
Bologna;Grosseto; irene1;24;FALSE;DX;l;1758;1
Bologna;Grosseto;giulia28;25;FALSE;dx;l;955;1
Bologna;Grosseto;andra12;23;FALSE;DX;l;1311,185;1
Bologna;Grosseto;lucrezia32;22;FALSE;DX ;l;1304;1
Bologna;Grosseto;valentina45;21;FALSE;DX;l;896,7;1
Bologna;Grosseto;martina54;28;FALSE;SX;l;2618,5;1
Bologna;Grosseto;elia6;20;M;DX;l;1780,8;1
Bologna;Grosseto;SD1999;23;FALSE;DX;l;2971,2;1
Bologna;Grosseto;samuele47;24;M;DX;l;1418;1
Bologna;Grosseto;SB2001;21;FALSE;DX;l;1484;1
Bologna;Grosseto;susanna2;21;FALSE;DX;a;1025,1;0
Bologna;Grosseto;marta57;32;FALSE;DX;l;1216;1
Bologna;Grosseto;iacopo50;21;M;DX;a;1200,8;0
Bologna;Grosseto;alex35;28;M;DX;l;1071,4;1
Bologna;Grosseto;manfredi25;22;M;DX;l;1292,7;1
Bologna;Grosseto;elide10;24;FALSE;DX;l;1300,7;1
Bologna;Grosseto;andrea40;20;M;DX;l;1696,2;1
Bologna;Grosseto;lorenzo64;20;M;DX;l;2142;1
Bologna;Grosseto;alessia69;26;FALSE;DX;l;1163,1;1
Bologna;Grosseto;sean27;27;M;DX;l;1064;1
Bologna;Grosseto;lucrezia26;21;FALSE;DX;l;921,7;1
Bologna;Grosseto;federica17;22;FALSE;DX;l;1433,3;1
Bologna;Grosseto;cristina16;20;FALSE;DX;l;2031,1;1
Bologna;Grosseto;arianna18;21;FALSE;DX;l;1010,5;1
Bologna;Grosseto;francesco68;27;M;SX;l;1007,2;1
Bologna;Grosseto;giorgia55;22;FALSE;DX;l;837,5;1
Bologna;Grosseto;Eleonora;28;FALSE;DX;l;1215,5;1
Bologna;Grosseto;GiorgioLazzari;24;M;DX;a;788,1;0
Bologna;Grosseto;Laura66;20;FALSE;DX;l;1130;1
Bologna;Grosseto;gaia60;20;FALSE;DX;l;2893,8;1
Bologna;Grosseto;gaia4;19;FALSE;DX;l;654,4;1
Bologna;Grosseto;SF2002;20;FALSE;SX;l;2544,4;1
Bologna;Grosseto;elena56;22;FALSE;DX;l;736,2;1
Bologna;Grosseto;CAL1999;23;FALSE;DX;l;1561,3;1
Bologna;Grosseto;denise33;21;FALSE;DX;l;966,1;1
Bologna;Grosseto;eleonora13;20;FALSE;DX;l;1117,1;1
Bologna;Grosseto;valentina48;21;FALSE;DX;a;1281,2;0
Bologna;Grosseto;laura9;26;FALSE;DX;l;1182,6;1
Bologna;Grosseto;ilaria51;24;FALSE;DX;l;1124,7;1
Bologna;Grosseto;emanuela36;20;FALSE;DX;l;1497;1
Bologna;Grosseto;serena;25;FALSE;DX;l;2338;1
Bologna;Grosseto;chiara38;20;FALSE;DX;l;1067,7;1
Bologna;Grosseto;LF1998;24;FALSE;DX;a;1024;0
Bologna;Grosseto;  iliaria37;21;FALSE;SX;l;1590,6;1
Bologna;Grosseto;martina49;22;FALSE;DX;a;785,7;0
Bologna;Grosseto;nicola19;23;M;DX;l;2983,4;1
Bologna;Grosseto;giulia23;22;FALSE;DX;l;1303;1
Bologna;Latina;SF2002;20;FALSE;SX;l;1675;1
Bologna;Latina;valentina45;21;FALSE;DX;l;861,5;1
Bologna;Latina;LF1998;24;FALSE;DX;l;728;1
Bologna;Latina;andrea40;20;M;DX;l;1865,1;1
Bologna;Latina;CAL1999;23;FALSE;DX;l;1339,3;1
Bologna;Latina;GiorgioLazzari;24;M;DX;l;1140;1
Bologna;Latina;elena56;22;FALSE;DX;l;644,8;1
Bologna;Latina;emanuela36;20;FALSE;DX;l;1448;1
Bologna;Latina;alessia69;26;FALSE;DX;l;1265,6;1
Bologna;Latina;marta57;32;FALSE;DX;l;1341;1
Bologna;Latina;samuele42;21;M;SX;l;1380,3;1
Bologna;Latina;iacopo50;21;M;DX;l;1342,7;1
Bologna;Latina; irene1;24;FALSE;DX;l;1367;1
Bologna;Latina;alex35;28;M;DX;l;1007,5;1
Bologna;Latina;valentina48;21;FALSE;DX;a;1014,8;0
