"Trial.order","Subject","Subject.number","Trial.name","correct","response","RT","leksikalnost","FWD_BCW","LF_HF","CONC_ABS","izvorna_rec","trial.number","rec","task"
39,"s1.dat",1,"t214",0,"None",NA,"pseudorec","forw","LF","abst",NA,214,"PITOR","ALD"
39,"s1.dat",1,"t214",0,"None",NA,"pseudorec","forw","LF","abst",NA,214,"PIJAD","VLD"
41,"s1.dat",1,"t62",1,"1",621,"rec","forw","HF","abst","izdaja",62,"IZDAJA","ALD"
41,"s1.dat",1,"t62",1,"1",621,"rec","forw","HF","abst","uzrok",62,"UZROK","VLD"
42,"s1.dat",1,"t29",1,"1",1082,"rec","backw","HF","conc","kamen",29,"NEMAK","ALD"
42,"s1.dat",1,"t29",1,"1",1082,"rec","backw","HF","conc","cveće",29,"EĆEVC","VLD"
43,"s1.dat",1,"t240",1,"3",1472,"pseudorec","forw","LF","conc",NA,240,"VOSKAB","ALD"
43,"s1.dat",1,"t240",1,"3",1472,"pseudorec","forw","LF","conc",NA,240,"TRILEN","VLD"
44,"s1.dat",1,"t179",1,"3",1452,"pseudorec","backw","LF","conc",NA,179,"PETLIR","ALD"
44,"s1.dat",1,"t179",1,"3",1452,"pseudorec","backw","LF","conc",NA,179,"KANTAC","VLD"
45,"s1.dat",1,"t73",1,"1",621,"rec","forw","HF","abst","zakon",73,"ZAKON","ALD"
45,"s1.dat",1,"t73",1,"1",621,"rec","forw","HF","abst","istina",73,"ISTINA","VLD"
46,"s1.dat",1,"t8",1,"1",1402,"rec","backw","HF","abst","pojava",8,"AVAJOP","ALD"
46,"s1.dat",1,"t8",1,"1",1402,"rec","backw","HF","abst","pravda",8,"ADVARP","VLD"
47,"s1.dat",1,"t148",1,"3",1242,"pseudorec","backw","HF","conc",NA,148,"PRELER","ALD"
47,"s1.dat",1,"t148",1,"3",1242,"pseudorec","backw","HF","conc",NA,148,"BAZAP","VLD"
48,"s1.dat",1,"t207",0,"None",NA,"pseudorec","forw","HF","conc",NA,207,"ZAREM","ALD"
48,"s1.dat",1,"t207",0,"None",NA,"pseudorec","forw","HF","conc",NA,207,"BONTOZ","VLD"
50,"s1.dat",1,"t116",1,"1",761,"rec","forw","LF","conc","konjak",116,"KONJAK","ALD"
50,"s1.dat",1,"t116",1,"1",761,"rec","forw","LF","conc","čaplja",116,"ČAPLJA","VLD"
51,"s1.dat",1,"t78",1,"1",501,"rec","forw","HF","conc","korito",78,"KORITO","ALD"
51,"s1.dat",1,"t78",1,"1",501,"rec","forw","HF","conc","jastuk",78,"JASTUK","VLD"
52,"s1.dat",1,"t224",1,"3",1081,"pseudorec","forw","LF","abst",NA,224,"BOJLEG","ALD"
52,"s1.dat",1,"t224",1,"3",1081,"pseudorec","forw","LF","abst",NA,224,"DISTIC","VLD"
53,"s1.dat",1,"t129",0,"None",NA,"pseudorec","backw","HF","abst",NA,129,"AKTEF","ALD"
53,"s1.dat",1,"t129",0,"None",NA,"pseudorec","backw","HF","abst",NA,129,"AFEKAL","VLD"
55,"s1.dat",1,"t146",0,"None",NA,"pseudorec","backw","HF","conc",NA,146,"FOSIK","ALD"
55,"s1.dat",1,"t146",0,"None",NA,"pseudorec","backw","HF","conc",NA,146,"DRIPAG","VLD"
57,"s1.dat",1,"t31",0,"None",NA,"rec","backw","LF","abst","izazov",31,"VOZAZI","ALD"
57,"s1.dat",1,"t31",0,"None",NA,"rec","backw","LF","abst","etika",31,"AKITE","VLD"
59,"s1.dat",1,"t173",1,"3",1302,"pseudorec","backw","LF","conc",NA,173,"IMPORK","ALD"
59,"s1.dat",1,"t173",1,"3",1302,"pseudorec","backw","LF","conc",NA,173,"LENJOČ","VLD"
60,"s1.dat",1,"t74",1,"1",731,"rec","forw","HF","abst","sreća",74,"SREĆA","ALD"
60,"s1.dat",1,"t74",1,"1",731,"rec","forw","HF","abst","odnos",74,"ODNOS","VLD"
61,"s1.dat",1,"t13",1,"1",1101,"rec","backw","HF","abst","samoća",13,"AĆOMAS","ALD"
61,"s1.dat",1,"t13",1,"1",1101,"rec","backw","HF","abst","tajna",13,"ANJAT","VLD"
62,"s1.dat",1,"t48",1,"1",1322,"rec","backw","LF","conc","burek",48,"KERUB","ALD"
62,"s1.dat",1,"t48",1,"1",1322,"rec","backw","LF","conc","cucla",48,"ALCUC","VLD"
63,"s1.dat",1,"t154",0,"None",NA,"pseudorec","backw","LF","abst",NA,154,"REZOL","ALD"
63,"s1.dat",1,"t154",0,"None",NA,"pseudorec","backw","LF","abst",NA,154,"SKRON","VLD"
65,"s1.dat",1,"t67",1,"1",671,"rec","forw","HF","abst","sezona",67,"SEZONA","ALD"
65,"s1.dat",1,"t67",1,"1",671,"rec","forw","HF","abst","propis",67,"PROPIS","VLD"
66,"s1.dat",1,"t144",1,"3",1191,"pseudorec","backw","HF","conc",NA,144,"MASIT","ALD"
66,"s1.dat",1,"t144",1,"3",1191,"pseudorec","backw","HF","conc",NA,144,"SLANIB","VLD"
67,"s1.dat",1,"t1",1,"1",1452,"rec","backw","HF","abst","novost",1,"TSOVON","ALD"
67,"s1.dat",1,"t1",1,"1",1452,"rec","backw","HF","abst","metoda",1,"ADOTEM","VLD"
68,"s1.dat",1,"t131",0,"None",NA,"pseudorec","backw","HF","abst",NA,131,"PORIG","ALD"
68,"s1.dat",1,"t131",0,"None",NA,"pseudorec","backw","HF","abst",NA,131,"PATROZ","VLD"
70,"s1.dat",1,"t72",1,"1",530,"rec","forw","HF","abst","uslov",72,"USLOV","ALD"
70,"s1.dat",1,"t72",1,"1",530,"rec","forw","HF","abst","uspeh",72,"USPEH","VLD"
71,"s1.dat",1,"t205",1,"3",1181,"pseudorec","forw","HF","conc",NA,205,"PEŠKIG","ALD"
71,"s1.dat",1,"t205",1,"3",1181,"pseudorec","forw","HF","conc",NA,205,"EVNUB","VLD"
72,"s1.dat",1,"t228",0,"None",NA,"pseudorec","forw","LF","conc",NA,228,"ULKUG","ALD"
72,"s1.dat",1,"t228",0,"None",NA,"pseudorec","forw","LF","conc",NA,228,"FLANEG","VLD"
74,"s1.dat",1,"t194",1,"3",1432,"pseudorec","forw","HF","abst",NA,194,"SONAĐ","ALD"
74,"s1.dat",1,"t194",1,"3",1432,"pseudorec","forw","HF","abst",NA,194,"ŠPRIĐ","ALD"
75,"s1.dat",1,"t168",0,"None",NA,"pseudorec","backw","LF","conc",NA,168,"JELEP","ALD"
75,"s1.dat",1,"t168",0,"None",NA,"pseudorec","backw","LF","conc",NA,168,"ĆUMEP","VLD"
77,"s1.dat",1,"t223",0,"None",NA,"pseudorec","forw","LF","abst",NA,223,"OPILJAL","ALD"
77,"s1.dat",1,"t223",0,"None",NA,"pseudorec","forw","LF","abst",NA,223,"IZOTOC","VLD"
79,"s1.dat",1,"t27",1,"1",1252,"rec","backw","HF","conc","stena",27,"ANETS","ALD"
79,"s1.dat",1,"t27",1,"1",1252,"rec","backw","HF","conc","mleko",27,"OKELM","VLD"
80,"s1.dat",1,"t169",1,"3",1272,"pseudorec","backw","LF","conc",NA,169,"GULAN","ALD"
80,"s1.dat",1,"t169",1,"3",1272,"pseudorec","backw","LF","conc",NA,169,"CIGAF","VLD"
81,"s1.dat",1,"t165",1,"3",1262,"pseudorec","backw","LF","abst",NA,165,"KARMIG","ALD"
81,"s1.dat",1,"t165",1,"3",1262,"pseudorec","backw","LF","abst",NA,165,"SIRUL","VLD"
