id	gender	childhood_location	current_location	native_language	education	age
1106	female	illinois	illinois	english	high_school_graduate	21
1107	female	la	louisiana	english	associates_degree	47
1108	female	texas	texas	english	high_school_graduate	32
1109	female	texas	texas	english	bachelors_degree	51
1110	male	illinois	illinois	english	bachelors_degree	30
1111	male	il	ar	english	bachelors_degree	58
1112	male	texas	texas	english	some_college_no_degree	22
1113	male	nv	nv	english	some_college_no_degree	22
1114	female	tx	tx	english	high_school_graduate	38
1115	male	california	tennessee	english	bachelors_degree	30
1116	male	wa	tx	english	masters_degree	35
1117	male	tx	tx	english	bachelors_degree	29
1118	female	nebraska	texas	english	masters_degree	60
1119	male	texas	texas	english	associates_degree	30
1120	male	la	youngsville	english	bachelors_degree	55
1121	female	ms	ms	english	masters_degree	29
1122	male	wisconsin	wisconsin	english	high_school_graduate	21
1123	other	unitedstatestexas	texas	english	some_college_no_degree	20
1124	male	ks	ks	english	bachelors_degree	42
1125	female	texas	texas	english	high_school_graduate	46
1126	male	ohioandmichigan	wisconsin	english	some_college_no_degree	37
1127	male	ny	ny	english	masters_degree	32
1128	male	vevermont	texas	english	bachelors_degree	31
1129	female	texas	texas	english	high_school_graduate	21
1130	male	newyork	newyork	english	masters_degree	32
1131	female	missouri	kansas	english	some_college_no_degree	22
1132	female	nj	tx	english	bachelors_degree	40
1133	male	tx	tx	english	some_college_no_degree	42
1134	female	ky	ky	english	bachelors_degree	35
1135	male	nevada	oklahoma	english	high_school_graduate	35
1136	male	il	il	english	associates_degree	37
1137	female	ar	ar	english	high_school_graduate	38
1138	female	illinois	illinois	english	some_college_no_degree	22
1139	male	38583	tennessee	english	associates_degree	30
1140	male	texas	texas	english	high_school_graduate	37
1141	female	ar	ar	english	some_college_no_degree	21
1142	male	connecticut	florida	english	bachelors_degree	41
1143	other	tx	tx	english	some_college_no_degree	34
1144	female	ia	ia	english	some_college_no_degree	20
1145	female	texas	texas	english	some_college_no_degree	35
1146	female	illinois	illinois	english	bachelors_degree	34
1147	male	texas	texas	english	some_college_no_degree	30
1148	female	mn	mn	english	bachelors_degree	23
1149	male	michigan	michigan	english	bachelors_degree	31
1150	female	florida	florida	english	doctorate	33
1151	male	indiana	indiana	english	bachelors_degree	39
1152	female	massachusetts	massachusetts	english	bachelors_degree	30
1153	female	ontario	florida	english	doctorate	32
1154	male	california	tennessee	english	bachelors_degree	50
1155	male	newyork	newyork	english	associates_degree	23
1156	male	missouri	southcarolina	english	doctorate	29
1157	male	connecticut	massachusetts	english	masters_degree	30
1158	male	maryland	maryland	english	bachelors_degree	26
1159	male	massachusetts	newyork	english	some_college_no_degree	34
1160	female	pennsylvania	pennsylvania	english	bachelors_degree	24
1161	female	nc	nc	english	bachelors_degree	48
1162	male	pennsylvania	pennsylvania	english	doctorate	34
1163	female	newyork	newyork	english	some_college_no_degree	60
1164	male	ohio	ohio	english	some_college_no_degree	42
1165	male	sc	sc	english	some_college_no_degree	23
1166	female	pennsylvania	massachusetts	english	bachelors_degree	23
1167	male	nc	nc	english	high_school_graduate	29
1168	female	arkansas	florida	english	some_college_no_degree	19
1169	male	maryland	maryland	english	some_college_no_degree	22
1170	female	oh	dc	english	bachelors_degree	35
1171	male	newyork	newyork	english	masters_degree	27
