participant_id,token_id,trial,word,original_code,condition,word_position,position_num,eprime_onset_ms,is_erp_target,N400_mean_uV,P600_mean_uV,N400_peak_uV,P600_peak_uV,N400_peak_lat_ms,P600_peak_lat_ms,peak_uV
E17,1,1,Pria,21,PB_Passive,NP1_w1,1,139402,0,0.240808397531509,0.523333191871643,-0.833350658416748,1.51256859302521,400,604,2.76059222221375
E17,2,1,itu,22,PB_Passive,NP1_w2,2,140036,0,0.185096576809883,1.04542636871338,-1.2441713809967,2.66566371917725,320,610,3.65274715423584
E17,3,1,diwawancara,23,PB_Passive,VERB,3,140670,1,-0.132919639348984,0.274879455566406,-1.20669054985046,1.49882102012634,403,766,2.56471705436707
E17,4,1,langsung,24,PB_Passive,ADV,4,141304,1,0.482069164514542,0.334567189216614,-1.01509273052216,1.77565145492554,488,693,3.93305087089539
E17,5,1,oleh,25,PB_Passive,NP2_w1,5,141938,0,1.22392630577087,0.68151581287384,-0.0936251878738403,2.57289838790894,498,697,3.85385322570801
E17,6,1,wanita,26,PB_Passive,NP2_w2,6,142572,1,0.404955387115479,0.415996938943863,-0.498470723628998,2.35360217094421,318,781,3.78512048721313
E17,7,1,di,27,PB_Passive,PP_w1,7,143205,0,0.838495671749115,-0.0877833515405655,-0.50211501121521,0.710925877094269,499,522,3.29681730270386
E17,8,1,kantor,28,PB_Passive,PP_w2,8,143839,0,-0.00751310773193836,0.874895691871643,-0.810372650623322,2.01227641105652,470,680,2.52274346351624
E17,9,1,Menurut,60,Filler,w0,0,147559,0,1.24253726005554,0.675963759422302,-0.565724670886993,2.24279689788818,349,500,3.42268753051758
E17,10,1,surat,60,Filler,w0,0,148193,0,0.117173604667187,0.011391150765121,-1.21695339679718,0.815730512142181,362,722,2.68107724189758
E17,11,1,kabar,61,Filler,w1,1,148827,0,-0.651835501194,-0.596789419651031,-1.88241112232208,0.534023523330688,473,646,2.92794418334961
E17,12,1,apa,62,Filler,w2,2,149461,0,0.89616721868515,0.90735250711441,-0.36061704158783,1.96749198436737,409,643,3.82498168945312
E17,13,1,yang,63,Filler,w3,3,150095,0,1.03632056713104,1.57308757305145,-0.207680746912956,2.71747303009033,368,567,3.92692446708679
E17,14,1,si,64,Filler,w4,4,150729,0,-0.216666132211685,-0.257235646247864,-1.9444944858551,1.51857924461365,398,555,3.46655583381653
E17,15,1,istri,65,Filler,w5,5,151363,0,0.252399921417236,1.88371729850769,-0.983500182628632,5.56300497055054,430,567,6.45545101165771
E17,16,1,pandai,66,Filler,w6,6,151997,0,-3.05995678901672,-2.24886918067932,-4.31683778762817,-0.364436745643616,379,683,4.79270362854004
E17,17,1,itu,67,Filler,w7,7,152631,0,0.415731430053711,0.829254686832428,-0.453465312719345,2.40471982955933,333,797,3.00585031509399
E17,18,1,minta,68,Filler,w8,8,153264,0,0.721790850162506,0.535739660263062,0.207873210310936,3.14085578918457,441,549,3.80584454536438
E17,19,1,kemarin?,69,Filler,w9,9,153898,0,-0.889110803604126,-0.762264430522919,-2.02870464324951,0.42506542801857,379,563,3.96933555603027
E17,20,2,Tentara,11,Active,NP1_w1,1,158269,0,0.502743005752563,0.296930402517319,-0.645011305809021,1.75991916656494,459,542,3.35974788665771
E17,21,2,itu,12,Active,NP1_w2,2,158903,0,0.0267364736646414,0.0728950053453445,-0.873500347137451,1.34824514389038,309,800,2.60403442382812
E17,22,2,mengamankan,13,Active,VERB,3,159537,1,0.536527931690216,-0.435029298067093,-0.27772119641304,0.562114238739014,386,504,2.44227647781372
E17,23,2,langsung,14,Active,ADV,4,160171,1,0.33703625202179,0.0314042046666145,-1.09511435031891,1.66532254219055,456,529,2.56386709213257
E17,24,2,seorang,15,Active,NP2_w1,5,160805,0,-0.7267125248909,-0.29508250951767,-1.96759855747223,1.52069818973541,477,800,2.82952547073364
E17,25,2,polisi,16,Active,NP2_w2,6,161438,1,0.0475076213479042,-0.29169100522995,-0.822674036026001,1.10200715065002,500,669,4.80709457397461
E17,26,2,saat,17,Active,PP_w1,7,162072,0,0.674642205238342,0.379878580570221,-0.070148266851902,2.19132328033447,395,524,4.62435913085938
E17,27,2,berbuat,18,Active,PP_w2,8,162706,0,-0.537053287029266,-0.769207119941711,-1.47881090641022,1.5758650302887,440,560,2.92296051979065
E17,28,2,onar,19,Active,PP_w3,9,163340,0,0.387193530797958,0.00922979880124331,-0.244431629776955,0.905150294303894,379,511,2.63372874259949
E17,29,2,Menurut,80,Filler,w0,0,170964,0,-0.147420614957809,-0.612616360187531,-1.21775007247925,0.870417892932892,337,720,3.4669885635376
E17,30,2,surat,81,Filler,w1,1,171598,0,-0.722323894500732,-1.26677882671356,-1.75814485549927,-0.475352704524994,369,690,3.95514559745789
