participant_id,token_id,trial,word,original_code,condition,word_position,position_num,eprime_onset_ms,is_erp_target,N400_mean_uV,P600_mean_uV,N400_peak_uV,P600_peak_uV,N400_peak_lat_ms,P600_peak_lat_ms,peak_uV
E16,1,1,Pria,21,PB_Passive,NP1_w1,1,2373548,0,0.143449977040291,0.564739882946014,-1.00513792037964,1.38418531417847,364,722,3.06709027290344
E16,2,1,itu,22,PB_Passive,NP1_w2,2,2374182,0,1.01692163944244,0.59149169921875,0.244023829698563,2.08341479301453,354,800,4.2997989654541
E16,3,1,diwawancara,23,PB_Passive,VERB,3,2374816,1,1.88391184806824,1.33222281932831,1.14712929725647,2.14580774307251,424,698,3.61843872070312
E16,4,1,langsung,24,PB_Passive,ADV,4,2375450,1,0.162377625703812,0.205382227897644,-0.648054540157318,1.00751054286957,447,584,2.25027370452881
E16,5,1,oleh,25,PB_Passive,NP2_w1,5,2376084,0,0.238055154681206,-0.552799761295319,-0.331370562314987,0.460205227136612,360,675,2.75509977340698
E16,6,1,wanita,26,PB_Passive,NP2_w2,6,2376718,1,0.497143507003784,0.142972826957703,-0.0605351664125919,1.28413033485413,423,728,2.48186182975769
E16,7,1,di,27,PB_Passive,PP_w1,7,2377352,0,-0.410727471113205,-0.209018766880035,-1.07323563098907,0.738853573799133,407,764,2.62376356124878
E16,8,1,kantor,28,PB_Passive,PP_w2,8,2377986,0,0.754354596138,0.0461837686598301,0.281476348638535,0.843765914440155,414,709,2.93783974647522
E16,9,1,Menurut,60,Filler,w0,0,2380805,0,1.79901003837585,2.63767123222351,0.56422758102417,3.74060606956482,332,720,5.26544570922852
E16,10,1,surat,60,Filler,w0,0,2381439,0,1.05632841587067,0.930627048015594,-0.187984302639961,2.45173621177673,423,730,3.21865153312683
E16,11,1,kabar,61,Filler,w1,1,2382073,0,1.31827676296234,1.99500846862793,-0.0822662264108658,3.17162156105042,333,542,3.61572933197021
E16,12,1,apa,62,Filler,w2,2,2382706,0,-0.786517083644867,-1.71212697029114,-1.63612020015717,-0.387466549873352,495,593,5.03538036346436
E16,13,1,yang,63,Filler,w3,3,2383340,0,-2.13389325141907,-3.3461902141571,-3.29730010032654,-1.9586056470871,390,557,6.20088386535645
E16,14,1,si,64,Filler,w4,4,2383974,0,-2.29810309410095,-3.52930021286011,-3.0010392665863,-1.66150677204132,474,527,5.69526958465576
E16,15,1,istri,65,Filler,w5,5,2384608,0,-1.85909128189087,-3.56617093086243,-3.22696876525879,-1.8518990278244,443,524,6.87653303146362
E16,16,1,pandai,66,Filler,w6,6,2385242,0,-2.99839544296265,-4.2108793258667,-3.91988325119019,-3.19545006752014,396,500,6.647789478302
E16,17,1,itu,67,Filler,w7,7,2385876,0,-1.04384052753448,-1.74090492725372,-2.0695641040802,-0.650763750076294,435,608,3.91645383834839
E16,18,1,minta,68,Filler,w8,8,2386510,0,-0.197995811700821,0.330432683229446,-1.28472626209259,1.99931418895721,361,795,2.63878297805786
E16,19,1,kemarin?,69,Filler,w9,9,2387144,0,1.75797128677368,2.77768349647522,0.70809930562973,3.9764997959137,374,769,4.79641437530518
E16,20,2,Tentara,11,Active,NP1_w1,1,2389863,0,1.79350686073303,2.05645489692688,0.329678952693939,3.24005961418152,300,760,5.23764705657959
E16,21,2,itu,12,Active,NP1_w2,2,2390497,0,1.79993379116058,1.46464478969574,0.647243797779083,2.75262355804443,320,720,4.35616588592529
E16,22,2,mengamankan,13,Active,VERB,3,2391131,1,0.893376052379608,0.894456923007965,-0.374288320541382,1.63785445690155,447,800,3.04290509223938
E16,23,2,langsung,14,Active,ADV,4,2391764,1,0.293579250574112,-0.184337556362152,-0.66700267791748,1.12150597572327,328,576,2.79593324661255
E16,24,2,seorang,15,Active,NP2_w1,5,2392398,0,-2.18650889396667,-1.74206221103668,-3.46571779251099,-0.805251240730286,414,780,5.51360464096069
E16,25,2,polisi,16,Active,NP2_w2,6,2393032,1,-1.27265071868896,-1.27757942676544,-2.32132649421692,0.338774412870407,440,533,6.29271507263184
E16,26,2,saat,17,Active,PP_w1,7,2393666,0,-1.1623991727829,-1.05151081085205,-1.95562148094177,0.0827211812138557,403,510,3.18132925033569
E16,27,2,berbuat,18,Active,PP_w2,8,2394300,0,-0.269468277692795,0.820790886878967,-1.03472661972046,1.8294734954834,413,723,3.35897207260132
E16,28,2,onar,19,Active,PP_w3,9,2394934,0,0.921276390552521,0.463536858558655,0.233370468020439,1.20722854137421,480,714,3.16672921180725
E16,29,2,Menurut,80,Filler,w0,0,2397103,0,-0.147320359945297,-0.164601758122444,-0.604858219623566,1.27317035198212,484,720,3.35771942138672
E16,30,2,surat,81,Filler,w1,1,2397736,0,-0.32920503616333,0.391607850790024,-1.31525015830994,1.49264287948608,373,745,2.76235008239746
E16,31,2,kabar,82,Filler,w2,2,2398370,0,1.19635045528412,0.877805769443512,0.578416287899017,1.73076450824738,496,531,2.94913482666016
E16,32,2,si,83,Filler,w3,3,2399004,0,-0.947549521923065,-0.637634813785553,-2.97809553146362,0.39155387878418,424,713,3.69570636749268
E16,33,2,wanita,84,Filler,w4,4,2399638,0,0.433154731988907,-0.188306614756584,-1.25585007667542,1.25763809680939,500,763,2.66030883789062
E16,34,2,cerdas,85,Filler,w5,5,2400272,0,0.336622476577759,0.997896492481232,-1.12359082698822,2.22459030151367,409,567,3.03457832336426
E16,35,2,itu,86,Filler,w6,6,2400906,0,0.567072093486786,-0.169458329677582,-0.509486675262451,0.599512577056885,401,698,2.32440233230591
E16,36,2,mencari,87,Filler,w7,7,2401540,0,-0.0250945501029491,-0.797045648097992,-1.0845205783844,0.103106237947941,490,787,2.89539051055908
E16,37,2,apa,88,Filler,w8,8,2402174,0,0.809218764305115,0.893428683280945,0.248146668076515,1.5343611240387,438,652,3.23099160194397
E16,38,2,kemarin?,89,Filler,w9,9,2402808,0,0.185145229101181,-0.650015532970428,-0.781427443027496,0.353550255298615,486,777,4.67221641540527
E16,39,3,Pria,31,AB_Passive,NP1_w1,1,2404943,0,-0.345268338918686,-0.77863347530365,-1.49578416347504,0.435340166091919,464,700,2.76317524909973
E16,40,3,itu,32,AB_Passive,NP1_w2,2,2405577,0,0.344088166952133,-0.359430223703384,-0.623764157295227,1.51879632472992,308,711,3.36861228942871
E16,41,3,dikritik,33,AB_Passive,VERB,3,2406211,1,-0.16490475833416,0.17940528690815,-1.06355655193329,1.81381773948669,466,731,3.4603009223938
E16,42,3,langsung,34,AB_Passive,ADV,4,2406844,1,1.09342324733734,1.14340829849243,-0.0603473335504532,2.13351917266846,373,709,4.14264678955078
E16,43,3,oleh,35,AB_Passive,NP2_w1,5,2407478,0,1.26405489444733,0.89512050151825,0.444914549589157,1.73202681541443,419,709,3.13648796081543
E16,44,3,wanita,36,AB_Passive,NP2_w2,6,2408112,1,-1.10439074039459,-0.493516594171524,-2.4382905960083,0.966135859489441,325,587,4.21853637695312
E16,45,3,di,37,AB_Passive,PP_w1,7,2408746,0,-1.20623481273651,-0.810684382915497,-2.06266498565674,0.386362999677658,413,717,3.80392861366272
E16,46,3,kantor,38,AB_Passive,PP_w2,8,2409380,0,1.41155910491943,0.691788911819458,0.456914275884628,2.65957117080688,444,790,4.12104511260986
E16,48,3,Menurut,70,Filler,w0,0,2422358,0,-13.9319591522217,-19.8759174346924,-17.0329627990723,-16.3009128570557,497,514,48.4516830444336
E16,49,3,surat,71,Filler,w1,1,2422992,0,-10.5188846588135,-9.35983371734619,-11.2284173965454,-7.99444055557251,441,721,12.3060550689697
E16,50,3,kabar,72,Filler,w2,2,2423626,0,4.51471281051636,7.08769655227661,3.23560237884521,8.73850631713867,329,787,15.5423259735107
E16,51,3,apakah,73,Filler,w3,3,2424260,0,4.22245597839355,4.99021768569946,2.98196077346802,6.46684837341309,300,769,12.7085151672363
E16,52,3,si,74,Filler,w4,4,2424894,0,3.87749433517456,6.29215621948242,3.13828873634338,7.67341184616089,441,729,12.707592010498
E16,53,3,wanita,75,Filler,w5,5,2425528,0,3.63328218460083,4.57196712493896,2.68320965766907,5.63605117797852,484,770,9.4325008392334
E16,54,3,cerdas,76,Filler,w6,6,2426162,0,2.13576912879944,1.89590871334076,1.36108696460724,2.74796581268311,477,559,7.16007137298584
E16,55,3,mencari,77,Filler,w7,7,2426795,0,1.35053062438965,0.800803244113922,0.908930361270905,2.25336360931396,342,511,5.73794794082642
E16,56,3,itu,78,Filler,w8,8,2427429,0,0.156226515769958,-0.184221103787422,-0.999501883983612,0.633680105209351,457,735,2.87935519218445
E16,57,3,kemarin?,79,Filler,w9,9,2428063,0,-0.102231800556183,-1.13947784900665,-1.00561201572418,-0.361155182123184,500,528,5.59357643127441
E16,58,4,Pria,11,Active,NP1_w1,1,2430315,0,-0.217344298958778,-0.44272044301033,-1.09849464893341,0.708519995212555,360,521,3.70911765098572
