participant_id,token_id,trial,word,original_code,condition,word_position,position_num,eprime_onset_ms,is_erp_target,N400_mean_uV,P600_mean_uV,N400_peak_uV,P600_peak_uV,N400_peak_lat_ms,P600_peak_lat_ms,peak_uV
E33,1,0,Menurut,70,Filler,w0,0,84776,0,1.00576627254486,0.353731036186218,-0.448204874992371,1.49347162246704,484,509,3.28463840484619
E33,2,0,surat,71,Filler,w1,1,85409,0,0.873817384243011,0.659986674785614,-0.371003895998001,2.3197648525238,423,636,2.76193857192993
E33,3,0,kabar,72,Filler,w2,2,86043,0,-0.811630308628082,-1.55864500999451,-1.7942636013031,0.179176703095436,475,789,4.01873636245728
E33,4,0,apakah,73,Filler,w3,3,86677,0,0.332279562950134,0.570281147956848,-0.716168642044067,1.47026228904724,421,748,2.35777521133423
E33,5,0,si,74,Filler,w4,4,87311,0,0.241157442331314,0.454198479652405,-0.814493954181671,1.42874526977539,376,766,2.32189655303955
E33,6,0,istri,75,Filler,w5,5,87945,0,-0.146600008010864,-0.124196887016296,-1.47304046154022,1.93237686157227,500,775,2.49076080322266
E33,7,0,pandai,76,Filler,w6,6,88579,0,-0.395908683538437,-0.44080325961113,-1.591064453125,0.936457216739655,439,669,3.09297704696655
E33,8,0,meminta,77,Filler,w7,7,89213,0,0.2133868932724,0.351605236530304,-0.979303240776062,1.63787841796875,439,781,3.00316047668457
E33,9,0,itu,78,Filler,w8,8,89847,0,0.674392461776733,0.769204914569855,0.0186920966953039,2.17159342765808,442,786,2.79479551315308
E33,10,0,kemarin?,79,Filler,w9,9,90481,0,0.692026317119598,0.747490108013153,-0.991182625293732,1.75247025489807,360,576,2.3335165977478
E33,11,1,Pria,11,Active,NP1_w1,1,93600,0,0.151008978486061,0.210083305835724,-1.16363728046417,1.7824501991272,401,509,3.10238742828369
E33,12,1,itu,12,Active,NP1_w2,2,94234,0,0.356572985649109,0.677211344242096,-0.732271254062653,2.17732548713684,395,785,3.13368916511536
E33,13,1,memecat,13,Active,VERB,3,94868,1,-0.0939638912677765,-0.424682319164276,-1.39572787284851,0.702678203582764,448,790,2.49995279312134
E33,14,1,langsung,14,Active,ADV,4,95502,1,0.669168472290039,0.144873708486557,-0.458368092775345,1.6519889831543,367,573,2.46266222000122
E33,15,1,seorang,15,Active,NP2_w1,5,96136,0,-1.3491747379303,-1.90066564083099,-2.95848679542542,-0.51744419336319,466,786,3.45496416091919
E33,16,1,wanita,16,Active,NP2_w2,6,96770,1,0.730619847774506,0.476861387491226,-0.782665014266968,1.81186234951019,441,626,2.37163400650024
E33,17,1,karena,17,Active,PP_w1,7,97404,0,-0.0551427379250526,-0.585314869880676,-1.17515313625336,1.19681012630463,467,634,3.18981552124023
E33,18,1,tindakannya,18,Active,PP_w2,8,98037,0,0.34850800037384,-0.263192027807236,-0.743954956531525,0.641258120536804,451,788,2.53150272369385
E33,19,2,Pejabat,31,AB_Passive,NP1_w1,1,102008,0,1.01585280895233,0.815145015716553,-0.3874571621418,2.13475966453552,427,620,3.81096696853638
E33,20,2,itu,32,AB_Passive,NP1_w2,2,102642,0,-1.0342378616333,-0.688394844532013,-2.00447630882263,0.987493276596069,445,610,3.03239822387695
E33,21,2,diminta,33,AB_Passive,VERB,3,103275,1,0.712508618831635,0.685547053813934,-0.761407673358917,1.50381255149841,305,768,2.58070611953735
E33,22,2,kemarin,34,AB_Passive,ADV,4,103909,1,-0.628691434860229,-1.11926686763763,-1.75556969642639,0.196630135178566,470,520,3.17572140693665
E33,23,2,oleh,35,AB_Passive,NP2_w1,5,104543,0,1.72534847259521,2.00595450401306,0.717615246772766,3.16295289993286,300,696,4.20054626464844
E33,24,2,gubernur,36,AB_Passive,NP2_w2,6,105177,1,0.12577311694622,-0.732769012451172,-1.30550217628479,0.662338018417358,416,607,3.15802669525146
E33,25,2,untuk,37,AB_Passive,PP_w1,7,105811,0,-0.637125670909882,-0.869639575481415,-1.44690656661987,0.549391746520996,429,751,2.6628885269165
E33,26,2,turut,38,AB_Passive,PP_w2,8,106445,0,-0.303608000278473,-0.803513824939728,-1.65737843513489,0.0369868725538254,462,767,3.1440794467926
E33,27,2,membantu,39,AB_Passive,PP_w3,9,107079,0,0.684219896793365,0.16110822558403,-1.21322345733643,1.85525703430176,308,784,2.68467092514038
E33,29,3,Dokter,11,Active,NP1_w1,1,115303,0,1.73301458358765,0.440602749586105,0.426104754209518,1.23107635974884,486,640,4.38480567932129
E33,30,3,itu,12,Active,NP1_w2,2,115937,0,-0.570715367794037,-0.45088917016983,-1.45928776264191,1.55179178714752,485,777,2.71457719802856
E33,31,3,memvonis,13,Active,VERB,3,116571,1,0.340371042490005,-0.272503167390823,-0.54352194070816,1.31463074684143,300,588,3.22170782089233
E33,32,3,kemarin,14,Active,ADV,4,117205,1,0.678351581096649,0.0729748085141182,-0.262915968894958,0.848743438720703,391,704,2.48472857475281
E33,33,3,seorang,15,Active,NP2_w1,5,117839,0,-0.569693624973297,0.0297106895595789,-1.73498106002808,1.01717972755432,426,666,2.81466245651245
E33,34,3,hakim,16,Active,NP2_w2,6,118472,1,-0.0629407688975334,0.418668031692505,-1.2854186296463,2.02783513069153,461,637,2.89837408065796
E33,35,3,pada,17,Active,PP_w1,7,119106,0,-0.194087937474251,0.0578292571008205,-1.33729195594788,1.40070235729218,312,782,2.49750089645386
E33,36,3,siang,18,Active,PP_w2,8,119740,0,0.866905689239502,2.09935832023621,-0.239945009350777,3.6490695476532,383,800,4.71565818786621
E33,37,3,hari,19,Active,PP_w3,9,120374,0,1.13452041149139,0.894713640213013,-0.169151306152344,1.95048952102661,400,678,2.93380904197693
E33,38,4,Pria,31,AB_Passive,NP1_w1,1,123927,0,0.520646333694458,-0.645141780376434,-1.11672806739807,0.609483122825623,499,517,3.43427991867065
