"list","participant_id","trial_id","stimulus","trial_order","lexicality","response","accuracy","rt"
"PRIDEVI_B","subject-82.csv",171,"NJERNOM",93,"pseudorec","3",1,777
"PRIDEVI_B","subject-82.csv",110,"DORANOG",94,"pseudorec","3",1,759
"PRIDEVI_B","subject-82.csv",83,"SPORTSKOG",95,"rec","1",1,1065
"PRIDEVI_B","subject-82.csv",45,"NEBESKOM",96,"rec","1",1,835
"PRIDEVI_B","subject-82.csv",54,"NOĆNOM",97,"rec","1",1,746
"PRIDEVI_B","subject-82.csv",12,"DAVNOM",98,"rec","1",1,835
"PRIDEVI_B","subject-82.csv",65,"PRAVILNOG",99,"rec","1",1,611
"PRIDEVI_B","subject-82.csv",152,"TULAVOM",100,"pseudorec","3",1,631
"PRIDEVI_B","subject-82.csv",204,"GANKOJ",101,"pseudorec","3",1,780
"PRIDEVI_B","subject-82.csv",159,"KILENOM",102,"pseudorec","3",1,682
"PRIDEVI_B","subject-82.csv",196,"OTKENOJ",103,"pseudorec","3",1,814
"PRIDEVI_B","subject-82.csv",82,"SMRTNOJ",104,"rec","1",1,776
"PRIDEVI_B","subject-82.csv",199,"URTIVOJ",105,"pseudorec","3",1,613
"PRIDEVI_B","subject-82.csv",148,"MORIVOM",106,"pseudorec","3",1,929
"PRIDEVI_B","subject-82.csv",17,"EKONOMSKOG",107,"rec","None",0,1500
"PRIDEVI_B","subject-82.csv",209,"BUTOJ",108,"pseudorec","3",1,742
"PRIDEVI_B","subject-82.csv",42,"MUTNOM",109,"rec","1",1,903
"PRIDEVI_B","subject-82.csv",201,"TIROKOJ",110,"pseudorec","3",1,702
"PRIDEVI_B","subject-82.csv",101,"ŽALOSNOG",111,"rec","1",1,810
"PRIDEVI_B","subject-82.csv",158,"NORAVOM",112,"pseudorec","3",1,710
"PRIDEVI_B","subject-82.csv",211,"GUJAFOJ",113,"pseudorec","3",1,674
"PRIDEVI_B","subject-82.csv",153,"KISAVOM",114,"pseudorec","3",1,1109
"PRIDEVI_B","subject-82.csv",131,"MILATOG",115,"pseudorec","3",1,1051
"PRIDEVI_B","subject-82.csv",5,"BUDNOG",116,"rec","1",1,595
"PRIDEVI_B","subject-82.csv",198,"OSKENOJ",117,"pseudorec","3",1,812
"PRIDEVI_B","subject-82.csv",151,"MORNOM",118,"pseudorec","3",1,947
"PRIDEVI_B","subject-82.csv",14,"DNEVNOG",119,"rec","1",1,727
"PRIDEVI_B","subject-82.csv",169,"SUČENOM",120,"pseudorec","3",1,772
"PRIDEVI_B","subject-82.csv",98,"VISOKOG",121,"rec","1",1,751
"PRIDEVI_B","subject-82.csv",156,"DURAVOM",122,"pseudorec","3",1,728
"PRIDEVI_B","subject-82.csv",183,"FORKOJ",123,"pseudorec","3",1,694
"PRIDEVI_B","subject-82.csv",108,"MISANOG",124,"pseudorec","1",0,962
"PRIDEVI_B","subject-82.csv",126,"RIROKOG",125,"pseudorec","3",1,922
"PRIDEVI_B","subject-82.csv",21,"GORSKOM",126,"rec","3",0,970
"PRIDEVI_B","subject-82.csv",63,"POVOLJNOM",127,"rec","1",1,1153
"PRIDEVI_B","subject-82.csv",162,"NORNOM",128,"pseudorec","3",1,991
"PRIDEVI_B","subject-82.csv",10,"ČUDESNOJ",129,"rec","1",1,714
"PRIDEVI_B","subject-82.csv",111,"TOLANOG",130,"pseudorec","3",1,797
"PRIDEVI_B","subject-82.csv",97,"VAŽNOJ",131,"rec","1",1,664
"PRIDEVI_B","subject-82.csv",147,"ŽUNAVOM",132,"pseudorec","3",1,713
"PRIDEVI_B","subject-82.csv",75,"SELJAČKOM",133,"rec","1",1,672
"PRIDEVI_B","subject-82.csv",84,"STAKLENOM",134,"rec","1",1,722
"PRIDEVI_B","subject-82.csv",4,"BOLESNOJ",135,"rec","1",1,706
"PRIDEVI_B","subject-82.csv",146,"PANANOM",136,"pseudorec","3",1,817
"PRIDEVI_B","subject-82.csv",43,"MUZIČKOJ",137,"rec","1",1,643
"PRIDEVI_B","subject-82.csv",71,"RANJENOG",138,"rec","1",1,571
"PRIDEVI_B","subject-82.csv",52,"NEZNANOJ",139,"rec","3",0,878
"PRIDEVI_B","subject-82.csv",133,"SILKIMOG",140,"pseudorec","3",1,993
"PRIDEVI_B","subject-82.csv",23,"GUSTOG",141,"rec","1",1,1059
"PRIDEVI_B","subject-82.csv",115,"LOKAVOG",142,"pseudorec","3",1,898
"PRIDEVI_B","subject-82.csv",208,"FLABOJ",143,"pseudorec","3",1,660
