spelling	coltheart.N	OLD20	celex.frequency	celex.cd	celex.frequency.lemma	subtlex.frequency	subtlex.cd	subtlex.frequency.lemma	subtlex.frequency.million	subtlex.log10.frequency	subtlex.cd.percentage	subtlex.log10.cd	subtlex.dominant.pos	subtlex.dominant.pos.frequency	subtlex.dominant.pos.lemma	subtlex.dominant.pos.lemma.frequency	subtlex.all.pos	subtlex.all.pos.frequency	subtlex.all.pos.lemma.frequency	summed.monogram	summed.bigram	summed.trigram	stress	nchar	nsyl	celex.morphology	celex.flection	celex.synclass
machtig	2	1.8	667	296	1588	533	431	1413	12.1886	2.7275	5.3408	2.6355	ADJ	532	machtig	1412	.ADJ.BW.	.532.1.	.1412.1.	2324428	151923	40131	10	7	2	complex.undetermined	positive.singular 1p present.singular 2p present inversed	Adjective.Verb
machtsstreek	0	3.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4187764	285439	44924	NA	NA	NA	NA	NA	NA
machtsstrijd	0	4.4	103	52	103	17	13	17	0.3888	1.2553	0.1611	1.1461	N	17	machtsstrijd	17	.N.	.17.	.17.	3303816	267797	47998	10	12	2	complex	singular	Noun
machttijk	0	3.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2574687	166870	39125	NA	NA	NA	NA	NA	NA
macker	4	1.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2645995	209514	30931	NA	NA	NA	NA	NA	NA
mackers	3	1.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2847804	238688	35908	NA	NA	NA	NA	NA	NA
madam	0	1.9	74	36	83	164	80	165	3.7503	2.2175	0.9913	1.9085	N	159	madam	160	.N.SPEC.	.159.5.	.160.5.	2074889	51612	5032	1	5	2	monomorphemic	singular	Noun
madame	1	2.5	1222	146	1230	670	223	685	15.3215	2.8267	2.7633	2.3502	SPEC	602	madame	609	.SPEC.N.ADJ.	.602.67.1.	.609.75.1.	2680715	135628	8612	1	6	2	monomorphemic	singular	Noun
madams	1	2.25	0	0	83	1	1	1	0.0229	0.301	0.0124	0.301	SPEC	1	madams	1	.SPEC.	.1.	.1.	2276698	82412	5280	1	6	2	monomorphemic	plural	Noun
maddels	2	1.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2895797	198999	18783	NA	NA	NA	NA	NA	NA
made	11	1.25	86	60	149	35	30	35	0.8004	1.5563	0.3717	1.4914	SPEC	35	made	35	.SPEC.	.35.	.35.	2373823	171436	31647	10	4	2	monomorphemic	singular	Noun
madee	2	1.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2979649	207210	8794	NA	NA	NA	NA	NA	NA
maden	20	1	63	37	149	75	62	75	1.7151	1.8808	0.7683	1.7993	N	74	made	74	.N.SPEC.	.74.1.	.74.1.	2656737	325744	95734	10	5	2	monomorphemic	plural	Noun
mader	14	1.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2639492	250719	39307	NA	NA	NA	NA	NA	NA
madiek	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2701601	105219	12019	NA	NA	NA	NA	NA	NA
mafde	6	1.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2418063	180228	30356	NA	NA	NA	NA	NA	NA
maffe	5	1.65	47	27	89	274	245	744	6.2658	2.4393	3.0359	2.3909	ADJ	272	maf	742	.ADJ.SPEC.	.272.2.	.742.2.	2300512	114003	6024	10	5	2	monomorphemic	positive suffix-e	Adjective
maffel	6	1.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2458886	107334	13249	NA	NA	NA	NA	NA	NA
mafvlas	0	2.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2303770	107665	7334	NA	NA	NA	NA	NA	NA
mag	15	1.15	14444	722	30131	46273	7608	61666	1058.1663	4.6653	94.2751	3.8813	WW	46266	mogen	61659	.WW.SPEC.	.46266.7.	.61659.7.	1730502	47804	4835	1	3	1	monomorphemic	singular 1p present.singular 2p present.singular 2p present inversed.singular 3p present	Verb
magdek	0	2.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2600068	132398	8900	NA	NA	NA	NA	NA	NA
magen	20	1	61	41	1692	45	43	1061	1.0291	1.6628	0.5328	1.6435	N	45	maag	1061	.N.	.45.	.1061.	2619242	313692	92351	10	5	2	monomorphemic	plural	Noun
mager	10	1.45	727	269	2032	378	318	700	8.6441	2.5786	3.9405	2.5038	ADJ	377	mager	699	.ADJ.WW.	.377.1.	.699.1.	2601997	238667	35752	10	5	2	monomorphemic	positive	Adjective
magge	4	1.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2460624	161606	9474	NA	NA	NA	NA	NA	NA
maggen	4	1.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2743538	315914	90962	NA	NA	NA	NA	NA	NA
magie	2	1.9	466	108	466	1442	561	1442	32.9755	3.1593	6.9517	2.7497	N	1440	magie	1440	.N.WW.SPEC.	.1440.1.1.	.1440.1.1.	2562157	140666	10317	1	5	2	complex	singular	Noun
magisch	1	2	227	107	947	354	280	1149	8.0952	2.5502	3.4696	2.4487	ADJ	354	magisch	1149	.ADJ.	.354.	.1149.	2295664	121981	30982	10	7	2	undetermined	positive	Adjective
magneet	0	2.85	98	55	121	69	52	120	1.5779	1.8451	0.6444	1.7243	N	67	magneet	118	.N.WW.	.67.2.	.118.2.	3455641	141949	11584	1	7	2	undetermined	singular	Noun
mahmon	1	2.45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2240326	138021	5814	NA	NA	NA	NA	NA	NA
