spelling	coltheart.N	OLD20	celex.frequency	celex.cd	celex.frequency.lemma	subtlex.frequency	subtlex.cd	subtlex.frequency.lemma	subtlex.frequency.million	subtlex.log10.frequency	subtlex.cd.percentage	subtlex.log10.cd	subtlex.dominant.pos	subtlex.dominant.pos.frequency	subtlex.dominant.pos.lemma	subtlex.dominant.pos.lemma.frequency	subtlex.all.pos	subtlex.all.pos.frequency	subtlex.all.pos.lemma.frequency	summed.monogram	summed.bigram	summed.trigram	stress	nchar	nsyl	celex.morphology	celex.flection	celex.synclass
aad	13	1	NA	NA	NA	3	3	3	0.0686	0.6021	0.0372	0.6021	SPEC	3	aad	3	.SPEC.	.3.	.3.	1922651	94576	7190	NA	NA	NA	NA	NA	NA
aaf	17	1	NA	NA	NA	1	1	1	0.0229	0.301	0.0124	0.301	SPEC	1	aaf	1	.SPEC.	.1.	.1.	1805100	77228	9294	NA	NA	NA	NA	NA	NA
aagst	1	1.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2317538	168314	22095	NA	NA	NA	NA	NA	NA
aaide	2	1.4	173	92	446	11	11	142	0.2515	1.0792	0.1363	1.0792	WW	11	aaien	142	.WW.	.11.	.142.	2754306	211373	35423	10	5	2	monomorphemic	singular past	Verb
aaien	0	1.25	131	63	473	92	75	143	2.1038	1.9685	0.9294	1.8808	WW	91	aaien	142	.WW.SPEC.	.91.1.	.142.1.	2875429	317860	80846	10	5	2	monomorphemic	infinitive.plural.plural present	Noun.Verb
aak	24	1	23	18	41	5	3	7	0.1143	0.7782	0.0372	0.6021	N	5	aak	7	.N.	.5.	.7.	1862809	75056	8116	1	3	1	monomorphemic	singular	Noun
aakbeest	1	2.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3569839	242935	26742	NA	NA	NA	NA	NA	NA
aakje	10	1.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2510668	146898	12079	NA	NA	NA	NA	NA	NA
aaks	7	1.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2064618	105373	7698	NA	NA	NA	NA	NA	NA
aakst	4	1.55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2295191	163073	18899	NA	NA	NA	NA	NA	NA
aakwes	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2709560	144067	17685	NA	NA	NA	NA	NA	NA
aal	20	1	65	37	75	35	29	49	0.8004	1.5563	0.3594	1.4771	N	32	aal	46	.N.VZ.	.32.3.	.46.3.	1919234	83336	10710	1	3	1	monomorphemic	singular	Noun
aalbes	0	2	0	0	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2789865	156843	21631	10	6	2	complex	singular	Noun
aalde	9	1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2686851	225073	41519	NA	NA	NA	NA	NA	NA
aalden	9	1.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2969765	379381	105606	NA	NA	NA	NA	NA	NA
aalder	2	1.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2952520	304356	49179	NA	NA	NA	NA	NA	NA
aalgees	1	2.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3456991	230201	22975	NA	NA	NA	NA	NA	NA
aalmoes	1	2.55	51	34	91	42	31	67	0.9605	1.6335	0.3841	1.5051	N	35	aalmoes	60	.N.SPEC.	.35.7.	.60.7.	3006896	166581	21718	10	7	2	undetermined	singular	Noun
aaltje	1	1.5	4	3	75	2	2	2	0.0457	0.4771	0.0248	0.4771	SPEC	2	aaltje	2	.SPEC.	.2.	.2.	2797666	164164	20551	10	6	2	lexicalised.monomorphemic	singular diminutive	Noun
aaltjes	2	1.4	0	0	75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2999475	156459	30565	10	7	2	lexicalised.monomorphemic	diminutive plural	Noun
aam	22	1	10	8	12	1	1	1	0.0229	0.301	0.0124	0.301	ADJ	1	aam	1	.ADJ.	.1.	.1.	1836979	71881	6826	1	3	1	monomorphemic	singular	Noun
aambeeld	1	2.8	58	37	58	22	17	24	0.5031	1.3617	0.2107	1.2553	N	21	aambeeld	23	.N.WW.	.21.1.	.23.1.	3431792	218551	22191	10	8	2	undetermined	singular	Noun
aan	20	1	268271	835	268271	167857	8050	167857	3838.5369	5.2249	99.7522	3.9058	VZ	167855	aan	167855	.VZ.SPEC.	.167855.2.	.167855.2.	2043774	169782	17631	1	3	1	monomorphemic	headword.positive	Adjective.Preposition
aanblik	0	1.9	647	227	649	96	85	96	2.1953	1.9868	1.0533	1.9345	N	96	aanblik	96	.N.	.96.	.96.	2592922	141520	17705	10	7	2	complex	singular.singular 1p present	Noun.Verb
aanbod	2	1.8	1482	313	1482	1174	881	1174	26.8469	3.07	10.917	2.9455	N	1174	aanbod	1174	.N.	.1174.	.1174.	2472469	139596	16415	10	6	2	undetermined	singular	Noun
aanbok	5	1.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2412627	117343	16343	NA	NA	NA	NA	NA	NA
aanbol	4	1.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2469052	125983	16965	NA	NA	NA	NA	NA	NA
aanbouw	0	1.95	83	59	119	32	27	32	0.7318	1.5185	0.3346	1.4472	N	31	aanbouw	31	.N.VNW.	.31.1.	.31.1.	2432143	119589	20138	10	7	2	complex.undetermined	singular.singular 1p present	Noun.Verb
aand	10	1.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2205565	170994	37146	NA	NA	NA	NA	NA	NA
aandacht	1	1.95	8446	711	8446	2479	1853	2479	56.6895	3.3945	22.9616	3.2681	N	2478	aandacht	2478	.N.WW.	.2478.1.	.2478.1.	2804435	246466	49423	10	8	2	undetermined	singular	Noun
aandeel	3	1.85	1106	252	1632	435	307	1109	9.9475	2.6395	3.8042	2.4886	N	428	aandeel	1102	.N.ADJ.SPEC.	.428.6.1.	.1102.6.1.	3575591	310223	57130	10	7	2	complex	singular	Noun
aandge	1	1.95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2935687	269182	27137	NA	NA	NA	NA	NA	NA
aandoen	2	1.8	434	239	1258	1520	1262	3672	34.7592	3.1821	15.6382	3.1014	WW	1519	aandoen	3671	.WW.N.	.1519.1.	.3671.1.	3298213	396473	96130	10	7	2	complex	infinitive.plural present	Verb
aandrang	3	2.1	378	182	378	29	26	29	0.6632	1.4771	0.3222	1.4314	N	29	aandrang	29	.N.	.29.	.29.	3109217	252369	41420	10	8	2	undetermined	singular	Noun
aandrift	0	2	68	34	68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2971876	217887	27621	10	8	2	complex	singular	Noun
aaneen	3	1.8	140	85	140	9	9	9	0.2058	1	0.1115	1	BW	9	aaneen	9	.BW.	.9.	.9.	3538340	369508	94130	1	6	2	undetermined	headword	Adverb
aangaan	4	1.75	372	194	1176	254	235	606	5.8084	2.4065	2.912	2.3729	WW	254	aangaan	606	.WW.	.254.	.606.	2912530	276061	32744	10	7	2	complex	infinitive.plural present	Verb
aangiep	5	1.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3085229	175089	22008	NA	NA	NA	NA	NA	NA
aanhang	3	1.8	369	120	629	34	33	34	0.7775	1.5441	0.4089	1.5315	N	34	aanhang	34	.N.	.34.	.34.	2752936	185062	29584	10	7	2	complex.undetermined	singular.singular 1p present	Noun.Verb
aanhef	2	1.8	130	84	207	3	3	3	0.0686	0.6021	0.0372	0.6021	N	3	aanhef	3	.N.	.3.	.3.	2765019	123513	16714	10	6	2	complex.undetermined	singular.singular 1p present	Noun.Verb
aankeen	2	1.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3640289	385074	94361	NA	NA	NA	NA	NA	NA
aankeerd	0	2.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3784835	337026	54660	NA	NA	NA	NA	NA	NA
aanklacht	0	2.25	306	124	347	969	634	1178	22.159	2.9868	7.8563	2.8028	N	966	aanklacht	1175	.N.ADJ.SPEC.	.966.2.1.	.1175.2.1.	2902967	228116	45751	10	9	2	undetermined	singular	Noun
aankomst	1	2.1	674	234	674	324	281	335	7.4092	2.5119	3.482	2.4502	N	322	aankomst	332	.N.WW.SPEC.	.322.1.1.	.332.2.1.	2858132	214728	29474	10	8	2	complex	singular	Noun
aankoop	4	1.7	380	155	626	113	99	140	2.5841	2.0569	1.2268	2	N	107	aankoop	134	.N.SPEC.	.107.6.	.134.6.	2639043	154889	23003	10	7	2	complex	singular.singular 1p present	Noun.Verb
aankrast	2	1.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3074547	231638	32923	NA	NA	NA	NA	NA	NA
aankruig	2	2.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2843866	173050	26066	NA	NA	NA	NA	NA	NA
aanleg	3	1.75	1050	310	1815	126	115	126	2.8814	2.1038	1.425	2.0645	N	126	aanleg	126	.N.	.126.	.126.	2932270	154494	18098	10	6	2	complex.undetermined	singular.singular 1p present	Noun.Verb
aanloop	3	1.7	205	129	673	45	44	139	1.0291	1.6628	0.5452	1.6532	N	43	aanloop	46	.N.WW.	.43.2.	.46.93.	2695468	155881	22619	10	7	2	complex	singular.singular 1p present	Noun.Verb
aanmaak	3	1.8	48	26	203	8	7	8	0.1829	0.9542	0.0867	0.9031	N	8	aanmaak	8	.N.	.8.	.8.	2683388	160002	20707	10	7	2	complex.undetermined	singular.singular 1p present	Noun.Verb
aannicht	3	2.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2920614	204204	37874	NA	NA	NA	NA	NA	NA
aannorst	2	2.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3228647	239837	31911	NA	NA	NA	NA	NA	NA
aanpak	6	1.6	949	254	1780	361	310	361	8.2553	2.5587	3.8414	2.4928	N	361	aanpak	361	.N.	.361.	.361.	2462000	119885	16769	10	6	2	complex.undetermined	singular.singular 1p present	Noun.Verb
aanpijk	3	1.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2499089	142754	24307	NA	NA	NA	NA	NA	NA
aanplant	1	1.95	76	30	218	4	3	4	0.0915	0.699	0.0372	0.6021	N	4	aanplant	4	.N.	.4.	.4.	3031912	211630	29667	10	8	2	complex.undetermined	singular.singular 1p present.singular 2p present.singular 3p present	Noun.Verb
aanplok	1	1.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2593509	128282	17497	NA	NA	NA	NA	NA	NA
aanpunst	0	2.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2926923	207017	30016	NA	NA	NA	NA	NA	NA
aanrecht	3	1.85	227	106	230	72	61	72	1.6465	1.8633	0.7559	1.7924	N	71	aanrecht	71	.N.SPEC.	.71.1.	.71.1.	3283366	235327	37437	10	8	2	complex.undetermined	singular.singular 1p present.singular 2p present.singular 3p present	Noun.Verb
aanrof	1	1.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2557591	126942	15845	NA	NA	NA	NA	NA	NA
aanrus	2	1.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2593601	140915	16356	NA	NA	NA	NA	NA	NA
aans	13	1.25	NA	NA	NA	2	2	2	0.0457	0.4771	0.0248	0.4771	ADJ	1	aans	1	.ADJ.SPEC.	.1.1.	.1.1.	2245583	141098	19905	NA	NA	NA	NA	NA	NA
aanschaf	0	2.45	254	96	612	16	16	17	0.3659	1.2304	0.1983	1.2304	N	15	aanschaf	16	.N.SPEC.	.15.1.	.16.1.	2658120	201341	47137	10	8	2	complex.undetermined	singular.singular 1p present	Noun.Verb
aanschijk	1	2.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2752918	217233	51626	NA	NA	NA	NA	NA	NA
aanschijn	0	2.35	54	42	69	17	16	20	0.3888	1.2553	0.1983	1.2304	N	17	aanschijn	20	.N.	.17.	.20.	2933883	282787	46936	10	9	2	undetermined	singular	Noun
aanschijns	0	2.95	15	15	69	3	3	20	0.0686	0.6021	0.0372	0.6021	N	3	aanschijn	20	.N.	.3.	.20.	3135692	254103	49218	10	10	2	undetermined	singular genitive	Noun
aanschuw	0	2.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2504572	180953	41871	NA	NA	NA	NA	NA	NA
aanslaan	2	1.85	98	77	324	54	49	153	1.2349	1.7404	0.6072	1.699	WW	54	aanslaan	153	.WW.	.54.	.153.	3148417	286081	36725	10	8	2	complex	infinitive.plural present	Verb
aanslag	1	1.85	814	213	963	746	367	890	17.0595	2.8733	4.5477	2.5658	N	746	aanslag	890	.N.	.746.	.890.	2759026	160435	22928	10	7	2	undetermined	singular	Noun
aanspraak	1	2.55	482	224	702	78	68	90	1.7837	1.8976	0.8426	1.8388	N	78	aanspraak	90	.N.	.78.	.90.	3160251	208244	30498	10	9	2	complex	singular	Noun
aanstaam	3	2.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3013821	229111	31781	NA	NA	NA	NA	NA	NA
aanstonds	0	2.85	173	70	173	15	11	15	0.343	1.2041	0.1363	1.0792	ADJ	15	aanstonds	15	.ADJ.	.15.	.15.	3326578	298139	38093	10	9	2	undetermined	headword	Adverb
aanstoot	6	1.6	151	99	192	39	34	44	0.8918	1.6021	0.4213	1.5441	N	32	aanstoot	32	.N.WW.	.32.7.	.32.12.	3114545	247830	30802	10	8	2	complex	singular.singular 1p present.singular 2p present.singular 3p present	Noun.Verb
aantal	3	1.85	15447	733	16009	2249	1585	2329	51.4299	3.3522	19.6406	3.2003	N	2248	aantal	2328	.N.SPEC.	.2248.1.	.2328.1.	2663494	151552	24311	10	6	2	complex	singular	Noun
aantocht	3	2	131	86	131	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2846352	218243	39110	10	8	2	undetermined	singular	Noun
aanvaard	1	1.9	1287	361	4048	520	418	1121	11.8913	2.7168	5.1797	2.6222	WW	519	aanvaarden	1120	.WW.SPEC.	.519.1.	.1120.1.	2995148	214686	34832	1	8	2	undetermined	participle past.singular 1p present.singular 2p present inversed	Verb
aanvaardt	1	2.15	394	180	4048	117	106	1120	2.6755	2.0719	1.3135	2.0294	WW	117	aanvaarden	1120	.WW.	.117.	.1120.	3225721	221293	31709	1	9	2	undetermined	singular 2p present.singular 3p present	Verb
aanval	3	1.8	1496	362	2799	2081	1138	2408	47.5881	3.3185	14.1016	3.0565	N	2077	aanval	2404	.N.SPEC.BW.	.2077.3.1.	.2404.3.1.	2495289	127483	18625	10	6	2	complex.undetermined	singular.singular 1p present	Noun.Verb
aanvang	3	1.8	531	213	836	27	24	27	0.6174	1.4472	0.2974	1.3979	N	27	aanvang	27	.N.	.27.	.27.	2744125	180342	28346	10	7	2	complex.undetermined	singular.singular 1p present	Noun.Verb
aanveeldt	0	2.55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3868532	262155	29270	NA	NA	NA	NA	NA	NA
aanvoer	4	1.75	157	80	982	19	19	175	0.4345	1.301	0.2354	1.301	N	18	aanvoer	18	.N.WW.	.18.1.	.18.157.	3181545	277523	39757	10	7	2	complex.undetermined	singular.singular 1p present.singular past	Noun.Verb
aanvraag	1	1.9	247	86	605	221	177	254	5.0538	2.3464	2.1933	2.2504	N	221	aanvraag	254	.N.	.221.	.254.	2957653	183576	23744	10	8	2	complex	singular.singular 1p present	Noun.Verb
aanwas	2	1.85	47	24	55	2	2	2	0.0457	0.4771	0.0248	0.4771	N	2	aanwas	2	.N.	.2.	.2.	2515472	147179	16681	10	6	2	complex.undetermined	singular.singular 1p present	Noun.Verb
aanweer	4	1.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3560211	291254	53125	NA	NA	NA	NA	NA	NA
aanwid	3	1.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2470510	141628	19078	NA	NA	NA	NA	NA	NA
aanwinst	1	2	91	62	112	130	120	138	2.9728	2.1173	1.487	2.0828	N	129	aanwinst	137	.N.SPEC.	.129.1.	.137.1.	3024015	250037	32987	10	8	2	complex	singular	Noun
aanzet	6	1.55	355	208	1116	82	79	690	1.8752	1.9191	0.9789	1.9031	N	60	aanzet	67	.N.WW.	.60.22.	.67.623.	2909153	158532	18349	10	6	2	complex	singular.singular 1p present.singular 2p present.singular 3p present	Noun.Verb
aanzien	3	1.7	4715	549	5059	344	319	441	7.8666	2.5378	3.9529	2.5051	N	230	aanzien	243	.N.WW.	.230.114.	.243.198.	3187323	357059	90621	10	7	2	complex.lexicalised	infinitive.plural present.singular	Noun.Verb
aanziens	1	2.35	4	4	2361	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3389132	328375	30024	10	8	2	lexicalised	singular genitive	Noun
aap	22	1	490	180	855	1249	580	2111	28.562	3.0969	7.1871	2.7642	N	1204	aap	2056	.N.SPEC.WW.	.1204.44.1.	.2056.44.11.	1846364	69721	6332	1	3	1	monomorphemic	singular	Noun
aapje	7	1.5	77	46	118	190	110	2056	4.3449	2.281	1.3631	2.0453	N	190	aap	2056	.N.	.190.	.2056.	2494223	143985	10403	10	5	2	lexicalised	singular diminutive	Noun
aapjes	6	1.6	41	22	118	40	30	2056	0.9147	1.6128	0.3717	1.4914	N	40	aap	2056	.N.	.40.	.2056.	2696032	136280	20417	10	6	2	lexicalised	diminutive plural	Noun
aar	19	1	7	59	96	18	15	194296	0.4116	1.2788	0.1859	1.2041	VZ	15	naar	194293	.VZ.SPEC.ADJ.	.15.2.1.	.194293.2.1.	2026529	106630	16700	1	3	1	monomorphemic	singular.singular 1p present.singular 2p present inversed	Noun.Verb
aarbracht	1	2.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2954064	216515	45020	NA	NA	NA	NA	NA	NA
aarbrang	0	2.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2993177	195657	33282	NA	NA	NA	NA	NA	NA
aard	7	1.15	5620	618	5697	670	541	686	15.3215	2.8267	6.7038	2.734	N	669	aard	672	.N.WW.	.669.1.	.672.14.	2188320	133607	23283	1	4	1	monomorphemic	singular.singular 1p present.singular 2p present inversed	Noun.Verb
aardbei	0	2.3	18	16	202	68	44	286	1.555	1.8388	0.5452	1.6532	N	68	aardbei	286	.N.	.68.	.286.	3082971	143523	20928	10	7	2	undetermined	singular	Noun
aardbol	1	2.2	141	91	141	51	47	51	1.1663	1.716	0.5824	1.6812	N	51	aardbol	51	.N.	.51.	.51.	2613598	135681	21267	10	7	2	complex	singular	Noun
aarde	13	1	6492	504	6499	4376	2074	4379	100.0699	3.6412	25.7001	3.317	N	3763	aarde	3766	.N.SPEC.WW.	.3763.611.2.	.3766.611.2.	2794146	243731	57678	10	5	2	monomorphemic	singular.singular past	Noun.Verb
aarden	13	1	148	90	6677	12	12	17	0.2744	1.1139	0.1487	1.1139	WW	9	aarden	14	.WW.ADJ.	.9.3.	.14.3.	3077060	398039	121765	10	6	2	complex.monomorphemic	infinitive.plural.plural past.plural present.positive	Adjective.Noun.Verb
aardgas	1	2.4	65	30	65	9	8	9	0.2058	1	0.0991	0.9542	N	9	aardgas	9	.N.	.9.	.9.	2745198	154489	21071	10	7	2	complex	singular	Noun
aardgoo	0	2.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2720432	136229	20146	NA	NA	NA	NA	NA	NA
aardig	0	1.75	3029	437	4377	8394	3942	10397	191.9531	3.924	48.8476	3.5958	ADJ	8388	aardig	10389	.ADJ.WW.N.	.8388.4.2.	.10389.4.4.	2538445	153580	27933	10	6	2	undetermined	positive	Adjective
aardje	2	1.7	2	2	5622	3	3	672	0.0686	0.6021	0.0372	0.6021	N	3	aard	672	.N.	.3.	.672.	2836179	183626	24181	10	6	2	monomorphemic	singular diminutive	Noun
aardkil	0	2.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2674472	126937	20193	NA	NA	NA	NA	NA	NA
aardkorst	0	2.9	77	36	77	18	13	18	0.4116	1.2788	0.1611	1.1461	N	17	aardkorst	17	.N.SPEC.	.17.1.	.17.1.	3192228	249939	36241	10	9	2	complex	singular	Noun
aardraan	2	2.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3198449	285501	40247	NA	NA	NA	NA	NA	NA
aards	3	1.6	180	86	1156	50	33	246	1.1434	1.7076	0.4089	1.5315	ADJ	50	aards	246	.ADJ.	.50.	.246.	2390129	145080	20645	1	5	1	complex	positive	Adjective
aardse	3	1.65	969	185	1156	197	151	250	4.505	2.2967	1.8711	2.1818	ADJ	195	aards	246	.ADJ.SPEC.N.	.195.1.1.	.246.1.3.	2995955	196996	21852	10	6	2	complex	positive suffix-e	Adjective
aardsomst	0	3.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3102538	221786	31415	NA	NA	NA	NA	NA	NA
aargrift	0	2.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2917136	163080	19054	NA	NA	NA	NA	NA	NA
aarhoop	2	2.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2591028	142892	23575	NA	NA	NA	NA	NA	NA
aarjang	0	2.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2706545	163175	27468	NA	NA	NA	NA	NA	NA
aarlang	2	1.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2822886	185864	32061	NA	NA	NA	NA	NA	NA
aarnert	0	2.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3411511	275139	28755	NA	NA	NA	NA	NA	NA
aarplag	0	2.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2625476	137095	21439	NA	NA	NA	NA	NA	NA
aarriens	0	2.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3608576	341846	32635	NA	NA	NA	NA	NA	NA
aars	9	1.1	59	31	59	36	23	37	0.8232	1.5682	0.285	1.3802	N	34	aars	35	.N.SPEC.	.34.2.	.35.2.	2228338	135804	26502	1	4	1	monomorphemic	singular	Noun
aarschaans	0	3.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3312131	296849	60532	NA	NA	NA	NA	NA	NA
aarschein	0	2.95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3480431	317238	54566	NA	NA	NA	NA	NA	NA
aarsien	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3342907	365629	92623	NA	NA	NA	NA	NA	NA
aarst	3	1.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2458911	193504	30807	NA	NA	NA	NA	NA	NA
aarstands	0	2.95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3336198	297471	40226	NA	NA	NA	NA	NA	NA
aartjes	6	1.2	3	3	94	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3106770	172963	40126	10	7	2	monomorphemic	diminutive plural	Noun
aartol	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2619384	131125	20553	NA	NA	NA	NA	NA	NA
aarwel	1	1.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2829845	159923	23094	NA	NA	NA	NA	NA	NA
aarwouw	0	2.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2391018	102099	18966	NA	NA	NA	NA	NA	NA
aarzel	1	1.9	106	68	3259	106	99	383	2.424	2.0294	1.2268	2	WW	106	aarzelen	383	.WW.	.106.	.383.	2819709	156790	23237	10	6	2	monomorphemic	singular 1p present.singular 2p present inversed	Verb
aarzelt	0	1.95	234	102	3259	52	50	383	1.1891	1.7243	0.6196	1.7076	WW	52	aarzelen	383	.WW.	.52.	.383.	3050282	187613	22080	10	7	2	monomorphemic	singular 2p present.singular 3p present	Verb
aarzen	2	1.75	0	0	59	1	1	35	0.0229	0.301	0.0124	0.301	N	1	aars	35	.N.	.1.	.35.	2944249	317767	89429	10	6	2	monomorphemic	plural	Noun
aas	22	1	246	60	370	396	258	419	9.0557	2.5988	3.197	2.4133	N	396	aas	419	.N.	.396.	.419.	1962669	101122	6786	1	3	1	monomorphemic	singular.singular 1p present.singular 2p present inversed	Noun.Verb
aat	28	1	NA	NA	NA	3	3	5	0.0686	0.6021	0.0372	0.6021	SPEC	2	aat	2	.SPEC.N.	.2.1.	.2.3.	1991433	110289	10497	NA	NA	NA	NA	NA	NA
aatslas	0	2.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2784198	158981	15863	NA	NA	NA	NA	NA	NA
ab	11	1	95	52	95	57	37	67	1.3035	1.7634	0.4585	1.5798	SPEC	40	ab	40	.SPEC.N.	.40.17.	.40.27.	1593083	24187	412	NA	NA	NA	NA	NA	NA
abant	3	1.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2337343	122418	9352	NA	NA	NA	NA	NA	NA
abbes	1	1.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2463714	107255	15215	NA	NA	NA	NA	NA	NA
abces	2	1.85	71	10	94	11	10	15	0.2515	1.0792	0.1239	1.0414	N	11	abces	15	.N.	.11.	.15.	2467063	88078	10799	1	5	2	undetermined	singular	Noun
abdent	1	1.95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2874187	294889	29088	NA	NA	NA	NA	NA	NA
