participant_id,age,Gender (F/M),education,handedness,response,rt,Acceptability judgment (Correct/Neither/Wrong).1,Reaction time in ms.1,Acceptability judgment (Correct/Neither/Wrong).2,Reaction time in ms.2,Acceptability judgment (Correct/Neither/Wrong).3,Reaction time in ms.3,Acceptability judgment (Correct/Neither/Wrong).4,Reaction time in ms.4,Acceptability judgment (Correct/Neither/Wrong).5,Reaction time in ms.5,Acceptability judgment (Correct/Neither/Wrong).6,Reaction time in ms.6,Acceptability judgment (Correct/Neither/Wrong).7,Reaction time in ms.7,Acceptability judgment (Correct/Neither/Wrong).8,Reaction time in ms.8,Acceptability judgment (Correct/Neither/Wrong).9,Reaction time in ms.9,Acceptability judgment (Correct/Neither/Wrong).10,Reaction time in ms.10,Acceptability judgment (Correct/Neither/Wrong).11,Reaction time in ms.11,Acceptability judgment (Correct/Neither/Wrong).12,Reaction time in ms.12,Acceptability judgment (Correct/Neither/Wrong).13,Reaction time in ms.13,Acceptability judgment (Correct/Neither/Wrong).14,Reaction time in ms.14,Acceptability judgment (Correct/Neither/Wrong).15,Reaction time in ms.15,Acceptability judgment (Correct/Neither/Wrong).16,Reaction time in ms.16,Acceptability judgment (Correct/Neither/Wrong).17,Reaction time in ms.17,Acceptability judgment (Correct/Neither/Wrong).18,Reaction time in ms.18,Acceptability judgment (Correct/Neither/Wrong).19,Reaction time in ms.19,Acceptability judgment (Correct/Neither/Wrong).20,Reaction time in ms.20,Acceptability judgment (Correct/Neither/Wrong).21,Reaction time in ms.21,Acceptability judgment (Correct/Neither/Wrong).22,Reaction time in ms.22,Acceptability judgment (Correct/Neither/Wrong).23,Reaction time in ms.23,Acceptability judgment (Correct/Neither/Wrong).24,Reaction time in ms.24,Acceptability judgment (Correct/Neither/Wrong).25,Reaction time in ms.25,Acceptability judgment (Correct/Neither/Wrong).26,Reaction time in ms.26,Acceptability judgment (Correct/Neither/Wrong).27,Reaction time in ms.27,Acceptability judgment (Correct/Neither/Wrong).28,Reaction time in ms.28,Acceptability judgment (Correct/Neither/Wrong).29,Reaction time in ms.29
1ec68c1e1cd6c5b4120002abfa565584,37,M,Secondary,R,Neither,6144,Neither,3176,Neither,3560,Neither,3083,Neither,2136,Neither,5371,Neither,3855,Neither,5081,Neither,3512,Neither,3153,Correct,5800,Correct,3728,Correct,2467,Correct,2939,Correct,4042,Wrong,7973,Wrong,10396,Wrong,6272,Correct,3251,Wrong,7943,Wrong,2962,Wrong,4055,Correct,6663,Correct,20324,Neither,17412,Wrong,5386,Wrong,9380,Wrong,4372,Wrong,15806,Wrong,7830
1e0279df7f5ba62c0be05d8ebaf6505b,61,F,Tertiary,R,Wrong,2902,Wrong,8055,Wrong,1972,Wrong,2662,Wrong,6899,Correct,4459,Wrong,2589,Wrong,2251,Wrong,2798,Wrong,7525,Correct,6435,Correct,6227,Correct,4246,Correct,2836,Correct,15616,Wrong,2502,Wrong,2644,Wrong,6858,Wrong,29941,Wrong,3077,Wrong,2587,Wrong,6085,Wrong,3261,Wrong,4891,Wrong,5042,Wrong,2682,Wrong,5637,Wrong,3796,Wrong,3906,Wrong,3165
8281fb6e51182db0eee5f881fe39e12e,24,M,Tertiary,R,Correct,1429,Correct,2001,Correct,1188,Correct,2385,Correct,1936,Correct,1595,Correct,2193,Correct,2021,Correct,3347,Correct,2500,Correct,2053,Correct,4558,Correct,2431,Correct,1772,Correct,2008,Wrong,4319,Wrong,5521,Wrong,2682,Wrong,2936,Correct,5483,Wrong,4906,Wrong,2085,Wrong,5030,Neither,8402,Wrong,3350,Wrong,4925,Wrong,6816,Neither,9074,Wrong,3867,Neither,7458
f1d1bbafe333d972f1d1e60131839dbd,69,F,Tertiary,R,Correct,6730,Neither,12176,Neither,5154,Neither,7186,Neither,6213,Neither,5134,Correct,6697,Neither,9723,Neither,3880,Neither,6669,Correct,5358,Correct,6290,Correct,2847,Neither,8528,Neither,7211,Wrong,3443,Wrong,8449,Wrong,4886,Correct,5300,Correct,4410,Wrong,4827,Wrong,4339,Wrong,3656,Wrong,4546,Wrong,3972,Wrong,12558,Wrong,3803,Wrong,2712,Wrong,3759,Wrong,4075
5e108b13cb5f473c783abd767734cdd2,35,M,Tertiary,R,Neither,3825,Correct,2109,Neither,4449,Neither,1834,Neither,2344,Correct,2233,Neither,1641,Neither,2187,Neither,1914,Neither,4414,Neither,2189,Neither,2578,Correct,2701,Neither,6437,Neither,5074,Wrong,2772,Wrong,2071,Wrong,3284,Wrong,3006,Wrong,2148,Wrong,4489,Wrong,2460,Wrong,1719,Wrong,4021,Wrong,9245,Wrong,1875,Wrong,2655,Wrong,3553,Wrong,4020,Wrong,2227
988263dfb3e08cb0bef2f10688bac91b,41,F,Tertiary,L,Neither,3549,Neither,3829,Neither,12243,Neither,3504,Neither,4160,Correct,4620,Neither,7404,Neither,8598,Neither,4877,Neither,5314,Correct,2472,Correct,3451,Correct,2557,Correct,2767,Correct,3304,Wrong,4033,Wrong,3041,Neither,8847,Wrong,3849,Wrong,2731,Wrong,2952,Wrong,3392,Wrong,3630,Wrong,2054,Wrong,5524,Wrong,2819,Wrong,9755,Wrong,4390,Wrong,3875,Wrong,2950
6e7418db303dd9e31953c5d00b26a0b4,29,F,Tertiary,R,Correct,3480,Correct,2262,Correct,3329,Correct,4294,Correct,7959,Correct,3667,Correct,3746,Neither,4311,Neither,5278,Correct,2806,Correct,4132,Correct,3390,Correct,4815,Correct,3374,Correct,4211,Wrong,2617,Wrong,4297,Wrong,4902,Wrong,6534,Wrong,4789,Correct,4052,Wrong,3047,Wrong,4191,Wrong,5437,Wrong,5474,Wrong,2657,Wrong,4381,Neither,6136,Wrong,4911,Wrong,4098
581d52468e76ad9802f39f2aaf1a80af,50,M,Secondary,R,Wrong,1364,Wrong,4454,Neither,3474,Wrong,3705,Wrong,1374,Neither,6823,Wrong,2614,Wrong,4309,Wrong,1574,Wrong,5034,Correct,2119,Correct,4029,Correct,1895,Correct,2985,Correct,4346,Wrong,2424,Wrong,3112,Wrong,3611,Wrong,6322,Wrong,3777,Wrong,2914,Wrong,3313,Wrong,2379,Wrong,2279,Wrong,2014,Wrong,5326,Wrong,2011,Wrong,2152,Wrong,2436,Wrong,3733
7a7cbc7c35210c75fa8fb9e09e8a24d9,26,M,Tertiary,R,Correct,3113,Correct,5537,Correct,2872,Wrong,3176,Wrong,7011,Correct,3721,Wrong,5257,Correct,2673,Wrong,3816,Wrong,5562,Correct,8602,Correct,6536,Neither,6065,Correct,4794,Correct,5761,Wrong,7023,Wrong,3137,Wrong,6360,Wrong,7442,Wrong,7554,Wrong,4825,Wrong,5834,Wrong,7274,Correct,7842,Correct,7738,Wrong,4673,Wrong,4817,Wrong,3145,Wrong,5881,Wrong,8251
9ad98d7a34a4ba3652efd5cf754c1b41,24,F,Tertiary,R,Correct,1662,Correct,4575,Correct,4047,Correct,2098,Correct,2928,Correct,1764,Correct,1863,Correct,1759,Correct,2268,Correct,2905,Correct,2077,Correct,1602,Correct,7156,Correct,7648,Correct,6481,Correct,2646,Wrong,7105,Wrong,5329,Wrong,4435,Neither,17780,Neither,4462,Wrong,3649,Wrong,6654,Wrong,9247,Neither,16344,Neither,10067,Neither,7440,Wrong,4272,Wrong,3996,Wrong,3269
9169729d7cfa2c5570b2d84deee8124b,42,F,Tertiary,R,Correct,2193,Correct,2086,Correct,3786,Correct,1760,Correct,1400,Correct,1591,Correct,2024,Correct,2124,Correct,1478,Correct,1383,Correct,1376,Correct,1792,Correct,2025,Wrong,2559,Correct,2530,Wrong,5440,Wrong,2307,Wrong,4809,Correct,2290,Wrong,2800,Wrong,2663,Correct,4714,Wrong,2881,Wrong,3757,Wrong,4185,Wrong,2202,Wrong,5362,Wrong,2528,Wrong,5377,Wrong,3702
021a49cde484f8fa18439f026ec99459,26,F,Tertiary,R,Neither,4487,Wrong,4068,Wrong,2947,Wrong,4965,Neither,1844,Neither,3885,Neither,4173,Neither,2754,Wrong,3445,Wrong,3301,Correct,3621,Correct,5267,Correct,4101,Correct,2466,Correct,2375,Correct,4245,Wrong,4051,Wrong,4276,Wrong,6120,Wrong,3237,Wrong,2887,Wrong,2694,Correct,2950,Neither,2306,Neither,5601,Wrong,4321,Correct,5831,Wrong,4630,Wrong,2739,Wrong,2503
7e1540e35eb2635a00e562354c2849a4,36,F,Tertiary,R,Correct,1680,Correct,1737,Correct,3137,Correct,1835,Correct,3411,Correct,1689,Correct,2060,Correct,1923,Correct,2389,Correct,2198,Correct,1658,Correct,4200,Correct,3489,Correct,2320,Correct,1806,Wrong,2381,Wrong,10090,Wrong,2529,Wrong,4089,Wrong,3544,Wrong,2275,Wrong,2622,Wrong,3053,Wrong,2583,Wrong,4342,Wrong,2386,Wrong,3267,Wrong,2987,Wrong,7283,Wrong,2281
10849c3bf6324bddb1c07b33c40f6354,30,M,Tertiary,R,Correct,1737,Correct,2195,Correct,2341,Wrong,4365,Correct,1850,Correct,2439,Correct,2505,Correct,2961,Correct,3208,Correct,2431,Correct,1933,Correct,2641,Correct,1784,Correct,2404,Correct,2391,Wrong,2074,Wrong,1918,Wrong,2871,Wrong,3977,Wrong,2555,Wrong,2066,Wrong,3384,Correct,3185,Wrong,4078,Wrong,2519,Wrong,2870,Wrong,2200,Wrong,2061,Wrong,2679,Wrong,2766
fa6e20cebcde03cce37df74fdc01e908,34,M,Tertiary,R,Correct,2300,Correct,5676,Correct,8482,Correct,3058,Wrong,8036,Correct,5346,Correct,2283,Correct,4222,Correct,3423,Wrong,5665,Correct,4421,Correct,2636,Correct,2392,Correct,5544,Correct,5685,Wrong,4997,Wrong,2860,Wrong,3091,Correct,2751,Wrong,4438,Wrong,4997,Wrong,3653,Wrong,2978,Wrong,2646,Wrong,5902,Wrong,2532,Wrong,3976,Wrong,2755,Wrong,4106,Wrong,3402
7d032f844f1c45ceed867ace66e7cc97,53,M,Tertiary,R,Wrong,2804,Wrong,3247,Wrong,2843,Wrong,3341,Wrong,3295,Wrong,13806,Wrong,7182,Wrong,4021,Wrong,5267,Wrong,3255,Correct,5786,Correct,2920,Correct,4150,Correct,2738,Correct,4598,Wrong,3502,Wrong,6982,Wrong,5809,Correct,13386,Correct,4398,Wrong,2950,Wrong,2717,Wrong,6019,Wrong,4460,Wrong,3508,Wrong,5918,Wrong,5565,Wrong,4438,Wrong,4317,Wrong,2935
9143f94afe5c0a117a4a629402f24d91,21,F,Secondary,L,Neither,3245,Neither,3847,Neither,2606,Correct,5516,Wrong,5599,Neither,3385,Neither,5531,Neither,3097,Neither,2454,Neither,2888,Correct,2254,Correct,3034,Correct,6500,Correct,3344,Correct,4059,Wrong,3628,Wrong,3971,Neither,9277,Correct,6457,Neither,5792,Wrong,5868,Wrong,7323,Correct,9822,Wrong,8426,Wrong,3709,Wrong,4780,Correct,11131,Wrong,6364,Wrong,7687,Wrong,9698
9f4e0b36deb76c14da0cc1f1f981dc34,43,F,Tertiary,R,Neither,23188,Neither,3302,Neither,2753,Neither,2553,Neither,2598,Correct,2772,Neither,2226,Wrong,5147,Neither,2981,Neither,3893,Correct,3035,Correct,3786,Correct,2415,Correct,2231,Correct,2827,Correct,4931,Correct,2452,Wrong,5100,Wrong,10179,Correct,3354,Wrong,3422,Correct,4314,Correct,4204,Wrong,8466,Neither,9452,Wrong,11748,Wrong,10708,Wrong,10504,Wrong,8537,Wrong,4701
a4962c5e668c30ab2e0b25a1a1f69eb5,24,M,Tertiary,R,Correct,2019,Correct,1753,Correct,2713,Correct,2373,Correct,2743,Correct,1613,Correct,1912,Correct,1757,Correct,2004,Correct,2356,Correct,2261,Correct,3031,Correct,2403,Correct,3595,Correct,3042,Wrong,1843,Wrong,2459,Wrong,5238,Correct,2550,Wrong,2270,Wrong,1742,Correct,4632,Correct,3134,Wrong,4003,Wrong,2035,Wrong,2350,Wrong,4113,Wrong,1811,Wrong,2969,Wrong,3105
acea9e154b49d6848ca69104fab50468,57,M,Tertiary,R,Neither,9636,Neither,7017,Neither,4916,Neither,2180,Correct,2841,Neither,13685,Neither,8466,Neither,3765,Neither,2269,Correct,3582,Correct,1693,Correct,2362,Correct,2739,Correct,2315,Correct,5598,Wrong,1980,Wrong,3996,Wrong,3297,Wrong,1806,Wrong,2790,Wrong,1942,Wrong,2116,Wrong,2635,Wrong,3171,Wrong,3177,Wrong,2004,Wrong,7169,Wrong,1654,Wrong,1857,Wrong,1850
d831c6240cdb3c8854e313bc0a9f57ca,37,M,Tertiary,R,Wrong,2469,Wrong,10346,Wrong,3458,Wrong,1868,Wrong,1894,Wrong,4033,Wrong,1570,Wrong,2847,Wrong,2841,Neither,4422,Correct,3568,Correct,3746,Correct,3363,Correct,6562,Correct,6380,Wrong,2086,Wrong,3973,Wrong,2422,Wrong,2956,Wrong,3755,Wrong,2951,Wrong,3200,Wrong,3049,Wrong,2918,Wrong,1969,Wrong,2760,Wrong,5171,Wrong,2647,Wrong,4287,Wrong,4166
