Subject,Age,Gender,Ita_Word,Eng_Word,Visual,Gustatory,Haptic,Olfactory,Auditory
3,23,F,BLATTA,cockroach,4,0,0,0,0
3,23,F,BLU,blue,5,0,0,0,0
3,23,F,BOCCA,mouth,5,5,5,4,4
3,23,F,BOLLENTE,scalding,3,0,5,0,3
3,23,F,BOLLITORE,kettle,5,0,4,0,5
3,23,F,BOMBA,bomb,5,0,1,0,5
3,23,F,BORDO,board,4,5,0,4,0
3,23,F,BOTTIGLIA,bottle,4,0,2,0,1
3,23,F,BOUQUET,bouquet,4,0,1,3,0
3,23,F,BRACCIO,arm,5,0,5,0,0
3,23,F,BREVETTO,patent,1,0,0,0,2
3,23,F,BREZZA,breeze,0,0,3,0,0
3,23,F,BRUCIATURA,burn,4,0,5,4,1
3,23,F,BRUTALE,brutal,4,0,2,0,3
3,23,F,BRUTTO,ugly,5,0,0,0,1
3,23,F,BUGIA,lie,0,0,0,0,3
3,23,F,BUIO,dark,5,0,0,0,0
3,23,F,BUONO,good,1,3,0,3,0
3,23,F,BURRO,butter,5,5,4,5,0
3,23,F,CACTUS,cactus,4,0,3,0,0
3,23,F,CADAVERE,corpse,5,0,1,1,0
3,23,F,CADUTA,fall,3,0,0,0,4
3,23,F,CALCIARE,kick,3,0,1,0,1
3,23,F,CALORE,warmth,0,0,5,0,0
3,23,F,CALZA,sock,5,0,5,2,0
3,23,F,CAMERA,bedroom,3,0,0,0,0
3,23,F,CAMICIA,shirt,4,0,4,0,0
3,23,F,CAMION,truck,4,0,1,0,3
3,23,F,CAMPIONE,champ,1,0,0,0,0
3,23,F,CAMPO,field,5,0,2,2,0
3,23,F,CANCRENA,gangrene,5,0,1,5,0
3,23,F,CANCRO,cancer,1,0,0,0,1
3,23,F,CANDELABRO,candelabrum,5,0,4,0,0
3,23,F,CANE,dog,4,0,3,2,3
3,23,F,CANNONE,cannon,5,0,2,1,5
3,23,F,CANOTTIERA,vest,3,0,2,0,0
3,23,F,CANTINA,cellar,5,0,2,3,0
3,23,F,CANZONE,song,1,0,0,0,5
3,23,F,CAOS,chaos,5,5,5,5,5
3,23,F,CAPACE,capable,1,0,0,0,0
3,23,F,CAPEZZOLO,nipple,3,0,3,0,0
3,23,F,CAPPELLO,hat,5,0,5,0,0
3,23,F,CAPPIO,noose,3,0,0,0,0
3,23,F,CAPPOTTO,coat,4,0,2,1,0
3,23,F,CAPRO_ESPIATORIO,scapegoat,2,0,0,0,2
3,23,F,CARABINA,rifle,5,0,4,1,5
3,23,F,CARAFFA,jug,5,0,5,0,0
3,23,F,CARAMELLA,candy,4,5,2,2,0
3,23,F,CARCASSA,carcass,3,0,1,2,0
3,23,F,CARCERE,jail,5,0,0,1,2
3,23,F,CAREZZA,caress,2,0,5,0,0
3,23,F,CARINO,cute,5,0,0,0,0
3,23,F,CARRO,wagon,5,0,4,0,1
3,23,F,CARROZZA,carriage,5,0,3,0,4
3,23,F,CARTA,paper,5,0,5,2,3
3,23,F,CASA,home,5,0,3,2,1
3,23,F,CASCATA,waterfall,3,0,0,0,3
3,23,F,CASSETTIERA,chest_of_drawers,5,0,4,0,3
3,23,F,CATAPECCHIA,slum,5,0,0,1,2
3,23,F,CATTIVO,evil,1,2,0,2,2
3,23,F,CAUSA,lawsuit,4,0,1,0,1
3,23,F,CAVALLO,horse,4,1,4,3,4
3,23,F,CAVIGLIA,ankle,5,0,5,0,0
3,23,F,CELLULA,cell,0,0,0,0,0
3,23,F,CENA,dinner,5,5,2,4,2
3,23,F,CENTROTAVOLA,centerpiece,5,0,5,0,0
3,23,F,CERCHIO,circle,5,0,1,0,0
3,23,F,CERVELLO,brain,0,0,0,0,0
3,23,F,CESTO,basket,5,0,4,0,0
3,23,F,CHARME,charm,5,0,0,2,4
3,23,F,CHEROSENE,kerosene,0,0,0,2,0
3,23,F,CHIAVE,key,5,0,5,0,2
3,23,F,CHIESA,church,3,0,0,0,2
3,23,F,CHIRURGIA,surgery,2,0,1,0,2
3,23,F,CIBO,food,4,5,4,4,2
3,23,F,CICATRICE,scar,5,0,4,0,0
