"participant_id","trial_id","stimulus","trial_order","lexicality","response","accuracy","rt"
"s1.dat","t131","PATROZ",68,"pseudorec","None",0,NA
"s1.dat","t72","USLOV",70,"rec","3",1,530
"s1.dat","t72","USPEH",70,"rec","3",1,530
"s1.dat","t205","PE{KIG",71,"pseudorec","3",1,1181
"s1.dat","t205","EVNUB",71,"pseudorec","3",1,1181
"s1.dat","t228","ULKUG",72,"pseudorec","None",0,NA
"s1.dat","t228","FLANEG",72,"pseudorec","None",0,NA
"s1.dat","t194","SONAĐ",74,"pseudorec","3",1,1432
"s1.dat","t194","{PRIĐ",74,"pseudorec","3",1,1432
"s1.dat","t168","JELEP",75,"pseudorec","None",0,NA
"s1.dat","t168","}UMEP",75,"pseudorec","None",0,NA
"s1.dat","t223","OPIQAL",77,"pseudorec","None",0,NA
"s1.dat","t223","IZOTOC",77,"pseudorec","None",0,NA
"s1.dat","t27","ANETS",79,"rec","3",1,1252
"s1.dat","t27","OKELM",79,"rec","3",1,1252
"s1.dat","t169","GULAN",80,"pseudorec","3",1,1272
"s1.dat","t169","CIGAF",80,"pseudorec","3",1,1272
"s1.dat","t165","KARMIG",81,"pseudorec","3",1,1262
"s1.dat","t165","SIRUL",81,"pseudorec","3",1,1262
"s1.dat","t82","KAPUT",82,"rec","3",1,541
"s1.dat","t82","KLAVIR",82,"rec","3",1,541
"s1.dat","t111","PERIKA",83,"rec","3",1,902
"s1.dat","t111","PELENA",83,"rec","3",1,902
"s1.dat","t69","ZNANJE",84,"rec","3",1,551
"s1.dat","t69","SUMNJA",84,"rec","3",1,551
"s1.dat","t108","TEGLA",85,"rec","3",1,491
"s1.dat","t108","KOMPOT",85,"rec","3",1,491
"s1.dat","t110","RANAC",86,"rec","3",1,501
"s1.dat","t110","KLIKER",86,"rec","3",1,501
"s1.dat","t176","PUTEF",87,"pseudorec","3",1,961
"s1.dat","t176","NAGIR",87,"pseudorec","3",1,961
"s1.dat","t196","SVRAL",88,"pseudorec","3",1,1091
"s1.dat","t196","BIZOK",88,"pseudorec","3",1,1091
"s1.dat","t83","KLUPA",89,"rec","3",1,621
