Target;Prime;ID;hand;age;gender;resp;RTs;resp_corr;accuracy
abito;donna;44;DX;24;M;1;0,58082;1;1
abito;donna;52;DX;22;F;1;0,7;1;1
abito;donna;47;DX;22;F;1;0,46511;1;1
abito;donna;38;DX;20;F;1;0,7711;1;1
abito;donna;46;DX;22;F;1;0,5327;1;1
abito;donna;39;DX;28;F;1;0,5775;1;1
abito;donna;53;DX;25;F;1;0,495805;1;1
abito;donna;71;DX;21;M;1;0,45914;1;1
abito;donna;60;DX;20;F;1;0,505025;1;1
abito;donna;69;DX;24;F;1;0,589355;1;1
abito;donna;11;DX;23;M;1;0,780945;1;1
abito;donna;16;DX;27;F;1;0,56618;1;1
abito;donna;73;SX;21;F;1;0,64965;1;1
abito;donna;7;DX;21;F;1;0,470695;1;1
abito;donna;54;DX;26;F;1;0,42193;1;1
abito;donna;34;DX;22;F;1;0,533345;1;1
abito;donna;63;DX;22;F;1;0,566325;1;1
abito;donna;27;DX;22;F;1;0,518265;1;1
abito;donna;26;DX;21;F;1;0,7854;1;1
abito;donna;13;DX;20;M;1;0,476195;1;1
abito;donna;62;SX;24;M;1;0,56207;1;1
abito;donna;43;DX;22;M;1;0,638365;1;1
abito;donna;22;DX;23;F;0;0,757645;1;0
abito;donna;72;DX;20;F;1;0,621;1;1
abito;donna;24;DX;22;F;0;0,24204;1;0
abito;donna;20;DX;22;F;1;0,485155;1;1
abito;donna;6;DX;30;F;1;0,55052;1;1
abito;donna;57;DX;29;F;1;0,75328;1;1
abito;donna;66;SX;23;F;1;0,508605;1;1
abito;donna;33;DX;22;M;1;0,544;1;1
abito;donna;40;DX;23;F;1;0,758;1;1
abito;donna;29;DX;24;F;1;1,13328;1;1
abito;donna;35;DX;23;m;1;0,694;1;1
abito;donna;51;DX;25;M;1;0,624395;1;1
abito;donna;15;DX;23;F;1;0,59027;1;1
abito;donna;75;DX;24;F;1;0,615985;1;1
abito;donna;21;DX;24;F;1;0,506135;1;1
