participant;task;stimuli;stem;affix;fs;length;zipf;r;g;b;ld;congruency;correct;type;key;accuracy;rt
28;ld;organismo;0;ismo;3;9;3.612.527;0;153;0;0;2;1;1;1;1;670
28;ld;musicista;0;ista;3;9;3.718.553;0;153;0;0;2;1;1;1;1;508
28;ld;rosatore;rosa;tore;1;8;4.458.329.649;255;255;255;4;0;2;0;2;2;606
28;ld;intervista;0;ista;3;10;4.077.696;255;255;255;0;2;1;1;1;1;628
28;ld;schifoso;0;oso;3;8;4.051.261;255;255;0;0;2;1;1;1;1;557
28;ld;situazione;0;zione;3;10;5.027.247;0;153;0;0;2;1;1;1;1;558
28;ld;emergenza;0;enza;3;9;4.604.809;255;255;0;0;2;1;1;1;1;685
28;ld;giallismo;giallo;ismo;0;9;4.088.825.104;0;0;255;3;0;2;0;2;2;663
28;ld;arancionemento;arancione;mento;1;14;3.671.648.609;255;0;255;5;0;2;0;2;2;638
28;ld;elemento;0;mento;3;8;3.877.559;0;0;255;0;2;1;1;1;1;813
28;ld;giallenza;giallo;enza;0;9;4.088.825.104;0;153;0;4;0;2;0;2;2;989
28;ld;verdezza;verde;ezza;2;8;4.586.948.127;255;255;0;3;0;2;0;2;2;943
28;ld;rosista;rosa;ista;0;7;4.458.329.649;255;0;255;3;1;2;0;2;2;1078
28;ld;romanticismo;0;ismo;3;12;3.414.938;255;255;0;0;2;1;1;1;1;606
28;ld;infermiere;0;iere;3;10;4.035.711;255;255;0;0;2;1;1;1;1;622
28;ld;direttore;0;tore;3;9;4.726.724;0;0;255;0;2;1;1;1;1;662
28;ld;blutore;blu;tore;1;7;464.683.347;0;0;255;4;1;2;0;2;2;717
28;ld;imperatore;0;tore;3;10;4.058.391;0;0;255;0;2;1;1;1;1;669
28;ld;verdabile;verde;abile;0;9;4.586.948.127;255;255;0;4;0;2;0;2;2;685
28;ld;verdemento;verde;mento;1;10;4.586.948.127;255;128;0;5;0;2;0;2;2;581
28;ld;arancionista;arancione;ista;0;12;3.671.648.609;255;128;0;4;1;2;0;2;2;557
28;ld;bianchenza;bianco;enza;0;10;4.744.381.459;255;128;0;5;0;2;0;2;2;1750
28;ld;colazione;0;zione;3;9;4.628.119;255;255;255;0;2;1;1;1;1;679
28;ld;blumento;blu;mento;1;8;464.683.347;0;0;255;5;1;2;0;2;2;644
28;ld;prezioso;0;oso;3;8;4.024.389;255;255;0;0;2;1;1;1;1;591
28;ld;rosezza;rosa;ezza;0;7;4.458.329.649;0;153;0;3;0;2;0;2;2;638
28;ld;umorismo;0;ismo;3;8;3.959.561;255;255;0;0;2;1;1;1;1;542
28;ld;arancionenza;arancione;enza;2;12;3.671.648.609;255;0;255;3;0;2;0;2;2;502
28;ld;bluabile;blu;abile;1;8;464.683.347;0;0;255;5;1;2;0;2;2;838
28;ld;altezza;0;ezza;3;7;4.458.447;255;255;0;0;2;1;1;1;1;606
28;ld;bluabile;blu;abile;1;8;464.683.347;255;0;255;5;0;2;0;2;2;925
28;ld;rosismo;rosa;ismo;0;7;4.458.329.649;255;255;255;4;0;2;0;2;2;773
28;ld;operazione;0;zione;3;10;4.682.565;255;0;255;0;2;1;1;1;1;1094
28;ld;tradimento;0;mento;3;10;4.077.132;255;255;255;0;2;1;1;1;1;501
28;ld;bluenza;blu;enza;1;7;464.683.347;255;255;0;4;0;2;0;2;2;629
28;ld;verdismo;verde;ismo;0;8;4.586.948.127;255;255;0;4;0;2;0;2;2;518
28;ld;rososo;rosa;oso;0;6;4.458.329.649;0;0;255;3;0;2;0;2;2;517
28;ld;rosismo;rosa;ismo;0;7;4.458.329.649;255;0;255;4;1;2;0;2;2;618
28;ld;biancoso;bianco;oso;2;8;4.744.381.459;255;0;255;2;0;2;0;2;2;1125
28;ld;biancotore;bianco;tore;1;10;4.744.381.459;255;128;0;4;0;2;0;2;2;518
28;ld;bianchiere;bianco;iere;0;10;4.744.381.459;255;255;255;5;1;2;0;2;2;487
28;ld;pazienza;0;enza;3;8;435.019;0;153;0;0;2;1;1;1;1;564
28;ld;nervoso;0;oso;3;7;4.431.597;0;153;0;0;2;1;1;1;1;542
28;ld;senatore;0;tore;3;8;4.291.294;255;255;255;0;2;1;1;1;1;574
28;ld;verdoso;verde;oso;0;7;4.586.948.127;0;0;255;3;0;2;0;2;2;614
28;ld;bluismo;blu;ismo;1;7;464.683.347;0;0;255;4;1;2;0;2;2;526
28;ld;rosazione;rosa;zione;1;9;4.458.329.649;0;153;0;5;0;2;0;2;2;549
28;ld;verdezione;verde;zione;1;10;4.586.948.127;255;255;0;5;0;2;0;2;2;470
28;ld;bluista;blu;ista;1;7;464.683.347;0;0;255;4;1;2;0;2;2;478
28;ld;verdista;verde;ista;0;8;4.586.948.127;0;153;0;4;1;2;0;2;2;414
28;ld;affidabile;0;abile;3;10;3.781.431;255;128;0;0;2;1;1;1;1;598
28;ld;verdiere;verde;iere;0;8;4.586.948.127;255;0;255;3;0;2;0;2;2;541
28;ld;riposo;0;oso;3;6;4.324.781;255;255;0;0;2;1;1;1;1;478
28;ld;cacciatore;0;tore;3;10;4.056.323;0;0;255;0;2;1;1;1;1;485
28;ld;bianchismo;bianco;ismo;0;10;4.744.381.459;255;255;255;4;1;2;0;2;2;534
28;ld;verdezione;verde;zione;1;10;4.586.948.127;0;153;0;5;1;2;0;2;2;501
28;ld;bluzione;blu;zione;1;8;464.683.347;0;0;255;5;1;2;0;2;2;558
28;ld;giallomento;giallo;mento;1;11;4.088.825.104;0;0;255;5;0;2;0;2;2;606
28;ld;arancionoso;arancione;oso;0;11;3.671.648.609;255;128;0;3;1;2;0;2;2;397
28;ld;artista;0;ista;3;7;4.298.981;255;255;0;0;2;1;1;1;1;493
28;ld;probabile;0;abile;3;9;4.285.569;0;0;255;0;2;1;1;1;1;525
28;ld;biancomento;bianco;mento;1;11;4.744.381.459;255;0;255;5;0;2;0;2;2;486
28;ld;arancionetore;arancione;tore;1;13;3.671.648.609;255;255;255;4;0;2;0;2;2;565
28;ld;giallismo;giallo;ismo;0;9;4.088.825.104;255;255;0;3;1;2;0;2;2;614
28;ld;giallista;giallo;ista;0;9;4.088.825.104;255;255;0;4;1;2;0;2;2;909
28;ld;verdezza;verde;ezza;2;8;4.586.948.127;0;153;0;3;1;2;0;2;2;502
28;ld;colpevolezza;0;ezza;3;12;3.502.677;255;255;255;0;2;1;1;1;1;661
28;ld;verdoso;verde;oso;0;7;4.586.948.127;0;153;0;3;1;2;0;2;2;516
28;ld;eufemismo;0;ismo;3;9;3.344.738;255;128;0;0;2;1;1;1;1;478
28;ld;rosista;rosa;ista;0;7;4.458.329.649;255;255;255;3;0;2;0;2;2;519
28;ld;giallabile;giallo;abile;0;10;4.088.825.104;0;153;0;5;0;2;0;2;2;636
28;ld;differenza;0;enza;3;10;4.705.272;255;128;0;0;2;1;1;1;1;487
28;ld;arancionabile;arancione;abile;0;13;3.671.648.609;0;153;0;4;0;2;0;2;2;596
28;ld;intelligenza;0;enza;3;12;4.017.322;255;255;0;0;2;1;1;1;1;580
28;ld;gialleria;giallo;eria;0;9;4.088.825.104;255;255;255;4;0;2;0;2;2;581
28;ld;potenza;0;enza;3;7;4.214.793;255;0;255;0;2;1;1;1;1;653
28;ld;bluista;blu;ista;1;7;464.683.347;255;0;255;4;0;2;0;2;2;605
28;ld;arancioniere;arancione;iere;0;12;3.671.648.609;255;128;0;3;1;2;0;2;2;550
28;ld;giornalista;0;ista;3;11;4.241.496;255;0;255;0;2;1;1;1;1;693
28;ld;bluoso;blu;oso;1;6;464.683.347;0;0;255;3;1;2;0;2;2;541
28;ld;verdenza;verde;enza;2;8;4.586.948.127;0;153;0;3;1;2;0;2;2;477
28;ld;bluezza;blu;ezza;1;7;464.683.347;0;0;255;4;1;2;0;2;2;397
28;ld;movimento;0;mento;3;9;4.407.221;0;153;0;0;2;1;1;1;1;533
28;ld;bianchismo;bianco;ismo;0;10;4.744.381.459;0;0;255;4;0;2;0;2;2;509
28;ld;giallotore;giallo;tore;1;10;4.088.825.104;255;255;0;4;1;2;0;2;2;549
28;ld;biancomento;bianco;mento;1;11;4.744.381.459;255;255;255;5;1;2;0;2;2;477
28;ld;giallomento;giallo;mento;1;11;4.088.825.104;255;255;0;5;1;2;0;2;2;493
28;ld;giallista;giallo;ista;0;9;4.088.825.104;255;0;255;4;0;2;0;2;2;519
28;ld;arancionenza;arancione;enza;2;12;3.671.648.609;255;128;0;3;1;2;0;2;2;604
28;ld;lotteria;0;eria;3;8;3.801.051;255;255;0;0;2;1;1;1;1;605
28;ld;arancionismo;arancione;ismo;0;12;3.671.648.609;0;153;0;4;0;2;0;2;2;533
28;ld;esperimento;0;mento;3;11;4.124.157;0;0;255;0;2;1;1;1;1;510
28;ld;blueria;blu;eria;1;7;464.683.347;255;255;0;4;0;2;0;2;2;469
28;ld;segreteria;0;eria;3;10;4.070.592;255;128;0;0;2;1;1;1;1;503
28;ld;gialleria;giallo;eria;0;9;4.088.825.104;255;255;0;4;1;2;0;2;2;533
28;ld;mestiere;0;iere;3;8;4.111.307;255;255;255;0;2;1;1;1;1;573
28;ld;famoso;0;oso;3;6;4.374.478;255;255;0;0;2;1;1;1;1;750
