status,time_taken,age,num_approvals,num_rejections,prolific_score,Country of Birth,Current Country of Residence,Employment Status,English speaking Monolingual,First language,First Language,Handedness,Highest education level completed,Nationality,Sex,Student Status,Were you raised monolingual?
AWAITING REVIEW,2893.011,25,5,0,100,Ireland,Ireland,Unemployed (and job seeking),I only know English,English,,Right-handed,Technical/community college,Ireland,Female,No,I was raised with my native language only
AWAITING REVIEW,1210.09,33,67,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1685.24,45,3,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,,English,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1021.332,31,74,2,96,United States,United States,Part-Time,I only know English,,English,Right-handed,Undergraduate degree (BA/BSc/other),United States,Female,No,I was raised with my native language only
AWAITING REVIEW,823.645,33,31,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,DATA EXPIRED,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Male,No,I was raised with my native language only
TIMED-OUT,162723.112733,19,49,1,100,United Kingdom,United Kingdom,Other,I only know English,,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,Yes,I was raised with my native language only
AWAITING REVIEW,1524.984,33,155,2,100,United Kingdom,United Kingdom,Full-Time,I only know English,,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,2086.484,48,57,1,100,United Kingdom,United Kingdom,Other,I only know English,,English,Right-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1457.467,39,37,0,100,United States,United States,Other,I only know English,English,,Right-handed,High school diploma/A-levels,United States,Female,No,I was raised with my native language only
AWAITING REVIEW,1447.236,43,52,0,100,United States,United States,Full-Time,I only know English,English,DATA EXPIRED,Right-handed,Doctorate degree (PhD/other),United States,Female,No,I was raised with my native language only
RETURNED,162382.81386,18,47,2,97,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
AWAITING REVIEW,3228.452,25,10,1,94,United Kingdom,United Kingdom,Part-Time,I only know English,English,,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,1553.805,24,9,0,100,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1151.818,25,558,2,100,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,English,Right-handed,No formal qualifications,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1085.361,44,99,0,100,Canada,Canada,Full-Time,I know one other language in addition to English,,English,Right-handed,Technical/community college,Canada,Female,No,I was raised with my native language only
AWAITING REVIEW,4408.123,20,163,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,Yes,I was raised with my native language only
AWAITING REVIEW,2026.798,24,40,0,100,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,English,DATA EXPIRED,Left-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Male,Yes,I was raised with my native language only
AWAITING REVIEW,1149.32,32,225,1,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,English,Right-handed,Technical/community college,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,2530.9,33,56,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,English,Left-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,1212.924,29,192,1,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,English,Right-handed,High school diploma/A-levels,United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,1711.286,33,128,0,100,United States,United States,Full-Time,I only know English,English,English,Right-handed,Graduate degree (MA/MSc/MPhil/other),United States,Female,No,I was raised with my native language only
AWAITING REVIEW,907.433,22,236,0,100,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,,English,Right-handed,High school diploma/A-levels,United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,1181.908,23,68,2,99,United Kingdom,United Kingdom,Part-Time,I only know English,English,English,Ambidextrous,Secondary education (e.g. GED/GCSE),United Kingdom,Prefer not to say,No,I was raised with my native language only
