"experiment","task","participant_id","age","gender","trial_id","trial_order","stimulus","sentence","context","response","rating_scale"
"exp1_aptness","aptness rating","S43",32,"Male",1,0,"acid_test",,0,5,"1 = not apt; 7 = very apt"
"exp1_aptness","aptness rating","S15",53,"Female",2,0,"acid_test",,1,5,"1 = not apt; 7 = very apt"
"exp1_aptness","aptness rating","S16",30,"Male",3,0,"acid_test",,1,5,"1 = not apt; 7 = very apt"
"exp1_aptness","aptness rating","S30",30,"Male",4,0,"acid_test",,1,6,"1 = not apt; 7 = very apt"
"exp1_aptness","aptness rating","S9",39,"Female",5,0,"acid_test",,0,5,"1 = not apt; 7 = very apt"
"exp1_aptness","aptness rating","S5",32,"Male",6,0,"acid_test",,1,7,"1 = not apt; 7 = very apt"
"exp1_aptness","aptness rating","S20",48,"Female",7,0,"acid_test",,1,3,"1 = not apt; 7 = very apt"
"exp1_aptness","aptness rating","S10",35,"Male",8,0,"acid_test",,0,5,"1 = not apt; 7 = very apt"
"exp1_aptness","aptness rating","S14",27,"Male",9,0,"acid_test",,1,4,"1 = not apt; 7 = very apt"
"exp1_aptness","aptness rating","S3",51,"Male",10,0,"acid_test",,0,7,"1 = not apt; 7 = very apt"
"exp1_aptness","aptness rating","S32",38,"Male",11,0,"acid_test",,1,5,"1 = not apt; 7 = very apt"
"exp1_aptness","aptness rating","S23",31,"Male",12,0,"acid_test",,0,5,"1 = not apt; 7 = very apt"
"exp1_aptness","aptness rating","S38",35,"Male",13,0,"acid_test",,1,6,"1 = not apt; 7 = very apt"
"exp1_aptness","aptness rating","S21",40,"Female",14,0,"acid_test",,0,5,"1 = not apt; 7 = very apt"
"exp1_aptness","aptness rating","S37",60,"Female",15,0,"acid_test",,1,6,"1 = not apt; 7 = very apt"
"exp1_aptness","aptness rating","S40",53,"Female",16,0,"acid_test",,1,2,"1 = not apt; 7 = very apt"
"exp1_aptness","aptness rating","S7",35,"Male",17,0,"acid_test",,0,3,"1 = not apt; 7 = very apt"
"exp1_aptness","aptness rating","S12",57,"Female",18,0,"acid_test",,1,1,"1 = not apt; 7 = very apt"
"exp1_aptness","aptness rating","S35",25,"Male",19,0,"acid_test",,1,5,"1 = not apt; 7 = very apt"
"exp1_aptness","aptness rating","S24",57,"Female",20,0,"acid_test",,0,4,"1 = not apt; 7 = very apt"
"exp1_aptness","aptness rating","S2",38,"Male",21,0,"acid_test",,0,2,"1 = not apt; 7 = very apt"
"exp1_aptness","aptness rating","S17",57,"Female",22,0,"acid_test",,0,4,"1 = not apt; 7 = very apt"
"exp1_aptness","aptness rating","S27",32,"Male",23,0,"acid_test",,1,4,"1 = not apt; 7 = very apt"
"exp1_aptness","aptness rating","S6",29,"Female",24,0,"acid_test",,1,6,"1 = not apt; 7 = very apt"
"exp1_aptness","aptness rating","S13",66,"Male",25,0,"acid_test",,1,7,"1 = not apt; 7 = very apt"
"exp1_aptness","aptness rating","S8",34,"Female",26,0,"acid_test",,0,1,"1 = not apt; 7 = very apt"
"exp1_aptness","aptness rating","S46",59,"Female",27,0,"acid_test",,1,1,"1 = not apt; 7 = very apt"
"exp1_aptness","aptness rating","S41",23,"Male",28,0,"acid_test",,0,3,"1 = not apt; 7 = very apt"
"exp1_aptness","aptness rating","S44",30,"Male",29,0,"acid_test",,1,7,"1 = not apt; 7 = very apt"
"exp1_aptness","aptness rating","S26",40,"Male",30,0,"acid_test",,1,1,"1 = not apt; 7 = very apt"
"exp1_aptness","aptness rating","S1",29,"Male",31,0,"acid_test",,1,2,"1 = not apt; 7 = very apt"
"exp1_aptness","aptness rating","S42",35,"Male",32,0,"acid_test",,0,5,"1 = not apt; 7 = very apt"
"exp1_aptness","aptness rating","S11",27,"Female",33,0,"acid_test",,1,6,"1 = not apt; 7 = very apt"
"exp1_aptness","aptness rating","S29",31,"Male",34,0,"acid_test",,1,2,"1 = not apt; 7 = very apt"
