"participant_id","age","gender","trial_id","trial_order","stimulus","response"
"W13",52,"Female",138,5,"baby_fever",1
"W3",65,"Female",139,5,"baby_fever",1
"W8",44,"Female",140,5,"baby_fever",2
"W9",57,"Female",141,5,"baby_fever",3
"W12",37,"Female",142,5,"baby_fever",5
"W23",36,"Female",143,5,"baby_fever",1
"W11",47,"Male",144,5,"baby_fever",4
"W22",50,"Female",145,5,"baby_fever",1
"W4",38,"Nonbinary",146,5,"baby_fever",3
"W2",70,"Female",147,5,"baby_fever",5
"W10",69,"Female",148,5,"baby_fever",4
"W15",44,"Male",149,5,"baby_fever",2
"W7",40,"Male",150,5,"baby_fever",1
"W6",54,"Male",151,5,"baby_fever",5
"W14",59,"Male",152,5,"baby_fever",3
"W24",41,"Female",153,5,"baby_fever",2
"W25",43,"Male",154,5,"baby_fever",2
"W19",49,"Male",155,5,"baby_fever",5
"W1",50,"Female",156,5,"baby_fever",1
"W10",69,"Female",157,6,"baby_shower",4
"W6",54,"Male",158,6,"baby_shower",5
"W22",50,"Female",159,6,"baby_shower",3
"W16",34,"Male",160,6,"baby_shower",2
"W4",38,"Nonbinary",161,6,"baby_shower",1
"W11",47,"Male",162,6,"baby_shower",3
"W3",65,"Female",163,6,"baby_shower",1
"W18",37,"Male",164,6,"baby_shower",6
"W5",35,"Female",165,6,"baby_shower",2
"W12",37,"Female",166,6,"baby_shower",2
"W17",51,"Female",167,6,"baby_shower",2
"W23",36,"Female",168,6,"baby_shower",2
"W24",41,"Female",169,6,"baby_shower",5
"W13",52,"Female",170,6,"baby_shower",5
"W8",44,"Female",171,6,"baby_shower",2
"W25",43,"Male",172,6,"baby_shower",2
"W15",44,"Male",173,6,"baby_shower",2
"W9",57,"Female",174,6,"baby_shower",6
"W14",59,"Male",175,6,"baby_shower",2
"W7",40,"Male",176,6,"baby_shower",1
"W20",37,"Female",177,6,"baby_shower",2
"W19",49,"Male",178,6,"baby_shower",4
"W21",42,"Male",179,6,"baby_shower",3
"W1",50,"Female",180,6,"baby_shower",5
"W26",34,"Male",181,6,"baby_shower",7
"W2",70,"Female",182,6,"baby_shower",3
"W10",69,"Female",183,7,"baby_steps",6
"W18",37,"Male",184,7,"baby_steps",5
"W2",70,"Female",185,7,"baby_steps",5
"W1",50,"Female",186,7,"baby_steps",2
"W24",41,"Female",187,7,"baby_steps",6
