Ps.number,Cue.number,Response.number,cues,Response,RT,Response_singular.x,Response_spelling,Minkowski.3.distance.n_cue,Mink3.overlap.n_cue,Response_finalAmE,Response_finalBrE,n_1,n_1_sing,Mink3.dist.n_1,Mink3.overlap.n_1,n_2,n_2_sing,Mink3.dist.n_2,Mink3.overlap.n_2,n_3,n_3_sing,Mink3.dist.n_3,Mink3.overlap.n_3,n_4,n_4_sing,Mink3.dist.n_4,Mink3.overlap.n_4,n_5,n_5_sing,Mink3.dist.n_5,Mink3.overlap.n_5,PPMI.n_cue,n_1_BrE,PPMI.n_1,n_2_BrE,PPMI.n_2,n_3_BrE,PPMI.n_3,n_4_BrE,PPMI.n_4,n_5_BrE,PPMI.n_5,PPMI.max,PPMI.max.which,Mink3.max,Mink3.max.which,PPMI.max.which2,Mink3.max.which2,logRT,PPMI.source,Mink3.source,Mink.max_nocue,PPMI.max_nocue,ZipfUK
28,29,11,RADIO,DAVE LEE TRAVIS,11586,DAVE LEE TRAVI,DAVE LEE TRAVIS,NA,NA,DAVE LEE TRAVIS,DAVE LEE TRAVIS,SUNDAY NIGHT,SUNDAY NIGHT,NA,NA,TOP 10,TOP 10,NA,NA,TOP 10,TOP 10,NA,NA,SING ALONG,SINGALONG,NA,NA,COMPANY,COMPANY,NA,NA,NA,SUNDAY NIGHT,NA,TOP 10,NA,SING ALONG,NA,COMPANIONSHIP,NA,COMPANY,NA,NA,NA,NA,NA,NA,NA,4.063933524,NA,NA,NA,NA,NA
4,30,11,RHUBARB,CRUMBLE,659.5,CRUMBLE,NA,4.215118049,6.904881951,CRUMBLE,CRUMBLE,JAM,JAM,4.409371487,6.710628513,YUCK,YUCK,4.238236076,6.881763924,BITTER,BITTER,5.000878884,6.119121116,LEAVES,LEAVE,1.965556245,9.154443755,RED,RED,3.640200212,7.479799788,10.08690038,JAM,3.840827174,YUCK,0,BITTER,0,LEAVES,1.172215018,RED,0.011994757,10.08690038,1,9.154443755,5,n-cue,n-4,2.8192148,0,1,4,1,3.84
9,30,11,RHUBARB,CUSTARD,535.4,CUSTARD,NA,1.243991986,9.876008014,CUSTARD,CUSTARD,PIE,PIE,2.934557116,8.185442884,CRUMBLE,CRUMBLE,3.710444129,7.409555871,SPRING,SPRING,3.642930421,7.477069579,COVER,COVER,4.00036622,7.11963378,PLANTER,PLANTER,3.773922477,7.346077523,9.585630571,PIE,7.355113169,CRUMBLE,8.406123323,SPRING,0,COVER,0,PLANTER,0,9.585630571,1,9.876008014,1,n-cue,n-cue,2.728678367,0,0,1,2,4.17
17,30,11,RHUBARB,DESSERT,1477.9,DESSERT,NA,2.557287209,8.562712791,DESSERT,DESSERT,COMPOTE,COMPOTE,NA,NA,GARDEN,GARDEN,5.02518469,6.09481531,DARKNESS,DARKNES,6.035834267,5.084165733,LEAF,LEAF,5.295221973,5.824778027,STALK,STALK,5.9996204,5.1203796,7.321832777,COMPOTE,6.926259518,GARDEN,0,DARKNESS,0,LEAF,1.719154039,STALK,0,7.321832777,1,8.562712791,1,n-cue,n-cue,3.169645049,0,0,2,1,4.24
19,30,11,RHUBARB,SUGAR,899,SUGAR,NA,1.579726566,9.540273434,SUGAR,SUGAR,ACIDIC,ACIDIC,1.997768258,9.122231742,SOUR,SOUR,2.800837704,8.319162296,SAUCE,SAUCE,2.628965417,8.491034583,PUDDING,PUDDING,1.887783329,9.232216671,STALK,STLAK,5.50297586,5.61702414,4.311950298,ACIDIC,3.029113148,SOUR,3.746341185,SAUCE,3.834648645,PUDDING,2.438904478,STALK,3.262496747,4.311950298,1,9.540273434,1,n-cue,n-cue,2.953759692,0,0,4,3,4.84
20,30,11,RHUBARB,BAKE,3676.8,BAKE,NA,2.88158376,8.23841624,BAKE,BAKE,ROAST,ROAST,1.598122133,9.521877867,BEET,BEET,2.984683185,8.135316815,EDIBLE,EDIBLE,3.809601844,7.310398156,SOUR,SOUR,4.532725091,6.587274909,COOK,COOKED,2.170219631,8.949780369,0,ROAST,4.243486112,BEET,0,EDIBLE,0,SOUR,0,COOK,3.415627036,4.243486112,2,9.521877867,2,n-1,n-1,3.565470007,1,1,1,1,4.22
26,30,11,RHUBARB,BAKE,2944,BAKE,NA,2.88158376,8.23841624,BAKE,BAKE,HARVEST,HARVEST,3.135750159,7.984249841,COOK,COOK,2.170219631,8.949780369,GROW,GROW,5.045310343,6.074689657,DESSERT,DESSERT,3.506570761,7.613429239,BITTER,BITTER,4.620109185,6.499890815,0,HARVEST,0,COOK,3.415627036,GROW,0,DESSERT,2.878784845,BITTER,0,3.415627036,3,8.949780369,3,n-2,n-2,3.468937806,1,1,2,2,4.22
29,30,11,RHUBARB,PUMPKIN,572.4,PUMPKIN,NA,2.688224768,8.431775232,PUMPKIN,PUMPKIN,FRUIT,FRUIT,1.469180144,9.650819856,VEGETABLE,VEGETABLE,1.832116273,9.287883727,PLATE,PLATE,3.750874373,7.369125627,EAT,EAT,3.159796716,7.960203284,PINK,PINK,5.070228937,6.049771063,4.524510008,FRUIT,4.092002775,VEGETABLE,5.753581117,PLATE,0,EAT,2.61244617,PINK,1.393468504,5.753581117,3,9.650819856,2,n-2,n-1,2.757699625,1,1,1,2,3.79
31,30,11,RHUBARB,PLOT,10285.7,PLOT,NA,5.032564095,6.087435905,PLOT,PLOT,HARVEST,HARVEST,3.498038904,7.621961096,GROWN,GROWN,2.855349796,8.264650204,TASTE,TASTE,5.628925072,5.491074928,SUGAR,SUGAR,5.171183118,5.948816882,PURPLE,PURPLE,3.150176299,7.969823701,0,HARVEST,0.946792483,GROWN,1.376582642,TASTE,0,SUGAR,0,PURPLE,0,1.376582642,3,8.264650204,3,n-2,n-2,4.012233853,1,1,2,2,4.38
32,30,11,RHUBARB,FLAVOUR,3369,FLAVOUR,FLAVOR,3.58036934,7.53963066,FLAVOR,FLAVOR,CREAM,CREAM,3.630674587,7.489325413,BOILED,BOILED,4.80551639,6.31448361,ROASTED,ROASTED,3.317347011,7.802652989,CRUMBLE,CRUMBLE,5.572953547,5.547046453,FOOD,FOOD,4.856184265,6.263815735,3.585674887,CREAM,3.904108409,BOILED,1.507446565,ROASTED,4.792568159,CRUMBLE,2.774488639,FOOD,2.068045265,4.792568159,4,7.802652989,4,n-3,n-3,3.527501011,1,1,3,3,4.73
37,30,11,RHUBARB,SUGAR,1643.4,SUGAR,NA,1.579726566,9.540273434,SUGAR,SUGAR,LEAVES,LEAVE,5.136078571,5.983921429,RED,RED,5.304782053,5.815217947,CUT,CUT,5.453879624,5.666120376,SOUR,SOUR,2.800837704,8.319162296,SWEET,SWEET,2.713588582,8.406411418,4.311950298,LEAVES,1.125185393,RED,0.009819367,CUT,0.325808031,SOUR,3.746341185,SWEET,4.15157577,4.311950298,1,9.540273434,1,n-cue,n-cue,3.215743283,0,0,5,5,4.84
7,31,11,SLAUGHTER,LAMB,1122.6,LAMB,NA,3.400235144,7.719764856,LAMB,LAMB,BEEF,BEEF,3.055626629,8.064373371,MEAT,MEAT,3.109149766,8.010850234,MAN,MAN,2.659541543,8.460458457,STAB,STAB,3.960267393,7.159732607,CHOP,CHOP,3.632219876,7.487780124,6.877712335,BEEF,6.22908017,MEAT,4.393781452,MAN,0,STAB,0,CHOP,5.214327873,6.877712335,1,8.460458457,4,n-cue,n-3,3.050225038,0,1,3,1,4.61
