Concept_NO,Image_NO,Concept,Concept_Image,URL,Attribution
7,26,eagle,2,https://commons.wikimedia.org/wiki/File:Haliaeetus_leucocephalus_LC0196.jpg,"I, Jörg Hempel (https://commons.wikimedia.org/wiki/File:Haliaeetus_leucocephalus_LC0196.jpg), „Haliaeetus leucocephalus LC0196“, background removed by RvH, https://creativecommons.org/licenses/by-sa/3.0/de/legalcode"
7,27,eagle,3,"https://commons.wikimedia.org/wiki/File:Bald_Eagle_(Haliaeetus_leucocephalus)_Kachemak_Bay,_Alaska.jpg","Andy Morffew from Itchen Abbas, Hampshire, UK (https://commons.wikimedia.org/wiki/File:Bald_Eagle_(Haliaeetus_leucocephalus)_Kachemak_Bay,_Alaska.jpg), „Bald Eagle (Haliaeetus leucocephalus) Kachemak Bay, Alaska“, background removed by RvH, https://creativecommons.org/licenses/by/2.0/legalcode"
7,28,eagle,4,https://pixnio.com/nl/dieren/vogels/eagle/zeearend/gestreepte-volwassen-kaal-adelaar#,"USFWS, in public domain"
8,29,kingfisher,1,https://commons.wikimedia.org/wiki/File:Common_Kingfisher_2018.jpg,"Augustus Binu (https://commons.wikimedia.org/wiki/File:Common_Kingfisher_2018.jpg), „Common Kingfisher 2018“, background removed by RvH, https://creativecommons.org/licenses/by-sa/3.0/legalcode"
8,30,kingfisher,2,https://commons.wikimedia.org/wiki/File:Common_Kingfisher_Alcedo_atthis.jpg,"Andreas Trepte (https://commons.wikimedia.org/wiki/File:Common_Kingfisher_Alcedo_atthis.jpg), „Common Kingfisher Alcedo atthis“, background removed by RvH, https://creativecommons.org/licenses/by-sa/2.5/legalcode"
8,31,kingfisher,3,https://commons.wikimedia.org/wiki/File:Common_kingfisher_(Alcedo_atthis_ispida)_female.jpg,"Charles J. Sharp creator QS:P170,Q54800218 (https://commons.wikimedia.org/wiki/File:Common_kingfisher_(Alcedo_atthis_ispida)_female.jpg), background removed by RvH, https://creativecommons.org/licenses/by-sa/4.0/legalcode"
8,32,kingfisher,4,"https://commons.wikimedia.org/wiki/File:Common_kingfisher_in_Japan,_January_2019_-_%E8%B0%B7%E5%B4%8E7303.jpg",in public domain
9,33,toucan,1,https://commons.wikimedia.org/wiki/File:Ramphastos_toco_Whipsnade_Zoo.jpg,"William Warby (https://commons.wikimedia.org/wiki/File:Ramphastos_toco_Whipsnade_Zoo.jpg), „Ramphastos toco Whipsnade Zoo“, background removed by RvH, https://creativecommons.org/licenses/by/2.0/legalcode"
9,34,toucan,2,"https://commons.wikimedia.org/wiki/File:Ramphastos_toco_-Birdworld,_Farnham,_Surrey,_England-8a.jpg","Chris Parfitt from East Grinstead, West Sussex, England (https://commons.wikimedia.org/wiki/File:Ramphastos_toco_-Birdworld,_Farnham,_Surrey,_England-8a.jpg), „Ramphastos toco -Birdworld, Farnham, Surrey, England-8a“, background removed by RvH, https://creativecommons.org/licenses/by/2.0/legalcode"
9,35,toucan,3,https://commons.wikimedia.org/wiki/File:Toco_Toucan_(Ramphastos_toco)_in_Papaya_Tree_(Carica_papaya)_(28997424215).jpg,"Bernard DUPONT from FRANCE (https://commons.wikimedia.org/wiki/File:Toco_Toucan_(Ramphastos_toco)_in_Papaya_Tree_(Carica_papaya)_(28997424215).jpg), „Toco Toucan (Ramphastos toco) in Papaya Tree (Carica papaya) (28997424215)“, background removed by RvH, https://creativecommons.org/licenses/by-sa/2.0/legalcode"
9,36,toucan,4,"https://commons.wikimedia.org/wiki/File:Reuzentoekan,_Toco_Toucan,_Ramphastos_toco,_Diergaarde_Blijdorp_Rotterdam,_december_2007.jpg","Pbrundel (https://commons.wikimedia.org/wiki/File:Reuzentoekan,_Toco_Toucan,_Ramphastos_toco,_Diergaarde_Blijdorp_Rotterdam,_december_2007.jpg), „Reuzentoekan, Toco Toucan, Ramphastos toco, Diergaarde Blijdorp Rotterdam, december 2007“, background removed by RvH, https://creativecommons.org/licenses/by-sa/3.0/legalcode"
